"discount","gender","age","marital_status","education","city_level","purchase_power","original_unit_price"
0,"F","26-35","S",3,3,2,55
1,"F","26-35","S",3,3,3,238
1,"F","26-35","S",-1,3,4,79.9
0,"M","16-25","S",2,3,3,0
1,"F","26-35","M",3,2,2,49
1,"F","26-35","S",3,2,3,168
0,"M","26-35","M",3,1,2,58
1,"M","26-35","M",3,1,2,148
1,"M","26-35","M",3,1,2,59
1,"F","26-35","M",3,3,2,70
1,"F","46-55","U",-1,3,-1,66
1,"M","16-25","S",4,2,2,78
0,"F","36-45","M",-1,4,-1,0
0,"M","16-25","S",2,-1,3,128
1,"M","26-35","M",3,4,2,129
1,"F","26-35","M",3,2,3,69
1,"M","36-45","M",4,1,2,79
1,"M","36-45","M",4,1,2,149
1,"F","36-45","M",3,2,3,118
1,"F","16-25","U",-1,2,-1,78
0,"F","26-35","M",3,2,2,0
1,"F","26-35","M",3,2,2,78
1,"F","26-35","M",3,2,2,59.9
1,"M","16-25","S",3,2,2,69
1,"F","26-35","S",4,4,2,109
1,"F","36-45","M",4,1,3,298
1,"F","46-55","S",-1,2,2,59
1,"F","16-25","U",-1,2,-1,59
1,"F",">=56","S",3,3,2,238
1,"M","46-55","M",4,2,2,139
1,"M","26-35","U",-1,2,-1,119
0,"M","36-45","M",2,2,-1,0
1,"M","36-45","M",3,1,2,59
1,"M","26-35","M",4,3,2,0
1,"F","46-55","S",-1,-1,3,118
1,"F","36-45","M",3,4,3,79
1,"F","36-45","M",3,4,3,69
0,"F","36-45","M",3,2,2,0
0,"F","36-45","M",2,4,1,69
0,"M","16-25","U",-1,3,-1,66
0,"F","26-35","S",3,2,2,142
1,"F","26-35","S",3,2,2,330
1,"F","26-35","S",3,2,2,49
1,"F","26-35","S",3,2,2,189
1,"F","26-35","S",2,4,2,99
0,"M","46-55","M",4,1,2,96
1,"F","26-35","M",3,3,3,12
1,"F","26-35","M",3,4,2,78
1,"F","26-35","S",3,3,3,78
1,"F","26-35","M",4,4,2,79
1,"F","26-35","M",3,2,3,79.9
0,"F","26-35","S",3,3,2,70
1,"F","26-35","M",1,3,2,0
1,"F","36-45","S",3,2,2,70
1,"F","36-45","S",3,2,2,159
1,"F","36-45","S",3,2,2,159
1,"F","36-45","M",3,-1,3,129
0,"F","36-45","S",2,4,3,69
1,"F","16-25","M",3,2,3,99
1,"M","26-35","S",2,1,3,85
1,"F","16-25","S",2,2,2,88
1,"F","36-45","S",3,2,2,298
1,"F","26-35","S",-1,4,3,238
0,"M","26-35","S",3,-1,2,59.9
1,"F","26-35","M",3,-1,2,69
1,"F","26-35","M",3,2,2,189
0,"F","46-55","S",1,-1,2,59
1,"M","36-45","M",4,2,2,230
0,"M","36-45","M",3,4,-1,0
0,"F","36-45","M",3,4,2,0
1,"M","26-35","S",2,-1,2,59
1,"F","26-35","S",3,3,3,98
0,"F","36-45","M",2,3,3,0
1,"F","36-45","M",2,3,3,89
1,"M","36-45","M",3,1,3,298
1,"M","26-35","M",3,1,3,79
0,"F","16-25","M",2,5,3,108
1,"M","26-35","M",3,4,3,59
1,"F","16-25","S",3,2,2,109.9
1,"F","36-45","M",4,1,2,230
1,"F","36-45","M",4,1,2,0
1,"M","26-35","S",3,1,2,78
1,"F",">=56","S",3,3,3,245
1,"F","26-35","S",3,1,3,69.9
1,"F","36-45","M",4,1,2,105
0,"F",">=56","M",3,4,2,65
1,"F","26-35","S",3,4,2,79.9
1,"F","36-45","S",2,-1,2,76
1,"F","26-35","S",2,4,3,198
1,"F","16-25","S",2,3,2,36
1,"F","16-25","U",-1,3,-1,98
1,"F","26-35","M",3,2,2,318
1,"M","26-35","M",3,3,2,0
1,"F","26-35","S",4,4,2,89
0,"F","26-35","S",4,4,2,68
1,"F","26-35","M",3,2,2,149
1,"F","36-45","M",3,1,2,298
1,"F","36-45","M",3,1,3,59.9
0,"F","26-35","M",3,3,3,0
1,"F","26-35","M",3,3,3,129
1,"F","26-35","U",-1,3,-1,78
1,"F","16-25","M",-1,1,3,139
1,"F","26-35","M",4,2,2,250
1,"F","26-35","S",3,2,1,139.9
1,"F","26-35","S",2,2,3,199
1,"F","26-35","S",2,2,3,188
1,"F","16-25","S",2,2,4,139
1,"M","26-35","M",3,2,2,149
0,"M","16-25","S",-1,2,4,0
0,"M","16-25","S",-1,2,4,0
0,"M","16-25","S",-1,2,4,0
1,"F",">=56","M",2,1,2,89
1,"M",">=56","M",2,4,2,150
1,"M","36-45","M",3,1,2,99
1,"M","16-25","S",3,2,3,59.9
0,"F","16-25","U",-1,2,-1,39
0,"F","16-25","U",-1,3,-1,55
1,"M","16-25","S",3,1,2,245
1,"M","26-35","M",3,1,2,79
1,"M","26-35","S",3,4,2,88
1,"F","16-25","S",3,4,2,78
1,"F","26-35","M",3,4,2,79
1,"F","26-35","M",2,3,2,0
0,"F","26-35","S",2,4,3,198
0,"F","26-35","S",2,4,3,178
0,"F","26-35","S",2,4,3,0
1,"F","26-35","S",2,4,3,39
0,"F","26-35","S",2,4,3,0
0,"F","26-35","S",2,4,3,148
0,"F","26-35","S",2,4,3,0
0,"F","26-35","S",2,4,3,0
0,"F","26-35","S",2,4,3,178
0,"F","26-35","S",2,4,3,0
0,"F","26-35","S",2,4,3,0
0,"M","26-35","M",3,2,2,0
1,"F","36-45","M",4,1,2,59
1,"F","16-25","S",1,3,2,78
1,"F","26-35","S",3,2,2,78
1,"M","26-35","S",3,2,2,139.9
0,"F","26-35","S",2,1,2,59
1,"F","26-35","S",4,2,2,245
1,"F",">=56","M",3,1,2,188
1,"F","26-35","S",3,2,2,88
1,"F","26-35","S",3,4,2,78
1,"F","16-25","M",3,2,2,78
0,"F","26-35","S",3,3,2,0
1,"F","26-35","S",4,2,2,79
1,"F","26-35","S",4,2,2,79
0,"F","16-25","S",3,4,2,0
0,"M","16-25","U",-1,1,-1,0
1,"F","26-35","M",3,-1,2,59.9
0,"M","16-25","S",2,-1,2,0
0,"M","16-25","S",2,-1,2,0
0,"M","16-25","S",2,-1,2,0
1,"F","26-35","M",1,4,2,198
1,"F","26-35","S",3,1,2,288
1,"F","46-55","S",2,3,3,78
1,"M","16-25","M",4,1,2,99
1,"M","16-25","M",4,1,2,269
1,"F","16-25","U",-1,4,-1,279
1,"F","36-45","S",-1,2,4,85
0,"F","16-25","S",3,3,2,69.9
1,"F","26-35","M",3,3,2,298
0,"F","26-35","M",3,3,2,0
1,"M","26-35","S",3,2,3,195
1,"F","16-25","S",3,-1,3,65
0,"F","16-25","U",-1,2,-1,0
1,"F","36-45","M",3,2,3,16
1,"F","26-35","M",4,2,2,79.9
1,"F","26-35","M",4,2,2,79.9
0,"F","26-35","S",3,3,3,139.9
1,"F","26-35","S",3,3,3,59.9
1,"F","16-25","S",2,2,3,100
1,"F","16-25","S",3,1,2,69
1,"F",">=56","M",4,3,2,79
1,"M","16-25","U",2,3,-1,129
1,"F","36-45","S",3,2,2,56
1,"F","16-25","S",2,1,2,79.9
0,"F","26-35","M",3,5,3,200
1,"M","16-25","M",3,3,2,78
0,"F","16-25","U",-1,3,-1,48
1,"F","26-35","M",2,3,3,245
1,"F","46-55","U",-1,1,-1,139
1,"M",">=56","M",3,2,2,0
1,"F","36-45","M",3,2,-1,79
0,"M","16-25","S",3,2,2,0
1,"M","46-55","S",2,-1,2,79.9
0,"F","16-25","U",-1,2,-1,0
1,"F","36-45","M",3,1,2,66
1,"F","26-35","S",3,4,2,69.9
1,"M","26-35","M",4,5,2,298
1,"F","26-35","S",3,2,3,110
1,"F","26-35","S",3,2,3,199
1,"F","26-35","S",3,1,2,99
1,"F",">=56","M",4,2,2,69.9
1,"M","36-45","M",3,3,2,298
0,"F","26-35","S",3,-1,2,159
0,"F","26-35","S",3,-1,2,0
1,"F","26-35","S",3,-1,2,100
1,"F","26-35","S",3,-1,2,298
1,"F","26-35","M",2,2,3,59.9
0,"F","36-45","M",3,1,2,89
1,"M","36-45","M",3,3,2,298
1,"M","26-35","M",3,2,2,298
0,"M","26-35","M",3,2,2,0
1,"F","46-55","U",-1,3,-1,89
0,"F",">=56","M",4,1,1,0
1,"F","26-35","S",3,1,2,59.9
0,"F","36-45","M",3,3,2,0
1,"F","36-45","M",3,3,2,99
1,"F","16-25","S",2,4,3,210
0,"F","16-25","S",2,4,3,0
1,"M","46-55","M",3,2,3,0
1,"F","26-35","U",3,-1,-1,65
0,"F","16-25","S",-1,2,4,55
1,"F","36-45","S",3,1,3,24.5
1,"F","26-35","S",3,4,2,59.9
1,"M","26-35","M",3,3,2,69.9
0,"F","26-35","S",3,2,2,175
1,"M","16-25","M",3,2,3,65
1,"F","26-35","S",2,2,2,129
1,"F","26-35","S",3,2,2,198
1,"F","36-45","M",3,3,2,198
0,"F","16-25","M",3,3,2,0
1,"F","26-35","S",2,2,2,360
1,"F","26-35","M",3,2,3,79
1,"F","26-35","U",-1,2,-1,78
1,"F","26-35","U",-1,2,-1,78
1,"F","36-45","M",3,1,2,148
1,"M","26-35","S",4,1,2,59.9
1,"F","26-35","S",3,2,2,55
1,"F","36-45","M",2,3,1,110
0,"M","16-25","S",3,2,2,300
1,"F","46-55","M",1,4,2,59.9
1,"F","16-25","S",3,1,2,99
1,"F","16-25","S",3,2,3,299
1,"F","16-25","M",3,2,3,78
1,"F","16-25","U",-1,-1,-1,248
1,"M","36-45","S",3,2,2,79.9
1,"F","26-35","M",2,4,3,49
1,"F","26-35","M",2,4,3,110
1,"F","36-45","M",3,2,3,69
0,"F","36-45","M",3,2,3,0
1,"F","16-25","M",2,3,2,93.5
1,"F","16-25","M",2,3,2,69
0,"F","16-25","S",3,2,2,0
0,"F","16-25","S",3,2,2,0
1,"F","16-25","S",2,1,3,59.9
1,"F","36-45","S",3,1,2,79
1,"F","26-35","U",-1,3,-1,110
1,"M","26-35","S",2,2,2,78
0,"F","26-35","M",2,2,2,0
1,"F","26-35","M",2,2,2,500
0,"F","26-35","M",2,2,2,0
1,"M","16-25","S",2,2,2,79.9
1,"F","16-25","S",2,-1,2,178
1,"F","16-25","S",2,-1,2,298
1,"M","46-55","S",-1,3,2,298
1,"F","26-35","M",4,2,2,298
1,"F","26-35","S",2,2,3,78
1,"M","36-45","M",3,4,2,89
1,"M","36-45","M",3,4,2,182
0,"M","36-45","M",3,4,2,0
1,"M","36-45","M",3,1,2,298
1,"M","26-35","S",3,2,2,330
1,"F","16-25","S",3,1,2,240
1,"M","26-35","S",4,2,2,245
1,"M","26-35","S",4,2,2,245
1,"F","26-35","U",-1,2,-1,110
1,"F","26-35","S",2,2,2,78
1,"F","26-35","M",3,2,2,336
1,"F","26-35","S",3,1,2,59
1,"F","26-35","M",3,2,2,99
1,"F","16-25","S",3,1,1,245
1,"F","26-35","M",4,2,2,239
1,"F","26-35","M",4,2,2,79
1,"F","26-35","M",4,2,2,139.9
1,"F","26-35","M",4,2,2,139.9
1,"F","16-25","S",2,2,3,100
1,"F","26-35","M",3,4,2,249
1,"F","26-35","S",2,4,2,99
0,"F","36-45","M",3,1,2,0
1,"M","16-25","S",4,3,3,19.9
1,"M","26-35","M",2,2,2,89
1,"F","26-35","M",3,2,2,129
1,"M","46-55","M",3,1,2,65
1,"F","16-25","S",3,4,3,49
1,"F","26-35","M",3,3,3,138
1,"M","36-45","M",3,1,3,12
1,"M","16-25","U",-1,2,-1,89
1,"F",">=56","S",-1,4,4,298
1,"F","26-35","M",4,1,2,79.9
1,"M","26-35","M",3,3,2,95
0,"F","46-55","M",3,1,3,0
1,"F","46-55","M",3,1,3,400
1,"M",">=56","M",4,2,2,59.9
1,"F","26-35","S",3,3,2,260
1,"F","26-35","S",3,3,2,80
0,"F","26-35","S",3,1,3,0
1,"M","36-45","M",4,2,2,168
1,"F","16-25","S",3,4,3,85
1,"M","36-45","M",3,-1,2,59.9
1,"F","26-35","S",3,2,3,79
1,"F","46-55","S",4,1,2,39
0,"M","26-35","U",-1,1,-1,99
0,"F","26-35","M",3,2,3,0
1,"F","26-35","S",2,4,2,79
1,"M","36-45","M",3,2,1,139.9
0,"M","26-35","S",2,2,2,0
1,"F","26-35","S",3,2,2,78
1,"F","16-25","S",3,1,2,300
1,"F","46-55","S",3,1,3,69
1,"F","36-45","M",-1,1,3,59
1,"F","36-45","M",4,1,2,93.5
1,"M","26-35","S",3,2,1,298
1,"F","26-35","M",4,2,2,109
1,"F","46-55","S",4,2,2,59.9
1,"F","26-35","M",3,1,2,61
1,"F","26-35","M",2,-1,2,99
1,"F","26-35","M",3,-1,2,199
1,"F","16-25","S",3,3,3,79.9
1,"M","26-35","U",-1,4,-1,89
1,"F","26-35","S",3,1,2,298
0,"F","36-45","U",-1,2,-1,0
1,"F","36-45","U",-1,2,-1,129
1,"M","36-45","M",4,2,2,55
1,"F","26-35","M",3,2,2,139.9
1,"F","16-25","S",3,2,3,198
1,"F","16-25","S",3,1,2,298
1,"F","16-25","S",3,4,2,298
0,"F","36-45","M",3,4,2,0
0,"F","26-35","S",3,3,3,167
0,"M","26-35","M",4,3,2,0
1,"M","26-35","M",4,3,2,99
0,"F","26-35","M",3,3,2,59
1,"F","26-35","M",2,2,2,77
1,"F","26-35","S",3,4,2,178
0,"F","16-25","S",3,3,2,0
1,"F","36-45","U",-1,2,-1,139
1,"F","36-45","U",-1,2,-1,37
1,"M","26-35","M",3,4,1,110
1,"F",">=56","U",-1,1,-1,89
1,"F","46-55","S",2,1,2,86
1,"M","26-35","S",3,1,3,118
1,"M","36-45","M",4,1,2,0
1,"F","26-35","S",3,4,2,99
1,"F","26-35","M",-1,2,2,119
1,"F","26-35","S",4,3,2,108
1,"F","36-45","S",4,2,2,198
0,"M","16-25","S",4,2,2,0
0,"M","36-45","M",2,4,2,69
1,"M","26-35","M",3,4,3,79.9
1,"M","26-35","M",3,4,3,139.9
1,"M","46-55","M",4,2,2,149
1,"F","26-35","M",2,2,2,179
0,"M","16-25","U",2,2,-1,59
0,"M","26-35","S",2,4,4,175
1,"F","26-35","M",3,-1,2,79.9
1,"F","16-25","S",1,2,2,55
1,"F","16-25","S",1,2,2,129
1,"F","26-35","M",3,2,3,298
1,"F","26-35","S",3,1,2,269
0,"M","36-45","S",3,4,2,0
0,"F","26-35","M",4,1,2,0
1,"F","26-35","M",4,1,2,178
1,"F","16-25","U",-1,2,-1,59
1,"F","36-45","S",2,2,3,59.9
1,"F","26-35","M",4,2,2,89
1,"F","46-55","S",3,3,2,79
1,"F","46-55","S",3,3,2,298
1,"F","16-25","S",3,1,3,78
0,"M","26-35","S",3,2,2,200
0,"F","26-35","S",-1,4,4,21.9
1,"F","16-25","S",3,2,3,79.9
1,"F","26-35","S",3,2,3,79.9
1,"F","26-35","S",2,3,3,79
1,"M","36-45","M",3,1,2,0
0,"M","36-45","M",3,1,2,0
0,"F","16-25","S",2,1,2,250
1,"M","36-45","M",4,1,2,108
0,"F","16-25","S",3,4,2,55
1,"F","36-45","M",3,2,3,78
1,"F","36-45","M",3,2,2,238
0,"M","26-35","U",-1,1,-1,198
1,"M","16-25","M",3,2,2,59.9
1,"F","26-35","M",2,2,-1,288
1,"M","36-45","M",4,2,2,109
1,"M","26-35","M",3,3,3,99
1,"F","16-25","S",3,2,2,69
1,"F","16-25","S",3,2,2,69
0,"F","16-25","S",3,2,2,0
0,"F","36-45","M",4,1,2,0
0,"F","46-55","U",-1,4,-1,29
1,"M","16-25","S",2,-1,3,299
0,"M","36-45","M",1,-1,2,79
1,"F","16-25","U",-1,2,-1,188
1,"M","26-35","M",3,1,2,89
1,"M","26-35","M",3,1,2,149
1,"M","26-35","M",3,1,2,89
1,"M","26-35","M",3,1,2,89
0,"M","26-35","M",3,1,2,89
0,"F","16-25","M",2,3,2,69
1,"F",">=56","M",3,1,2,78
1,"F","26-35","S",3,5,2,109
1,"F","26-35","S",3,5,2,228
1,"F","26-35","U",4,2,-1,170
1,"F","26-35","S",3,4,2,59
0,"M","36-45","M",3,-1,2,59
1,"F","36-45","M",3,3,2,298
1,"F","26-35","M",3,4,2,129
0,"F","26-35","M",3,4,2,0
1,"F","36-45","S",2,2,2,65
1,"M","26-35","M",1,3,3,139
1,"M","26-35","M",1,3,3,129
1,"M","36-45","M",3,-1,2,69
1,"M","36-45","M",3,-1,2,69
1,"F","36-45","M",3,1,2,128
1,"F","26-35","M",4,4,1,119
1,"F","26-35","M",3,4,2,79.9
0,"M","16-25","S",3,2,2,78
1,"M","26-35","M",3,4,3,69
0,"F","16-25","M",3,3,2,49
0,"M","16-25","S",3,1,2,0
1,"F","16-25","S",3,3,2,65
1,"F","26-35","S",3,2,3,69.9
1,"F","26-35","S",3,2,3,139
1,"M","16-25","S",3,3,3,100
0,"M","26-35","M",3,2,1,145
1,"F","16-25","S",3,3,2,298
1,"F","16-25","S",3,1,2,119
1,"M","26-35","M",3,2,1,78
1,"F","26-35","S",3,3,3,65
1,"F","16-25","S",2,4,3,69.9
0,"F","16-25","M",3,2,3,49
1,"F","26-35","S",3,1,2,178
1,"F","36-45","M",4,1,2,69
0,"M","36-45","M",1,4,2,0
1,"F","36-45","U",2,4,-1,78
0,"F","16-25","S",2,-1,3,68
1,"F","26-35","M",3,2,2,298
1,"F","16-25","U",-1,2,-1,90
1,"F","26-35","M",3,2,2,149
1,"M","16-25","M",2,1,2,78
1,"M","16-25","M",2,1,2,78
1,"M","16-25","M",2,1,2,78
0,"M","36-45","S",2,4,2,305
0,"F","26-35","M",3,4,2,0
1,"F","26-35","S",3,2,3,79
0,"F","26-35","M",3,4,2,59
1,"F","36-45","M",3,1,2,0
1,"F","16-25","S",3,2,3,39.9
1,"M","26-35","U",-1,4,-1,69.9
1,"F","26-35","S",3,4,2,355
1,"M","26-35","S",4,2,2,139
1,"F","26-35","S",3,2,2,298
1,"F","26-35","S",3,2,2,178
1,"F","26-35","M",2,4,2,90
1,"F","16-25","U",-1,2,-1,108
1,"F","16-25","S",2,2,2,49
0,"M","26-35","S",3,1,2,59
0,"M","26-35","S",2,-1,2,0
1,"F","36-45","M",3,2,2,148
0,"F","36-45","U",-1,4,-1,0
1,"F","16-25","S",3,1,2,245
1,"F",">=56","S",2,3,3,110
1,"M","16-25","S",4,1,2,298
1,"F","36-45","M",2,4,3,170
1,"F","46-55","S",3,2,1,79.9
1,"F","16-25","S",3,1,2,148
0,"F","26-35","M",3,4,2,210
0,"F","26-35","M",4,2,2,0
1,"F","26-35","M",4,2,2,99
1,"F","36-45","M",3,3,1,298
1,"F","26-35","U",-1,1,-1,69.9
1,"F","26-35","U",-1,1,-1,158
1,"F","26-35","U",-1,1,-1,150
1,"F","16-25","S",3,-1,3,376
1,"F","36-45","S",3,1,2,78
1,"M","26-35","S",3,4,2,178
1,"M","26-35","S",3,4,2,298
1,"M","26-35","M",4,1,2,79.9
1,"M","26-35","M",4,1,2,79.9
1,"M","26-35","M",4,1,2,139.9
1,"F","16-25","S",3,3,2,298
1,"F","26-35","M",3,2,2,245
0,"F","16-25","S",3,3,1,0
0,"F","26-35","M",2,4,3,0
0,"F","26-35","M",2,4,3,230
1,"F","16-25","S",3,4,2,79
1,"F","26-35","S",3,2,2,59.9
1,"F","26-35","M",3,4,2,69
1,"F","16-25","S",2,4,3,78
1,"F","26-35","S",2,3,3,99
1,"F","36-45","M",4,-1,2,188
1,"F","16-25","M",3,3,3,59.9
0,"M","36-45","M",2,4,3,0
1,"M",">=56","M",3,2,1,298
1,"F","16-25","S",2,2,2,139
0,"F","26-35","U",2,5,-1,0
0,"F","26-35","S",3,2,2,0
1,"F","26-35","S",3,2,2,250
1,"F","16-25","S",3,1,2,79
1,"F","26-35","U",-1,5,-1,65
0,"M","26-35","M",3,3,2,0
0,"M","26-35","M",3,3,2,0
1,"F","26-35","S",2,4,3,135
0,"M","16-25","S",2,1,2,0
0,"F","26-35","M",3,3,2,168
0,"M","26-35","S",2,2,3,59
0,"M","16-25","S",3,1,3,139
0,"F","16-25","S",3,3,2,0
1,"F","26-35","M",2,4,2,59
1,"M","46-55","M",3,4,2,77
0,"F","26-35","M",3,3,3,0
0,"M","46-55","M",3,1,3,0
0,"M","46-55","M",3,1,3,0
1,"M","46-55","M",3,1,3,165
1,"M",">=56","M",3,1,3,99.9
1,"F","16-25","U",-1,2,-1,167
1,"F","26-35","M",4,1,2,139.9
1,"F","16-25","S",3,3,2,158
1,"F",">=56","M",4,1,3,149
1,"F",">=56","M",4,1,3,150
1,"F","26-35","S",3,1,3,148
0,"F","36-45","S",-1,3,4,79
0,"F","26-35","S",3,2,2,99
1,"M","16-25","M",2,5,2,78
0,"F","26-35","S",3,2,3,58
1,"F","16-25","U",-1,5,-1,97
0,"M","16-25","S",2,3,2,0
0,"M","16-25","S",2,3,2,0
1,"F","26-35","M",3,1,2,79.9
1,"F","36-45","M",2,2,3,69.9
1,"F","36-45","M",-1,4,2,0
1,"F","26-35","S",4,1,2,149
0,"F","36-45","M",2,4,2,75
1,"F","16-25","M",3,-1,2,78
0,"F","26-35","M",3,2,2,0
0,"M","16-25","S",3,4,2,0
0,"F","16-25","M",-1,3,3,0
0,"M","16-25","S",3,2,2,0
1,"F","46-55","U",-1,2,-1,55
0,"F","46-55","U",-1,2,-1,145
0,"F","36-45","M",-1,2,3,58
1,"M","26-35","M",2,1,2,128
1,"F",">=56","U",-1,2,-1,209
0,"F","26-35","U",-1,2,-1,0
1,"F",">=56","M",-1,2,-1,109
1,"M","36-45","M",4,2,2,298
1,"M","36-45","M",4,2,2,178
1,"M","36-45","M",4,2,2,298
1,"F",">=56","S",3,2,3,80
0,"F","16-25","M",3,1,2,49
0,"F","16-25","M",3,1,2,99
1,"F","36-45","M",4,3,2,78
1,"M","26-35","S",3,2,2,80
1,"F","26-35","M",1,4,3,85
0,"F","16-25","S",1,1,2,0
0,"F","16-25","S",1,1,2,0
1,"F","16-25","S",1,1,2,59
0,"F","16-25","S",1,1,2,0
1,"F","16-25","S",3,2,3,78
1,"F","26-35","M",4,1,2,298
1,"F","36-45","S",3,1,2,110
1,"F","36-45","U",-1,2,-1,78
0,"F","36-45","U",-1,2,-1,58
1,"F","16-25","S",-1,3,-1,69
0,"F","36-45","M",3,4,2,96
1,"F",">=56","S",3,4,2,59
1,"M","36-45","M",4,2,2,400
1,"F","36-45","M",4,4,2,129
1,"F","36-45","M",4,4,2,0
0,"F","16-25","M",4,2,3,39
1,"F","26-35","S",3,4,2,79
1,"M","26-35","U",-1,3,-1,298
1,"M","16-25","S",3,2,2,85
1,"M","16-25","M",-1,3,-1,99.9
1,"F","16-25","S",2,2,3,49
1,"M","26-35","S",3,1,2,188
0,"F","26-35","M",2,1,1,0
1,"M","36-45","S",3,2,2,298
1,"F","36-45","M",4,3,2,149
1,"F","36-45","S",3,3,3,99
0,"F","36-45","S",3,3,3,0
1,"F","26-35","S",3,2,2,98
1,"F","26-35","S",-1,-1,3,79
0,"M","26-35","U",-1,1,-1,0
1,"F","16-25","S",3,4,3,59
0,"F","36-45","S",3,3,2,0
0,"F",">=56","S",-1,-1,4,0
1,"F","16-25","S",3,1,2,169
