"Income","Country","Age","Height","Location","Gender","Sales"
56242,"Sylvania",40,62,"City","Male",783
4513,"Freedonia",26,67,"City","Female",NA
26222,"Sylvania",60,64,"City","Female",808
26521,"Freedonia",95,68,"Rural","Female",NA
294194,"Freedonia",42,68,"City","Female",NA
219802,"Sylvania",36,64,"City","Male",740
216943,"Freedonia",23,68,"City","Female",NA
44067,"Sylvania",22,70,"City","Male",-754
278664,"Sylvania",28,65,"Rural","Male",328
15160,"Sylvania",26,65,"City","Female",719
23942,"Sylvania",36,67,"City","Male",830
27270,"Sylvania",39,68,"City","Female",598
60275,"Sylvania",27,64,"City","Female",553
51240,"Sylvania",43,64,"City","Female",766
1180,"Freedonia",26,64,"City","Female",NA
3335,"Sylvania",29,65,"City","Male",771
54710,"Sylvania",30,66,"City","Male",783
101163,"Sylvania",52,62,"City","Female",749
76510,"Sylvania",28,65,"City","Female",668
6983,"Freedonia",42,66,"Rural","Female",NA
633792,"Freedonia",63,66,"Rural","Female",NA
17596,"Sylvania",52,63,"City","Male",950
95422,"Sylvania",19,66,"City","Male",693
62960,"Sylvania",44,67,"City","Female",649
149762,"Sylvania",19,65,"Rural","Male",361
104099,"Sylvania",36,72,"City","Male",830
66965,"Freedonia",25,61,"Rural","Male",NA
58282,"Freedonia",42,63,"Rural","Female",NA
62683,"Sylvania",51,67,"Rural","Female",211
55627,"Freedonia",29,60,"Rural","Female",NA
2851,"Sylvania",88,70,"City","Male",1022
2372,"Sylvania",45,64,"Rural","Female",207
57717,"Sylvania",32,72,"City","Male",819
47219,"Freedonia",32,60,"Rural","Male",NA
159829,"Sylvania",86,64,"City","Female",876
270349,"Sylvania",53,65,"City","Male",897
115050,"Sylvania",26,65,"City","Female",663
118491,"Freedonia",67,62,"Rural","Male",NA
71716,"Freedonia",48,61,"Rural","Male",NA
7007,"Freedonia",25,65,"City","Female",NA
17863,"Sylvania",22,61,"City","Male",843
2751,"Sylvania",33,68,"City","Female",654
76507,"Freedonia",58,67,"City","Male",NA
8699,"Freedonia",31,62,"Rural","Female",NA
44472,"Sylvania",44,65,"City","Male",803
385637,"Sylvania",28,66,"City","Male",869
12768,"Sylvania",36,70,"City","Female",683
11414,"Sylvania",25,65,"City","Male",829
11101,"Sylvania",19,65,"City","Male",-765
32595,"Freedonia",58,62,"Rural","Male",NA
170516,"Sylvania",28,66,"City","Male",798
52391,"Sylvania",18,64,"City","Female",-644
16837,"Sylvania",42,65,"City","Male",772
250265,"Freedonia",23,66,"Rural","Male",NA
56467,"Freedonia",39,67,"City","Male",NA
18122,"Sylvania",41,62,"Rural","Male",285
59974,"Sylvania",36,67,"City","Male",822
243321,"Sylvania",76,66,"City","Male",999
7035,"Sylvania",31,61,"Rural","Male",299
46835,"Sylvania",27,63,"City","Male",708
59914,"Freedonia",33,65,"Rural","Female",NA
53129,"Freedonia",46,65,"Rural","Male",NA
15404,"Sylvania",81,66,"City","Male",-1028
4453,"Sylvania",43,65,"City","Male",898
16190,"Sylvania",26,66,"City","Male",787
67689,"Freedonia",26,67,"Rural","Male",NA
4173,"Freedonia",20,62,"Rural","Male",NA
3102,"Sylvania",40,67,"Rural","Male",323
2594,"Freedonia",40,74,"Rural","Male",NA
21548,"Sylvania",19,64,"Rural","Female",142
14839,"Sylvania",73,68,"City","Female",801
4021,"Sylvania",32,64,"City","Male",732
27235,"Sylvania",38,66,"City","Male",759
114871,"Sylvania",66,65,"City","Male",770
22062,"Freedonia",101,69,"Rural","Male",NA
216712,"Sylvania",56,65,"City","Female",794
29152,"Sylvania",34,65,"City","Male",827
749345,"Sylvania",34,63,"City","Female",671
159734,"Sylvania",64,66,"Rural","Female",242
12897,"Sylvania",21,63,"City","Female",438
205395,"Sylvania",25,65,"City","Female",592
61095,"Sylvania",34,62,"City","Female",725
106275,"Freedonia",112,66,"Rural","Female",NA
11437,"Sylvania",29,64,"City","Male",788
32948,"Sylvania",24,65,"Rural","Female",177
8793,"Sylvania",53,69,"City","Male",929
22307,"Freedonia",71,65,"Rural","Female",NA
10079,"Sylvania",79,66,"City","Male",900
49309,"Freedonia",48,62,"Rural","Female",NA
126911,"Freedonia",24,63,"Rural","Male",NA
13801,"Sylvania",59,62,"Rural","Male",327
19374,"Sylvania",91,67,"City","Female",-860
49507,"Sylvania",45,70,"City","Male",911
269395,"Freedonia",25,68,"Rural","Female",NA
136615,"Sylvania",39,66,"Rural","Male",232
11220,"Freedonia",22,64,"Rural","Male",NA
1990,"Sylvania",49,62,"City","Female",691
12875,"Sylvania",94,68,"City","Female",781
70819,"Sylvania",19,66,"City","Male",612
3019,"Freedonia",23,65,"Rural","Male",NA
84401,"Freedonia",32,61,"Rural","Male",NA
3074,"Freedonia",68,70,"Rural","Female",NA
27062,"Sylvania",19,66,"City","Female",655
32123,"Sylvania",43,63,"City","Female",693
58341,"Sylvania",27,64,"Rural","Male",274
173620,"Sylvania",42,62,"Rural","Female",224
22398,"Sylvania",37,67,"Rural","Male",292
28848,"Sylvania",47,69,"Rural","Female",235
84004,"Sylvania",37,69,"City","Male",975
228,"Sylvania",67,65,"City","Female",745
2392,"Sylvania",28,66,"City","Female",737
32207,"Sylvania",73,68,"City","Male",906
26891,"Sylvania",36,64,"City","Female",623
27077,"Sylvania",62,63,"City","Female",873
81315,"Sylvania",23,64,"City","Male",773
56159,"Sylvania",58,63,"City","Female",746
11116,"Sylvania",32,69,"City","Female",674
9952,"Sylvania",35,64,"Rural","Male",333
141110,"Sylvania",35,62,"City","Female",665
34856,"Sylvania",24,69,"City","Female",592
1106,"Sylvania",20,72,"Rural","Male",275
113865,"Freedonia",23,65,"Rural","Male",NA
146214,"Sylvania",26,63,"City","Female",574
54840,"Freedonia",21,69,"Rural","Female",NA
3079,"Sylvania",40,63,"City","Female",645
17480,"Sylvania",33,68,"City","Female",687
8047,"Sylvania",24,63,"Rural","Male",312
35279,"Sylvania",21,65,"City","Male",861
3691,"Freedonia",33,70,"Rural","Male",NA
11804,"Sylvania",35,60,"City","Male",757
61069,"Freedonia",58,69,"Rural","Male",NA
64039,"Freedonia",26,65,"Rural","Male",NA
326197,"Sylvania",67,61,"City","Male",943
31675,"Sylvania",43,65,"City","Male",821
1849,"Sylvania",22,66,"City","Male",761
141020,"Sylvania",101,61,"Rural","Male",452
2496,"Freedonia",41,62,"Rural","Female",NA
136151,"Sylvania",34,71,"City","Female",627
4390,"Sylvania",19,71,"City","Male",641
331986,"Sylvania",32,64,"City","Female",638
4628,"Sylvania",26,64,"City","Male",777
141368,"Sylvania",18,63,"Rural","Female",201
50703,"Sylvania",26,69,"City","Female",665
46779,"Sylvania",24,65,"City","Female",602
86138,"Sylvania",32,62,"City","Female",603
12056,"Sylvania",71,64,"City","Male",932
13201,"Sylvania",28,61,"City","Female",690
122103,"Freedonia",37,69,"Rural","Male",NA
6195,"Freedonia",35,70,"Rural","Female",NA
6255,"Sylvania",54,67,"City","Male",683
166180,"Freedonia",21,61,"Rural","Male",NA
4969,"Sylvania",32,65,"City","Female",626
78173,"Sylvania",55,65,"City","Female",701
20887,"Sylvania",38,63,"City","Female",686
114533,"Sylvania",36,67,"City","Male",810
36775,"Freedonia",23,61,"Rural","Male",NA
126589,"Sylvania",50,72,"Rural","Female",279
39083,"Sylvania",34,60,"Rural","Female",208
25379,"Sylvania",26,70,"City","Female",677
8455,"Sylvania",38,71,"City","Male",924
44955,"Freedonia",41,66,"Rural","Male",NA
111460,"Sylvania",51,67,"City","Male",899
302338,"Freedonia",33,65,"Rural","Female",NA
13030,"Freedonia",37,63,"City","Male",NA
87079,"Freedonia",57,65,"Rural","Female",NA
29243,"Freedonia",42,64,"Rural","Female",NA
12826,"Sylvania",69,65,"Rural","Female",269
4844,"Sylvania",67,67,"City","Female",840
18994,"Freedonia",49,67,"Rural","Male",NA
40475,"Sylvania",62,63,"City","Male",892
199356,"Freedonia",21,65,"Rural","Female",NA
56443,"Sylvania",22,64,"City","Male",927
4000,"Sylvania",33,67,"City","Male",667
14809,"Sylvania",32,58,"City","Male",770
53261,"Sylvania",26,69,"City","Female",663
78388,"Freedonia",24,63,"Rural","Male",NA
3661,"Sylvania",73,68,"City","Male",1002
859974,"Sylvania",38,65,"City","Male",-877
128510,"Freedonia",24,66,"Rural","Female",NA
32392,"Sylvania",82,67,"City","Male",1038
11435,"Freedonia",40,67,"Rural","Female",NA
7931,"Freedonia",89,68,"City","Female",NA
7594,"Sylvania",59,59,"City","Male",-757
2533,"Sylvania",47,67,"City","Female",624
421298,"Sylvania",22,65,"City","Female",671
7405,"Sylvania",20,72,"Rural","Male",337
1518,"Sylvania",23,61,"City","Female",664
12411,"Sylvania",30,68,"City","Female",648
15094,"Sylvania",22,61,"City","Female",580
69310,"Sylvania",45,72,"City","Male",807
11252,"Sylvania",47,66,"City","Male",807
13224,"Sylvania",53,66,"City","Male",932
252894,"Sylvania",39,63,"City","Male",751
19629,"Freedonia",24,65,"Rural","Female",NA
208736,"Sylvania",58,69,"City","Male",868
147108,"Sylvania",41,65,"City","Female",730
51693,"Sylvania",24,68,"City","Female",547
32589,"Sylvania",20,69,"City","Male",818
348832,"Sylvania",24,63,"City","Male",780
77077,"Freedonia",60,60,"Rural","Male",NA
25778,"Freedonia",30,63,"City","Male",NA
22755,"Freedonia",33,70,"City","Female",NA
25613,"Sylvania",51,70,"City","Female",770
554786,"Sylvania",37,65,"City","Female",640
19065,"Sylvania",53,63,"City","Male",866
12114,"Sylvania",20,65,"City","Female",645
47686,"Sylvania",28,68,"City","Male",835
149308,"Sylvania",23,68,"City","Male",858
17439,"Sylvania",32,63,"City","Male",958
305641,"Sylvania",22,65,"City","Female",665
166273,"Freedonia",73,62,"City","Male",NA
176064,"Sylvania",33,64,"Rural","Male",271
8686,"Sylvania",20,61,"City","Female",565
6709,"Freedonia",37,62,"Rural","Female",NA
2946,"Sylvania",39,67,"Rural","Male",388
60425,"Freedonia",34,65,"Rural","Male",NA
31459,"Sylvania",56,74,"Rural","Female",250
60216,"Sylvania",63,62,"City","Male",859
46016,"Freedonia",25,68,"City","Female",NA
94283,"Sylvania",28,71,"City","Male",813
4048,"Freedonia",57,62,"Rural","Female",NA
10857,"Sylvania",20,63,"City","Female",621
128494,"Sylvania",39,68,"City","Female",752
29320,"Sylvania",58,65,"City","Female",844
26118,"Sylvania",42,65,"City","Male",784
33376,"Sylvania",111,57,"City","Female",991
11050,"Sylvania",29,62,"City","Male",689
105446,"Sylvania",46,63,"Rural","Male",340
41202,"Freedonia",24,67,"Rural","Female",NA
2559,"Sylvania",22,69,"City","Male",713
42532,"Sylvania",23,60,"City","Male",847
16673,"Sylvania",52,61,"Rural","Male",318
6821,"Sylvania",65,64,"Rural","Male",370
16381,"Sylvania",24,60,"City","Male",826
192809,"Sylvania",53,65,"City","Female",781
37343,"Freedonia",18,66,"Rural","Male",NA
375081,"Freedonia",28,68,"Rural","Female",NA
29335,"Sylvania",29,67,"City","Female",736
117208,"Sylvania",18,66,"City","Female",510
60747,"Sylvania",50,62,"City","Male",876
936,"Sylvania",78,66,"City","Male",973
119742,"Freedonia",93,64,"City","Female",NA
135191,"Sylvania",31,62,"City","Male",555
19200,"Sylvania",35,66,"City","Male",911
116222,"Freedonia",38,70,"Rural","Female",NA
18961,"Sylvania",55,65,"Rural","Male",328
11982,"Sylvania",33,61,"City","Female",705
14502,"Freedonia",27,64,"Rural","Male",NA
5755,"Sylvania",23,63,"Rural","Female",189
8717,"Freedonia",55,60,"Rural","Male",NA
50066,"Sylvania",34,63,"City","Female",587
736000,"Sylvania",28,68,"City","Male",772
6125,"Sylvania",53,66,"City","Male",858
39508,"Sylvania",28,62,"City","Female",763
153,"Sylvania",34,61,"Rural","Female",241
21243,"Sylvania",60,70,"City","Female",740
14305,"Sylvania",25,61,"City","Male",644
53069,"Sylvania",33,68,"City","Male",703
982831,"Sylvania",23,66,"Rural","Female",189
39216,"Freedonia",22,71,"Rural","Female",NA
2977,"Sylvania",23,66,"Rural","Female",201
38027,"Freedonia",22,74,"Rural","Male",NA
75212,"Sylvania",23,68,"City","Female",560
15825,"Sylvania",38,66,"City","Female",739
170669,"Sylvania",71,62,"Rural","Female",275
6142,"Sylvania",26,61,"City","Male",857
46437,"Sylvania",44,66,"City","Male",859
171553,"Freedonia",27,63,"Rural","Female",NA
16067,"Sylvania",58,70,"City","Female",750
23055,"Sylvania",30,64,"City","Male",834
24990,"Sylvania",36,60,"City","Male",797
45014,"Sylvania",24,66,"City","Male",769
48632,"Freedonia",63,63,"Rural","Female",NA
10691,"Sylvania",35,62,"Rural","Male",371
23746,"Freedonia",32,74,"Rural","Female",NA
254764,"Freedonia",32,67,"Rural","Male",NA
4681,"Freedonia",28,68,"Rural","Male",NA
9822,"Freedonia",61,69,"Rural","Male",NA
2349,"Sylvania",94,69,"City","Male",966
274199,"Sylvania",18,63,"City","Male",814
42386,"Sylvania",20,66,"City","Female",698
13161,"Freedonia",91,65,"Rural","Male",NA
88251,"Sylvania",41,60,"City","Male",909
451436,"Sylvania",21,67,"City","Male",827
8357,"Sylvania",39,63,"Rural","Male",293
24453,"Sylvania",26,59,"City","Male",722
22536,"Freedonia",22,63,"Rural","Male",NA
154879,"Sylvania",61,62,"Rural","Male",367
15224,"Freedonia",59,69,"City","Male",NA
10630,"Freedonia",40,66,"City","Male",NA
109681,"Sylvania",40,69,"City","Male",758
49186,"Sylvania",48,69,"Rural","Male",441
29619,"Sylvania",30,64,"City","Male",718
31968,"Freedonia",18,67,"Rural","Male",NA
31826,"Sylvania",32,66,"Rural","Female",203
342486,"Sylvania",58,67,"City","Female",703
5966,"Sylvania",40,69,"City","Male",797
17236,"Sylvania",19,67,"City","Female",668
146521,"Sylvania",30,64,"City","Male",727
64349,"Sylvania",60,61,"City","Male",940
6632,"Sylvania",47,63,"City","Male",885
257121,"Sylvania",25,65,"City","Female",525
4727,"Sylvania",36,71,"Rural","Male",342
4607,"Sylvania",111,63,"Rural","Male",474
46619,"Sylvania",24,61,"City","Female",646
33994,"Freedonia",84,62,"Rural","Female",NA
29111,"Sylvania",31,71,"City","Male",920
13738,"Sylvania",18,61,"City","Female",622
252823,"Freedonia",29,66,"Rural","Female",NA
43166,"Sylvania",60,69,"City","Male",707
67191,"Freedonia",78,65,"City","Female",NA
12718,"Sylvania",23,69,"City","Female",682
2123,"Freedonia",26,69,"Rural","Male",NA
12206,"Sylvania",22,63,"City","Male",841
84905,"Sylvania",35,64,"City","Male",808
22855,"Sylvania",33,63,"City","Male",806
9865,"Sylvania",85,62,"Rural","Male",400
10795,"Sylvania",26,77,"City","Male",771
10025,"Sylvania",22,69,"City","Female",514
31618,"Sylvania",28,65,"City","Male",817
1018948,"Sylvania",19,67,"City","Female",802
28113,"Freedonia",34,65,"Rural","Male",NA
47346,"Freedonia",21,65,"Rural","Male",NA
24244,"Freedonia",50,62,"Rural","Male",NA
55389,"Sylvania",31,64,"City","Female",704
145574,"Sylvania",39,63,"City","Female",645
88607,"Freedonia",47,63,"Rural","Female",NA
425746,"Sylvania",43,62,"City","Male",762
62471,"Sylvania",20,65,"City","Male",726
7707,"Sylvania",42,66,"Rural","Female",227
57382,"Freedonia",42,65,"Rural","Female",NA
7639,"Sylvania",56,65,"City","Female",881
135968,"Freedonia",26,70,"Rural","Female",NA
10191,"Sylvania",20,62,"Rural","Male",280
99238,"Sylvania",19,64,"City","Female",576
17443,"Sylvania",22,66,"City","Female",657
180700,"Sylvania",18,62,"City","Female",520
66966,"Sylvania",22,68,"City","Male",778
918948,"Sylvania",42,67,"City","Female",657
6934,"Sylvania",27,66,"Rural","Female",-208
117991,"Sylvania",94,63,"City","Female",837
2029,"Sylvania",23,62,"City","Male",805
4925,"Sylvania",49,65,"City","Female",725
56896,"Sylvania",53,67,"City","Female",723
12892,"Sylvania",25,69,"City","Male",826
55459,"Freedonia",21,62,"Rural","Female",NA
264503,"Sylvania",18,64,"City","Male",727
95054,"Sylvania",26,64,"City","Male",801
7571,"Freedonia",22,64,"Rural","Female",NA
85867,"Sylvania",47,65,"City","Male",882
25445,"Freedonia",21,62,"Rural","Male",NA
16996,"Sylvania",46,67,"City","Female",624
32423,"Sylvania",58,68,"City","Female",673
22491,"Sylvania",21,60,"City","Male",835
27800,"Freedonia",24,64,"City","Male",NA
16966,"Sylvania",27,63,"City","Female",559
76889,"Sylvania",27,66,"City","Male",641
19347,"Sylvania",36,65,"City","Male",779
369783,"Sylvania",19,65,"City","Male",766
16690,"Sylvania",40,69,"City","Male",830
25953,"Freedonia",34,68,"Rural","Male",NA
60599,"Sylvania",26,65,"Rural","Male",297
12555,"Freedonia",60,62,"Rural","Male",NA
16727,"Freedonia",29,69,"Rural","Female",NA
38700,"Sylvania",24,72,"Rural","Male",321
26993,"Sylvania",24,65,"City","Male",848
1574,"Sylvania",19,64,"City","Male",722
15837,"Freedonia",30,59,"Rural","Female",NA
456655,"Sylvania",29,64,"Rural","Female",209
26560,"Freedonia",23,64,"Rural","Female",NA
71086,"Sylvania",46,68,"City","Male",702
39596,"Sylvania",18,66,"Rural","Female",161
11337,"Sylvania",30,63,"City","Male",-885
22831,"Sylvania",21,68,"City","Male",797
9671,"Sylvania",20,68,"Rural","Male",284
14597,"Sylvania",23,62,"City","Female",-564
149526,"Sylvania",42,67,"Rural","Female",219
152503,"Sylvania",31,68,"Rural","Male",309
35366,"Sylvania",38,66,"City","Male",903
167495,"Sylvania",86,63,"City","Female",816
12436,"Freedonia",37,65,"Rural","Male",NA
211515,"Sylvania",32,62,"Rural","Male",-247
213635,"Sylvania",21,63,"City","Female",660
54082,"Sylvania",21,68,"City","Male",751
54674,"Sylvania",43,65,"City","Female",750
18068,"Sylvania",22,63,"City","Female",745
9605,"Sylvania",18,64,"City","Male",658
4589,"Sylvania",38,66,"City","Female",666
156737,"Sylvania",57,65,"City","Male",951
16126,"Sylvania",45,66,"Rural","Male",389
23824,"Sylvania",54,64,"City","Female",-799
8678,"Sylvania",70,68,"City","Male",1048
121835,"Freedonia",22,66,"Rural","Female",NA
374810,"Sylvania",34,69,"Rural","Male",311
12955,"Sylvania",32,69,"City","Female",707
96954,"Freedonia",35,64,"City","Male",NA
30688,"Freedonia",67,68,"Rural","Female",NA
10919,"Sylvania",18,67,"City","Male",744
61019,"Sylvania",45,61,"Rural","Female",235
21469,"Sylvania",29,63,"City","Female",598
6020,"Sylvania",22,64,"City","Female",562
29590,"Sylvania",27,70,"City","Male",766
125923,"Sylvania",27,69,"Rural","Female",212
63659,"Freedonia",24,64,"City","Female",NA
2929,"Sylvania",33,61,"City","Female",688
18874,"Sylvania",63,67,"City","Female",686
10125,"Sylvania",22,63,"City","Female",567
4710,"Sylvania",19,61,"Rural","Female",196
4008,"Sylvania",43,64,"City","Female",698
4487,"Sylvania",20,68,"Rural","Male",332
11180,"Sylvania",19,65,"City","Female",536
5525,"Sylvania",97,69,"City","Male",1109
762978,"Sylvania",29,65,"City","Female",644
57968,"Freedonia",34,67,"Rural","Male",NA
142489,"Sylvania",32,70,"City","Female",632
12116,"Sylvania",23,60,"City","Female",627
174248,"Sylvania",54,62,"City","Female",695
813,"Sylvania",19,70,"City","Female",563
9326,"Sylvania",24,65,"City","Male",634
5284,"Sylvania",29,72,"City","Male",803
2488,"Sylvania",39,63,"City","Female",756
19286,"Sylvania",18,64,"City","Male",883
22751,"Sylvania",54,65,"City","Male",861
3687,"Sylvania",56,66,"City","Female",731
23076,"Sylvania",83,67,"City","Female",-808
21375,"Sylvania",24,63,"City","Male",672
210825,"Sylvania",55,66,"City","Female",714
71579,"Freedonia",24,68,"Rural","Female",NA
7744,"Freedonia",27,64,"City","Female",NA
22626,"Sylvania",22,61,"City","Female",656
70164,"Freedonia",28,65,"City","Female",NA
54333,"Sylvania",25,67,"City","Female",-639
12327,"Sylvania",31,69,"City","Male",669
28970,"Sylvania",35,68,"City","Female",753
12909,"Sylvania",24,65,"City","Male",765
9775,"Sylvania",31,65,"Rural","Female",241
40767,"Sylvania",27,64,"City","Female",645
144065,"Sylvania",24,70,"City","Female",684
2440,"Sylvania",35,65,"City","Male",780
9564,"Sylvania",49,69,"City","Female",748
138944,"Freedonia",36,68,"Rural","Male",NA
72176,"Sylvania",53,64,"City","Male",874
20210,"Freedonia",32,63,"Rural","Male",NA
22800,"Sylvania",19,64,"Rural","Female",238
47390,"Sylvania",55,70,"City","Male",935
159155,"Freedonia",36,67,"Rural","Male",NA
689746,"Sylvania",53,63,"City","Female",828
519588,"Sylvania",18,67,"Rural","Female",176
21989,"Sylvania",24,67,"City","Male",771
33969,"Sylvania",60,70,"City","Female",782
8620,"Sylvania",25,71,"City","Female",732
3141,"Sylvania",50,66,"City","Female",731
247228,"Freedonia",21,65,"Rural","Male",NA
13529,"Sylvania",59,62,"Rural","Male",324
5557,"Sylvania",40,67,"City","Female",688
32526,"Sylvania",48,62,"City","Female",727
113730,"Sylvania",73,66,"City","Female",841
100103,"Sylvania",48,67,"City","Female",742
141905,"Sylvania",59,68,"City","Female",717
11134,"Freedonia",36,64,"City","Male",NA
7790,"Freedonia",21,65,"City","Female",NA
36765,"Sylvania",34,63,"City","Male",846
31380,"Sylvania",72,64,"City","Female",879
14998,"Sylvania",21,62,"City","Male",722
121701,"Sylvania",40,63,"Rural","Female",216
25768,"Sylvania",52,65,"City","Female",773
2366,"Freedonia",37,71,"Rural","Male",NA
26580,"Sylvania",40,65,"City","Male",777
7388,"Freedonia",73,64,"City","Female",NA
11073,"Sylvania",52,69,"Rural","Male",351
78888,"Sylvania",107,63,"City","Female",890
17241,"Sylvania",36,62,"Rural","Male",346
8937,"Sylvania",87,66,"City","Male",-998
56160,"Sylvania",23,66,"City","Male",712
50647,"Sylvania",24,66,"City","Male",848
46990,"Sylvania",80,63,"City","Female",839
