"TARGET","GENDER","MARRIAGE","CREDIT_LIMIT","AGE"
"NOT_PAID",1,2,60000,30
"PAID",2,1,4e+05,44
"PAID",2,2,50000,49
"PAID",1,2,160000,33
"NOT_PAID",2,1,360000,45
"PAID",2,2,160000,32
"PAID",2,1,130000,35
"PAID",1,2,20000,44
"NOT_PAID",1,1,2e+05,53
"PAID",2,2,280000,39
"PAID",2,2,1e+05,27
"PAID",2,1,160000,37
"PAID",2,2,60000,23
"PAID",1,2,90000,35
"PAID",1,1,360000,43
"PAID",1,2,150000,27
"PAID",2,1,50000,22
"NOT_PAID",1,1,20000,38
"PAID",1,2,140000,32
"PAID",2,2,380000,30
"PAID",1,1,480000,63
"NOT_PAID",2,2,50000,22
"PAID",2,2,60000,26
"PAID",2,2,70000,24
"PAID",2,1,80000,36
"PAID",1,2,350000,52
"PAID",1,2,130000,38
"PAID",1,1,360000,35
"PAID",2,1,330000,31
"PAID",1,1,50000,47
"PAID",1,1,280000,41
"PAID",2,2,1e+05,24
"PAID",1,2,50000,41
"NOT_PAID",1,2,30000,24
"PAID",1,2,240000,28
"NOT_PAID",1,2,80000,26
"PAID",1,1,4e+05,34
"PAID",2,2,240000,38
"NOT_PAID",1,2,50000,37
"NOT_PAID",1,1,450000,40
"PAID",2,1,110000,48
"NOT_PAID",2,1,310000,35
"PAID",1,2,20000,27
"PAID",1,2,20000,23
"PAID",1,2,2e+05,52
"NOT_PAID",1,1,180000,36
"NOT_PAID",1,1,50000,51
"PAID",1,1,60000,55
"PAID",2,2,30000,23
"PAID",1,2,240000,41
"PAID",1,1,420000,34
"PAID",1,1,330000,46
"PAID",2,2,30000,22
"PAID",1,1,240000,34
"PAID",1,2,150000,27
"PAID",2,1,210000,33
"NOT_PAID",2,1,50000,51
"PAID",1,2,50000,24
"NOT_PAID",1,2,240000,47
"PAID",1,2,180000,28
"PAID",1,2,50000,23
"PAID",1,2,170000,29
"PAID",1,2,20000,29
"PAID",1,2,50000,28
"NOT_PAID",2,2,170000,27
"PAID",1,2,2e+05,34
"PAID",2,1,80000,23
"PAID",2,1,260000,60
"PAID",1,1,140000,32
"PAID",1,2,80000,25
"PAID",1,2,350000,41
"PAID",2,1,280000,56
"PAID",2,2,30000,26
"PAID",1,1,140000,34
"PAID",2,2,2e+05,37
"PAID",2,2,2e+05,30
"NOT_PAID",1,1,210000,45
"PAID",1,1,50000,57
"PAID",1,2,30000,41
"PAID",1,2,50000,27
"PAID",1,1,290000,47
"PAID",2,1,250000,34
"PAID",2,1,60000,46
"PAID",2,2,110000,27
"PAID",1,2,370000,50
"PAID",1,1,1e+05,27
"PAID",2,1,90000,35
"PAID",2,2,50000,22
"PAID",1,2,270000,37
"PAID",2,2,3e+05,30
"PAID",2,2,50000,22
"NOT_PAID",2,2,50000,24
"PAID",1,2,360000,29
"NOT_PAID",1,1,130000,56
"PAID",1,2,80000,30
"PAID",1,2,50000,30
"PAID",2,2,20000,22
"PAID",2,1,80000,29
"PAID",1,2,240000,37
"PAID",2,2,80000,35
"PAID",2,1,5e+05,47
"NOT_PAID",2,1,60000,24
"PAID",1,2,20000,25
"NOT_PAID",2,1,1e+05,38
"PAID",2,2,360000,32
"NOT_PAID",2,2,2e+05,47
"PAID",2,1,130000,34
"PAID",2,2,20000,31
"PAID",1,2,310000,32
"NOT_PAID",2,2,60000,27
"PAID",2,2,180000,29
"PAID",2,2,180000,24
"PAID",1,1,50000,36
"NOT_PAID",2,2,50000,24
"PAID",2,1,150000,34
"PAID",2,2,20000,22
"PAID",2,1,5e+05,34
"NOT_PAID",2,2,30000,22
"PAID",2,1,180000,38
"PAID",1,2,140000,31
"PAID",2,2,140000,26
"PAID",1,2,120000,26
"PAID",2,1,360000,48
"PAID",1,1,20000,43
"PAID",1,1,1e+05,47
"NOT_PAID",2,1,210000,41
"NOT_PAID",2,2,80000,24
"PAID",2,1,330000,50
"PAID",1,2,220000,24
"NOT_PAID",2,1,210000,38
"PAID",2,1,40000,43
"PAID",1,2,30000,39
"PAID",1,2,470000,27
"PAID",1,1,30000,42
"NOT_PAID",2,1,240000,36
"PAID",1,2,80000,36
"PAID",2,0,110000,31
"PAID",2,2,310000,38
"NOT_PAID",2,1,360000,40
"PAID",2,2,330000,45
"PAID",2,2,3e+05,35
"PAID",2,2,320000,33
"NOT_PAID",2,2,50000,37
"PAID",2,2,170000,28
"PAID",1,1,350000,44
"PAID",1,1,20000,37
"NOT_PAID",1,2,50000,23
"PAID",2,2,20000,24
"PAID",2,2,50000,24
"NOT_PAID",1,2,20000,23
"PAID",1,1,50000,26
"NOT_PAID",1,2,190000,34
"PAID",2,1,60000,33
"PAID",1,2,80000,35
"PAID",2,2,150000,27
"PAID",2,2,210000,31
"NOT_PAID",2,1,240000,50
"NOT_PAID",2,3,140000,41
"PAID",2,2,60000,28
"PAID",1,2,50000,39
"PAID",2,2,50000,27
"PAID",2,2,180000,32
"PAID",2,2,30000,40
"PAID",2,2,20000,40
"PAID",2,1,250000,75
"PAID",2,2,1e+05,27
"PAID",1,2,330000,25
"PAID",1,1,50000,46
"PAID",2,2,50000,26
"PAID",1,2,30000,28
"NOT_PAID",2,2,140000,26
"PAID",2,2,160000,28
"PAID",2,2,4e+05,29
"PAID",1,1,50000,25
"PAID",2,1,140000,48
"PAID",2,1,160000,33
"PAID",2,1,1e+05,43
"NOT_PAID",1,1,220000,48
"PAID",2,2,510000,29
"PAID",1,2,50000,29
"PAID",2,1,160000,38
"PAID",2,2,230000,37
"PAID",2,2,80000,37
"PAID",2,1,150000,25
"PAID",1,2,10000,23
"NOT_PAID",2,2,130000,49
"PAID",2,2,40000,48
"NOT_PAID",1,2,50000,27
"PAID",1,2,1e+05,32
"PAID",1,1,120000,34
"NOT_PAID",2,2,260000,58
"PAID",2,2,2e+05,33
"NOT_PAID",2,2,360000,28
"PAID",2,2,70000,36
"NOT_PAID",1,1,460000,40
"PAID",2,2,50000,26
"PAID",1,1,50000,33
"PAID",2,1,250000,31
"PAID",2,2,30000,27
"PAID",1,1,270000,44
"PAID",2,2,180000,30
"PAID",2,2,1e+05,28
"PAID",2,1,230000,32
"PAID",2,1,210000,46
"PAID",1,2,210000,38
"PAID",2,1,440000,46
"NOT_PAID",2,2,1e+05,25
"PAID",2,1,240000,46
"NOT_PAID",1,2,280000,33
"NOT_PAID",2,2,50000,22
"PAID",1,1,30000,43
"NOT_PAID",1,2,10000,27
"PAID",1,2,130000,29
"PAID",1,2,2e+05,31
"PAID",2,1,120000,29
"PAID",2,1,210000,36
"PAID",2,1,280000,36
"NOT_PAID",1,2,3e+05,34
"PAID",1,2,1e+05,37
"PAID",2,2,440000,36
"PAID",2,1,50000,40
"NOT_PAID",2,2,20000,25
"PAID",2,2,2e+05,27
"PAID",2,2,110000,26
"PAID",2,1,5e+05,36
"PAID",2,1,3e+05,27
"NOT_PAID",1,1,30000,55
"PAID",2,2,60000,27
"PAID",2,1,4e+05,38
"PAID",2,1,180000,34
"PAID",1,2,20000,40
"NOT_PAID",2,1,2e+05,49
"PAID",1,2,1e+05,27
"NOT_PAID",1,2,60000,23
"PAID",2,2,110000,36
"PAID",2,1,260000,53
"PAID",2,1,50000,46
"PAID",1,2,180000,29
"NOT_PAID",1,2,110000,29
"PAID",2,2,340000,27
"PAID",1,2,50000,24
"NOT_PAID",2,1,230000,28
"PAID",2,2,360000,32
"PAID",1,2,210000,43
"NOT_PAID",2,1,220000,41
"NOT_PAID",2,1,60000,34
"PAID",1,1,340000,55
"PAID",1,1,150000,40
"NOT_PAID",2,1,2e+05,37
"NOT_PAID",2,2,130000,40
"PAID",2,2,60000,28
"PAID",2,1,4e+05,43
"PAID",1,2,20000,27
"PAID",2,2,190000,28
"PAID",2,2,260000,30
"PAID",2,2,140000,31
"NOT_PAID",2,1,50000,31
"PAID",2,2,120000,34
"PAID",2,2,240000,30
"PAID",1,2,50000,36
"PAID",2,2,2e+05,29
"PAID",1,1,180000,39
"PAID",2,2,180000,26
"PAID",2,2,160000,29
"PAID",2,2,1e+05,26
"NOT_PAID",2,2,50000,29
"PAID",2,2,140000,31
"NOT_PAID",2,2,30000,26
"PAID",1,2,90000,26
"PAID",1,1,2e+05,36
"NOT_PAID",1,2,380000,30
"PAID",2,2,80000,43
"PAID",1,1,50000,58
"NOT_PAID",1,1,180000,45
"PAID",2,2,240000,26
"PAID",1,2,380000,34
"PAID",2,2,110000,24
"PAID",1,1,260000,34
"NOT_PAID",2,2,5e+05,23
"PAID",2,2,320000,30
"PAID",1,2,50000,32
"NOT_PAID",1,1,110000,40
"PAID",2,2,230000,35
"PAID",2,1,330000,56
"PAID",2,1,50000,61
"PAID",1,2,10000,24
"PAID",1,1,3e+05,40
"NOT_PAID",2,1,20000,32
"NOT_PAID",1,1,180000,36
"PAID",1,2,160000,30
"PAID",2,2,90000,34
"PAID",1,3,30000,54
"PAID",1,1,180000,46
"PAID",1,1,30000,58
"PAID",1,1,30000,43
"PAID",2,2,140000,28
"PAID",1,2,210000,30
"NOT_PAID",1,2,50000,31
"PAID",2,2,130000,29
"NOT_PAID",2,1,50000,37
"PAID",1,1,140000,36
"NOT_PAID",2,2,170000,28
"PAID",1,2,80000,25
"PAID",2,1,410000,42
"PAID",2,2,80000,29
"NOT_PAID",1,1,80000,73
"PAID",1,1,150000,43
"NOT_PAID",1,1,260000,30
"PAID",1,1,350000,38
"NOT_PAID",2,1,280000,39
"PAID",1,1,310000,44
"PAID",2,2,140000,29
"PAID",1,1,360000,51
"PAID",2,2,140000,27
"PAID",1,2,1e+05,38
"PAID",2,2,50000,22
"PAID",2,1,210000,30
"PAID",2,2,120000,25
"PAID",1,2,240000,29
"PAID",2,3,60000,42
"NOT_PAID",1,2,150000,41
"PAID",1,1,30000,48
"NOT_PAID",2,2,160000,29
"PAID",1,1,2e+05,52
"PAID",2,1,120000,25
"PAID",1,1,5e+05,37
"PAID",2,2,320000,27
"PAID",1,2,280000,31
"NOT_PAID",2,2,60000,23
"PAID",2,1,2e+05,38
"PAID",2,1,230000,32
"NOT_PAID",2,2,230000,27
"PAID",2,1,480000,41
"PAID",2,1,50000,35
"PAID",2,2,2e+05,31
"PAID",2,2,50000,30
"PAID",1,1,50000,48
"NOT_PAID",2,2,260000,36
"PAID",1,2,30000,24
"PAID",2,2,440000,29
"PAID",2,2,230000,38
"NOT_PAID",1,1,2e+05,38
"PAID",2,1,490000,30
"PAID",2,1,80000,32
"NOT_PAID",2,2,20000,49
"NOT_PAID",2,2,170000,31
"PAID",1,2,70000,27
"PAID",2,2,210000,33
"PAID",2,2,90000,25
"NOT_PAID",2,2,390000,27
"PAID",2,2,110000,29
"PAID",2,1,580000,36
"PAID",1,1,360000,55
"NOT_PAID",2,1,270000,32
"PAID",2,2,60000,27
"PAID",1,1,110000,37
"PAID",2,1,50000,25
"NOT_PAID",2,2,80000,23
"PAID",1,2,50000,23
"PAID",1,2,1e+05,32
"PAID",2,2,30000,26
"PAID",2,2,2e+05,27
"NOT_PAID",1,2,240000,44
"PAID",1,2,220000,34
"PAID",2,2,160000,28
"PAID",2,1,180000,53
"PAID",1,1,2e+05,42
"PAID",2,1,140000,30
"NOT_PAID",1,1,380000,51
"NOT_PAID",1,1,6e+05,53
"PAID",1,2,260000,37
"PAID",2,2,2e+05,26
"PAID",1,2,80000,42
"PAID",1,2,40000,39
"PAID",1,2,130000,39
"PAID",1,2,50000,32
"PAID",2,1,230000,41
"NOT_PAID",1,1,70000,48
"PAID",2,1,180000,38
"PAID",2,1,80000,36
"PAID",2,2,290000,26
"PAID",2,2,230000,28
"PAID",2,3,170000,56
"NOT_PAID",1,1,230000,59
"NOT_PAID",1,2,220000,38
"PAID",1,2,230000,32
"PAID",1,1,5e+05,38
"PAID",2,1,90000,41
"NOT_PAID",2,2,390000,35
"PAID",2,2,4e+05,41
"PAID",1,1,180000,34
"PAID",1,1,60000,38
"PAID",2,1,120000,32
"PAID",2,2,60000,29
"PAID",1,2,50000,44
"PAID",2,1,70000,37
"PAID",2,1,5e+05,38
"PAID",1,2,2e+05,31
"PAID",2,1,250000,40
"NOT_PAID",1,2,140000,26
"PAID",2,2,70000,28
"PAID",1,1,90000,48
"PAID",2,1,1e+05,43
"PAID",1,1,190000,31
"PAID",2,1,230000,42
"PAID",1,1,320000,39
"NOT_PAID",2,1,220000,36
"PAID",2,1,260000,34
"PAID",2,2,90000,32
"PAID",2,1,30000,43
"PAID",1,2,260000,30
"PAID",2,2,170000,28
"NOT_PAID",2,1,80000,28
"PAID",1,1,50000,41
"PAID",2,2,2e+05,47
"PAID",1,2,20000,23
"PAID",2,1,250000,49
"PAID",1,1,20000,38
"PAID",2,1,30000,38
"PAID",2,1,90000,35
"PAID",2,2,230000,46
"NOT_PAID",2,1,130000,33
"PAID",1,1,30000,53
"PAID",1,2,160000,35
"PAID",2,2,5e+05,43
"PAID",2,2,180000,28
"PAID",2,1,80000,30
"PAID",1,2,120000,26
"PAID",1,1,130000,31
"NOT_PAID",2,2,120000,35
"PAID",1,2,360000,28
"NOT_PAID",1,2,50000,23
"PAID",2,2,20000,23
"PAID",1,1,1e+05,56
"PAID",1,1,70000,32
"PAID",1,1,50000,47
"PAID",2,2,10000,22
"PAID",2,1,290000,34
"PAID",2,1,30000,31
"PAID",2,2,410000,27
"NOT_PAID",1,2,360000,28
"NOT_PAID",2,1,140000,42
"PAID",2,2,210000,32
"PAID",2,2,220000,27
"PAID",1,2,20000,27
"NOT_PAID",2,1,620000,45
"PAID",1,2,360000,26
"PAID",2,2,20000,21
"PAID",1,2,50000,23
"PAID",1,3,50000,30
"NOT_PAID",1,2,10000,46
"NOT_PAID",2,1,1e+05,50
"PAID",1,2,50000,26
"PAID",1,2,60000,25
"PAID",2,2,440000,35
"PAID",1,1,120000,44
"PAID",2,2,50000,52
"PAID",2,1,110000,40
"PAID",2,2,2e+05,38
"PAID",2,2,150000,28
"NOT_PAID",2,1,30000,36
"PAID",2,2,1e+05,24
"PAID",2,1,360000,34
"PAID",2,2,390000,31
"NOT_PAID",2,1,220000,41
"PAID",2,2,160000,25
"PAID",2,2,230000,28
"PAID",1,2,120000,27
"NOT_PAID",1,1,1e+05,52
"NOT_PAID",2,2,190000,41
"NOT_PAID",1,1,50000,56
"PAID",2,1,240000,42
"PAID",2,2,40000,24
"PAID",2,1,630000,47
"PAID",2,1,160000,33
"PAID",2,2,110000,32
"PAID",1,2,20000,29
"PAID",2,1,210000,53
"PAID",1,2,270000,34
"PAID",2,2,360000,52
"PAID",2,1,60000,42
"PAID",1,2,360000,38
"PAID",2,2,390000,45
"PAID",2,2,250000,35
"NOT_PAID",2,2,90000,24
"PAID",1,2,360000,28
"PAID",1,2,50000,26
"PAID",2,1,270000,40
"PAID",2,2,2e+05,29
"PAID",2,2,50000,23
"PAID",1,2,350000,33
"NOT_PAID",2,2,160000,60
"PAID",2,1,80000,49
"NOT_PAID",1,1,290000,53
"PAID",2,2,270000,28
"PAID",1,2,80000,31
"PAID",1,2,50000,36
"PAID",1,1,30000,35
"NOT_PAID",1,2,30000,28
"PAID",1,2,90000,33
"PAID",1,2,160000,26
"PAID",2,2,80000,53
"PAID",1,2,50000,42
"PAID",2,2,20000,25
"NOT_PAID",1,1,220000,43
"NOT_PAID",1,2,210000,25
"PAID",2,2,130000,29
"PAID",2,1,260000,31
"PAID",2,1,230000,30
"PAID",1,2,160000,34
"PAID",1,1,50000,35
"PAID",1,1,80000,32
"PAID",1,2,110000,46
"PAID",1,1,2e+05,43
"PAID",1,2,360000,29
"PAID",2,2,210000,31
"PAID",2,2,80000,24
"NOT_PAID",2,1,3e+05,36
"PAID",2,1,310000,43
"NOT_PAID",1,1,30000,59
"PAID",1,1,170000,53
"PAID",2,2,140000,28
"PAID",2,2,180000,31
"PAID",1,2,50000,34
"PAID",2,1,50000,36
"PAID",2,2,110000,24
"PAID",2,1,450000,36
"PAID",2,1,2e+05,34
"PAID",1,2,220000,43
"NOT_PAID",2,2,360000,29
"PAID",1,1,50000,37
"PAID",1,2,40000,23
"PAID",2,1,190000,37
"PAID",1,2,150000,33
"PAID",2,1,2e+05,37
"PAID",2,1,270000,56
"PAID",1,2,60000,25
"PAID",2,1,2e+05,39
"PAID",2,1,150000,39
"PAID",2,2,180000,28
"PAID",2,2,90000,27
"PAID",2,1,360000,37
"PAID",2,2,90000,24
"PAID",2,2,20000,24
"PAID",1,1,70000,46
"PAID",1,1,230000,39
"PAID",1,1,30000,48
"PAID",2,3,2e+05,45
"PAID",1,2,1e+05,49
"PAID",2,2,50000,23
"PAID",2,1,20000,25
"PAID",2,1,210000,47
"PAID",1,1,110000,56
"PAID",2,1,20000,44
"PAID",2,1,50000,49
"PAID",1,1,50000,41
"PAID",2,2,4e+05,40
"PAID",1,2,170000,31
"PAID",1,1,280000,42
"PAID",2,1,130000,28
"PAID",2,2,210000,32
"PAID",1,2,370000,28
"PAID",2,1,30000,31
"PAID",1,2,150000,39
"NOT_PAID",1,1,60000,31
"PAID",2,2,80000,24
"NOT_PAID",2,1,280000,44
"PAID",2,2,20000,46
"PAID",1,2,270000,32
"PAID",2,2,240000,26
"PAID",2,2,20000,22
"NOT_PAID",2,1,450000,42
"PAID",1,2,10000,33
"NOT_PAID",1,1,280000,39
"PAID",2,2,290000,27
"NOT_PAID",2,2,190000,28
"PAID",2,2,80000,23
"PAID",2,2,280000,28
"PAID",2,1,160000,33
"NOT_PAID",1,1,90000,40
"PAID",2,2,140000,37
"PAID",1,2,50000,22
"PAID",2,1,40000,32
"PAID",2,1,130000,43
"PAID",2,1,70000,27
"PAID",2,1,30000,35
"PAID",2,1,1e+05,35
"NOT_PAID",2,1,20000,30
"PAID",2,2,30000,34
"NOT_PAID",1,1,20000,34
"NOT_PAID",2,2,1e+05,28
"NOT_PAID",1,2,30000,25
"PAID",2,1,320000,41
"NOT_PAID",1,2,90000,42
"NOT_PAID",1,2,190000,40
"PAID",1,2,2e+05,28
"PAID",2,2,3e+05,31
"PAID",2,2,30000,56
"PAID",2,3,110000,45
"PAID",2,2,230000,29
"PAID",2,1,230000,35
"PAID",2,2,310000,28
"PAID",1,1,320000,40
"PAID",1,1,360000,47
"NOT_PAID",2,1,20000,41
"PAID",2,2,170000,27
"PAID",1,1,140000,40
"PAID",1,2,80000,32
"PAID",1,2,150000,35
"PAID",1,2,170000,27
"NOT_PAID",2,1,2e+05,29
"PAID",1,2,70000,30
"PAID",1,1,320000,37
"PAID",2,2,150000,29
"PAID",2,1,50000,34
"PAID",2,2,90000,34
"PAID",1,1,280000,41
"PAID",2,2,3e+05,31
"PAID",2,2,4e+05,40
"PAID",2,1,2e+05,27
"NOT_PAID",2,2,10000,22
"NOT_PAID",2,3,50000,30
"PAID",2,3,30000,22
"NOT_PAID",1,2,50000,26
"PAID",1,1,50000,38
"PAID",2,1,30000,46
"PAID",1,2,20000,24
"PAID",1,2,20000,49
"PAID",1,3,50000,49
"PAID",2,1,30000,42
"PAID",2,1,360000,30
"PAID",1,1,170000,42
"PAID",2,2,4e+05,31
"PAID",2,1,50000,49
"PAID",2,2,160000,27
"NOT_PAID",2,1,70000,33
"PAID",2,1,150000,35
"PAID",2,2,80000,48
"PAID",2,2,30000,22
"NOT_PAID",1,2,10000,22
"PAID",2,2,180000,27
"PAID",1,1,320000,47
"PAID",2,2,80000,34
"NOT_PAID",1,1,10000,45
"PAID",2,2,360000,39
"PAID",1,2,450000,33
"PAID",2,2,330000,29
"NOT_PAID",1,2,60000,29
"PAID",2,2,50000,26
"PAID",1,1,2e+05,38
"PAID",1,2,120000,34
"PAID",2,1,160000,37
"PAID",1,1,110000,57
"PAID",2,1,70000,50
"PAID",2,2,150000,28
"PAID",2,2,610000,31
"PAID",2,2,110000,25
"NOT_PAID",2,2,80000,25
"PAID",2,1,170000,33
"PAID",2,2,110000,30
"PAID",2,1,140000,51
"PAID",1,2,70000,51
"PAID",2,1,260000,46
"PAID",1,2,170000,38
"PAID",2,1,50000,34
"NOT_PAID",2,1,3e+05,34
"NOT_PAID",2,2,150000,31
"NOT_PAID",2,2,50000,25
"PAID",2,1,50000,26
"PAID",2,2,90000,25
"NOT_PAID",1,2,50000,26
"PAID",2,2,5e+05,43
"PAID",2,1,470000,36
"PAID",1,2,230000,58
"PAID",2,2,140000,26
"NOT_PAID",2,1,230000,30
"PAID",2,2,420000,31
"PAID",2,2,30000,24
"NOT_PAID",2,2,50000,52
"PAID",2,2,140000,24
"PAID",2,1,260000,35
"PAID",2,2,90000,29
"PAID",2,1,240000,33
"PAID",2,2,510000,35
"PAID",2,1,110000,35
"PAID",2,2,210000,28
"PAID",1,1,220000,40
"PAID",2,1,2e+05,35
"PAID",2,2,360000,53
"PAID",1,2,260000,44
"PAID",1,1,20000,33
"PAID",2,1,120000,32
"PAID",2,2,50000,33
"PAID",2,2,60000,26
"PAID",1,2,2e+05,26
"PAID",1,2,20000,26
"NOT_PAID",2,1,50000,32
"PAID",2,2,50000,31
"PAID",1,2,230000,29
"PAID",1,1,50000,27
"NOT_PAID",2,2,1e+05,28
"NOT_PAID",2,1,210000,42
"NOT_PAID",2,1,230000,32
"PAID",2,2,5e+05,26
"PAID",2,2,370000,38
"PAID",2,1,230000,35
"PAID",1,2,80000,29
"PAID",2,2,60000,29
"PAID",2,2,30000,51
"PAID",1,2,70000,27
"PAID",1,2,410000,32
"PAID",2,1,280000,40
"PAID",2,1,50000,34
"PAID",2,1,1e+05,30
"PAID",2,2,230000,29
"PAID",2,2,50000,22
"PAID",2,2,1e+05,48
"PAID",2,1,210000,35
"PAID",1,2,4e+05,37
"NOT_PAID",1,2,20000,25
"PAID",2,1,50000,44
"PAID",2,2,230000,28
"PAID",1,2,220000,29
"PAID",2,1,3e+05,36
"PAID",2,2,80000,23
"NOT_PAID",2,2,20000,36
"PAID",2,2,190000,26
"PAID",2,0,160000,37
"PAID",2,3,120000,44
"PAID",2,1,7e+05,39
"PAID",2,2,140000,24
"PAID",2,1,3e+05,29
"NOT_PAID",1,1,120000,33
"PAID",2,1,280000,39
"NOT_PAID",1,1,70000,51
"PAID",2,2,20000,24
"PAID",2,1,150000,45
"PAID",1,2,60000,30
"PAID",2,0,2e+05,51
"NOT_PAID",2,2,50000,24
"PAID",1,1,150000,50
"PAID",2,2,20000,22
"NOT_PAID",1,2,40000,27
"PAID",2,2,170000,33
"PAID",2,1,50000,24
"PAID",1,2,10000,37
"PAID",2,1,2e+05,58
"PAID",2,1,50000,48
"PAID",1,2,320000,28
"PAID",2,1,20000,24
"NOT_PAID",2,1,470000,27
"PAID",2,2,230000,30
"PAID",2,2,20000,23
"NOT_PAID",2,2,30000,53
"PAID",2,2,80000,23
"PAID",2,1,110000,55
"PAID",1,1,420000,34
"NOT_PAID",1,1,5e+05,43
"PAID",2,2,80000,22
"PAID",2,1,350000,31
"PAID",2,1,30000,32
"NOT_PAID",2,2,110000,33
"PAID",1,1,5e+05,39
"PAID",2,1,490000,38
"PAID",2,1,3e+05,34
"NOT_PAID",1,3,50000,42
"NOT_PAID",1,1,150000,37
"PAID",2,1,80000,57
"PAID",2,2,40000,23
"PAID",1,2,30000,32
"PAID",1,1,50000,37
"PAID",2,2,140000,23
"PAID",2,2,50000,49
"PAID",2,2,30000,25
"NOT_PAID",2,2,40000,29
"NOT_PAID",2,1,1e+05,43
"PAID",1,2,130000,29
"PAID",2,2,20000,27
"PAID",1,2,50000,26
"PAID",1,1,260000,41
"NOT_PAID",2,2,30000,52
"PAID",2,1,10000,31
"PAID",1,2,2e+05,32
"PAID",2,1,30000,46
"PAID",2,2,180000,35
"PAID",1,2,1e+05,35
"PAID",2,1,140000,39
"PAID",2,2,290000,34
"PAID",2,3,20000,52
"PAID",2,1,80000,40
"PAID",2,1,5e+05,38
"PAID",1,1,180000,45
"PAID",2,1,20000,40
"PAID",2,1,30000,25
"PAID",1,2,150000,33
"PAID",2,2,280000,27
"PAID",2,1,50000,43
"PAID",2,1,20000,43
"PAID",1,2,2e+05,30
"NOT_PAID",2,1,210000,49
"PAID",2,2,230000,38
"PAID",1,2,50000,57
"NOT_PAID",1,2,50000,55
"PAID",2,2,70000,23
"PAID",1,2,310000,30
"PAID",2,1,180000,30
"PAID",2,2,90000,24
"PAID",1,2,390000,28
"PAID",2,1,150000,34
"PAID",1,2,4e+05,37
"PAID",2,1,80000,32
"PAID",1,2,320000,27
"NOT_PAID",2,1,240000,37
"PAID",1,2,2e+05,31
"NOT_PAID",1,3,110000,55
"NOT_PAID",2,2,170000,28
"NOT_PAID",2,3,90000,51
"PAID",1,1,2e+05,36
"PAID",1,2,360000,30
"PAID",2,1,140000,36
"PAID",1,2,220000,25
"PAID",1,1,1e+05,50
"PAID",2,2,80000,40
"PAID",2,2,30000,27
"NOT_PAID",1,2,50000,30
"PAID",2,2,120000,26
"PAID",1,2,50000,27
"PAID",2,2,360000,27
"PAID",2,2,90000,25
"PAID",1,2,5e+05,32
"PAID",2,1,140000,46
"PAID",1,1,30000,45
"PAID",1,1,70000,30
"PAID",1,1,2e+05,39
"PAID",1,1,350000,48
"NOT_PAID",1,2,120000,32
"PAID",1,2,240000,46
"PAID",2,2,90000,23
"PAID",2,2,260000,33
"PAID",2,2,50000,24
