destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Accepted,ageActual
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,0,46
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,0,49
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,1,0,1,0,45
Work,Alone,Sunny,55,7AM,Bar,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,1,0,1,0,47
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,0,47
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,1,0,1,48
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,0,46
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,0,43
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1,49
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1,45
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1,47
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1,53
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1,44
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1,47
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1,44
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1,45
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1,45
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1,47
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1,45
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1,49
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,0,44
Home,Alone,Sunny,55,6PM,Bar,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,1,0,1,44
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,0,44
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1,45
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,1,0,1,0,41
Work,Alone,Sunny,55,7AM,Bar,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,1,0,1,1,41
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,1,44
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,1,0,0,44
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,0,0,0,1,1,47
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,NA,less1,1~3,1~3,1~3,less1,1,1,0,0,1,0,49
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,0,21
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1,20
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1,17
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1,18
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1,23
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1,19
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1,22
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1,20
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1,26
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1,25
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1,22
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1,28
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1,21
Home,Alone,Sunny,55,6PM,Bar,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,1,0,1,24
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1,21
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1,24
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,1,0,1,1,25
Work,Alone,Sunny,55,7AM,Bar,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,1,0,1,0,20
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1,21
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,1,0,1,20
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,0,0,0,1,1,20
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,NA,1~3,less1,1~3,less1,1~3,1,1,0,0,1,1,25
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1,26
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1,25
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1,21
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0,24
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1,29
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0,26
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1,28
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1,26
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0,25
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0,25
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0,28
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1,23
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0,28
Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,1,0,1,25
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0,27
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0,29
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,1,0,1,1,27
Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,1,0,1,1,27
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,0,26
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,1,0,1,27
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1,22
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,NA,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1,24
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,NA,never,less1,gt8,4~8,never,1,0,0,0,1,1,27
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,NA,never,less1,gt8,4~8,never,1,0,0,0,1,1,27
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,NA,never,less1,gt8,4~8,never,1,1,0,0,1,1,24
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,NA,never,less1,gt8,4~8,never,1,1,0,0,1,1,26
