product,country,date,sales,expenses
j,japan,2020-05-17,955.3053919536386,710.7240033499108
d,Germany,2020-09-13,939.6043707740109,710.7596225010677
e,Canada,2020-08-14,903.0771372924534,735.4777111765331
j,US,2020-05-25,920.0074239563438,736.623405733997
a,Germany,2020-01-18,909.2511695429704,735.07236139461
d,Germany,2020-09-08,952.0566438165894,726.8215316620062
e,Canada,2020-12-10,912.2788306531995,705.724412303963
f,US,2020-02-24,911.0545013775832,731.5847370017744
g,Canada,2020-02-02,957.2307750010066,732.8575682039549
g,US,2020-10-03,927.4442076633057,707.8522155024755
d,US,2020-11-18,924.3895796213039,659.6053148739874
f,Canada,2020-05-30,907.8420833003972,691.5440691311918
i,Canada,2020-09-13,928.2313666599573,753.8022858836744
j,Germany,2020-08-30,921.45664966623,717.3935891068904
c,Germany,2020-01-12,885.167114340368,738.3847942120431
d,japan,2020-03-19,902.9441270692469,726.6206955433393
b,US,2020-09-24,938.6660190980851,698.5735101535004
f,Canada,2020-08-25,915.1418332532276,717.9788865928896
d,Germany,2020-09-26,928.6317683385886,723.3212826292986
b,japan,2020-05-24,937.6051178036029,723.407005790351
c,japan,2020-02-13,896.9794810577496,733.5719949707437
e,japan,2020-02-14,912.0342938837418,689.9711864683798
e,Germany,2020-01-02,882.9446688393317,702.2975988487786
g,Germany,2020-03-31,950.0455358942186,709.726994746566
h,Germany,2020-10-01,942.8307356882881,725.7846980026135
g,Canada,2020-10-15,927.2423201580103,695.6045933535363
h,japan,2020-01-11,900.4577808149082,664.7363660813475
g,japan,2020-02-04,906.2596609952809,719.2003436703188
j,Germany,2020-10-29,946.9198661891321,756.3206338211
e,Germany,2020-10-09,919.1656787960665,738.5939821636323
f,Germany,2020-10-20,918.9150557390592,733.9516546870997
d,Canada,2020-08-29,883.4826568974711,686.4460756282605
e,Canada,2020-01-16,911.4972943833225,764.9875215357018
a,US,2020-03-10,927.0861188290694,704.6426193215316
i,Canada,2020-05-19,916.1619728197403,738.8846520322027
e,Germany,2020-09-21,947.9356861857653,727.1559345304329
a,japan,2020-04-03,955.5904075431995,747.558890826052
e,Canada,2020-10-06,916.6251427155827,685.6378272206723
b,Germany,2020-06-10,922.5506292137844,737.3897893128182
a,Canada,2020-02-07,923.8220246403047,719.5782774045413
j,japan,2020-06-13,891.454598086516,687.3024758151629
b,japan,2020-01-29,934.777545471864,700.4408948804224
f,US,2020-09-04,938.5746032537795,691.4441991699031
j,Germany,2020-08-15,921.8927465879523,674.791895970576
g,US,2020-06-11,936.1596070782944,702.6565902817965
i,japan,2020-01-11,931.6890606152249,703.8938039125145
b,Canada,2020-01-07,925.2965262721219,697.2581035901065
b,US,2020-06-15,907.4081269993369,737.3322611497881
j,US,2020-11-24,932.1104707157521,687.3216853114873
c,Germany,2020-07-23,928.3926182201009,661.2769990629847
e,japan,2020-06-01,918.1811413278461,700.1355612525531
g,Canada,2020-07-28,932.6921826207122,677.7672424714225
b,Germany,2020-11-01,913.0162108200539,705.2498235376838
c,japan,2020-01-01,913.5682373383046,674.2744615566892
j,Germany,2020-06-15,900.2435951258085,682.5510583950177
i,Germany,2020-08-25,892.4175185391011,726.8040636530138
h,japan,2020-07-29,908.4709895466119,755.5328342550569
f,Germany,2020-05-05,932.1160399639178,718.0567635767005
b,US,2020-05-30,931.3008430481943,742.110379041289
a,japan,2020-05-06,923.9132051409306,763.1885516257886
c,Germany,2020-05-29,916.2118315139471,747.4502276668093
g,japan,2020-07-28,930.6013883052955,686.4988542774134
e,US,2020-10-07,939.1154077329815,717.2136768277124
j,japan,2020-01-03,914.3747547002794,718.4443690375299
i,US,2020-12-20,939.9691703907201,733.7424655851423
c,US,2020-06-28,920.7778680307953,700.0834224623748
g,Canada,2020-05-12,907.1788629737205,717.6801471845928
h,Germany,2020-03-09,916.7968087778784,663.0650410189144
a,Germany,2020-12-14,906.2202094790377,693.8836030132928
e,US,2020-12-27,NA,706.057994187823
c,Canada,2020-01-12,933.0178822810677,709.1422258427835
e,Germany,2020-05-14,891.4739239161885,700.1107914945366
d,japan,2020-09-24,941.3344225693165,732.2146981541047
h,Canada,2020-09-14,909.2641012826941,713.337664515951
a,US,2020-07-22,925.4434713851444,741.7292158095847
a,japan,2020-02-26,908.0750739779638,721.3691875461056
h,US,2020-05-05,932.5618857334406,700.5661526363017
e,japan,2020-08-23,923.8384388136137,702.8796333687326
g,Canada,2020-10-22,920.3141933471347,685.5654582752492
j,japan,2020-07-22,938.71710562779106,700.8161215265935
h,japan,2020-03-16,907.3798204466937,718.6967420932694
e,japan,2020-09-13,941.2954151715217,681.9549073824436
g,japan,2020-05-09,931.9684061162795,715.1052456726468
c,japan,2020-10-14,938.1298611312893,704.0630475067092
c,US,2020-10-26,934.8359421126099,630.6647157076047
g,US,2020-04-25,941.2751075330561,706.802659320884
j,japan,2020-04-17,936.5945459773111,718.8194786030398
h,Germany,2020-10-16,912.179858262733,745.1969534294664
f,japan,2020-10-19,957.527865981303,696.143755900114
j,US,2020-07-29,912.3636723741383,686.3262918595746
c,US,2020-05-13,921.2826321887992,750.14090643507
e,Germany,2020-12-19,937.573084104236,723.5852962763036
g,US,2020-03-06,897.5745187188014,702.7113892724115
a,US,2020-10-03,912.595714924765,729.2526269836229
a,japan,2020-07-16,889.9424941853206,709.6541318169405
e,japan,2020-04-14,931.2773532575433,719.1825223441065
e,Canada,2020-05-26,910.4118890316645,671.4501551372977
g,US,2020-08-06,912.9163220875729,772.45356255068
h,Canada,2020-09-16,964.077785602664,705.2047589743712
b,US,2020-04-04,950.093011626598,699.652483997518
b,Canada,2020-05-09,926.1358373377492,756.7415412840284
f,Canada,2020-08-12,940.6459688096277,708.9203454442502
g,Canada,2020-10-09,928.173556816991,732.7566293238013
d,US,2020-06-06,946.2997434404449,683.2887565318765
i,Canada,2020-10-04,902.6698652497311,701.5831572294443
i,japan,2020-06-07,923.2818447091867,709.1944095656872
h,US,2020-10-14,911.3507764419684,671.7046289607258
e,japan,2020-10-17,912.1586281931103,740.1949148177788
h,japan,2020-10-07,907.4373910429842,725.515896884852
g,US,2020-08-14,894.7141801767727,741.9596195157104
b,japan,2020-11-08,936.8464144330849,729.3596426856514
b,US,2020-05-29,955.7836961037445,709.232293162851
f,US,2020-09-03,941.065626277769,697.4276385580785
d,japan,2020-05-09,948.2586237092686,734.7316058275575
j,japan,2020-06-02,911.4845569168276,719.9860345174047
h,US,2020-02-04,922.29985817474,772.9830750430334
a,Canada,2020-11-05,921.2806273720954,730.1441427031302
g,US,2020-08-18,930.1969135142591,741.4416024475563
b,US,2020-04-06,954.6326763647864,781.3498446673764
b,US,2020-10-14,930.8114668114605,728.4094715082423
h,US,2020-02-19,891.5835120479652,738.1368611794213
a,Germany,2020-02-24,920.4697510127596,698.1766218530742
b,Germany,2020-02-06,916.2972942725044,684.6701048927662
h,US,2020-12-23,915.5063176995824,675.8920558831253
i,Germany,2020-11-05,929.719792414189,710.8284632171375
e,japan,2020-02-24,966.0735347404333,708.6356490303275
h,Germany,2020-10-18,946.3372368964386,715.9549942360645
j,US,2020-05-05,920.6599935473918,712.9032010315487
g,japan,2020-11-26,940.1229725794735,721.026639571009
c,Canada,2020-02-15,900.8311168080769,714.9327417857553
d,Canada,2020-01-28,921.602229816421,680.8390637628612
j,US,2020-11-16,935.1259047499578,725.2719133718475
b,Canada,2020-12-20,939.2391379281239,710.8170343884963
j,Canada,2020-07-31,919.2198208072197,761.4366077960487
a,Canada,2020-12-05,944.5919972025374,732.5137050190549
b,japan,2020-09-12,955.1708142106112,737.806401128178
i,US,2020-03-02,922.8447349341775,721.6945697403123
g,Germany,2020-12-07,909.2807333422398,739.4067704718897
b,japan,2020-07-13,928.3301674790788,693.4864502387522
j,Canada,2020-01-19,932.3953165743636,744.5250166026524
j,US,2020-04-02,921.2277839557062,677.4141606174217
e,japan,2020-10-07,900.6093503317487,716.0666950515191
h,Germany,2020-07-29,920.4185504889722,712.4985613803201
j,Canada,2020-05-05,919.7319311183826,749.6537081570243
f,US,2020-11-09,932.8650764184617,710.8455003974427
a,Canada,2020-03-23,939.6995988736038,697.4719259437044
b,japan,2020-02-23,917.9694139939279,649.0147673956637
e,Germany,2020-06-02,923.2430868325362,738.4740026136606
g,japan,2020-12-13,909.6032880113526,708.5088329838678
e,Canada,2020-07-17,883.3259064818124,679.4914061087289
e,Germany,2020-08-07,912.2019826108086,731.6219213678391
d,Canada,2020-07-11,902.5620621130009,676.3447696115109
f,Germany,2020-02-04,907.617668803685,776.4488759701555
c,Germany,2020-05-28,905.7511601575121,718.8807936596365
b,Canada,2020-09-10,901.7067532666632,704.0265404265363
j,Canada,2020-11-19,943.4274203235534,709.5233593660595
d,Germany,2020-10-10,912.0284720035975,712.0318780396007
a,Germany,2020-06-06,946.6801911831918,738.94839310850125
b,Canada,2020-05-07,918.8752302346464,711.2678789470107
e,US,2020-09-01,913.1416667576995,712.0323775306367
f,japan,2020-09-06,908.4328660780964,699.2061393713005
d,Germany,2020-09-27,928.7523469864724,710.831329315195
j,Canada,2020-09-24,931.1717921437158,741.3110145406539
e,japan,2020-05-16,943.9378189203801,728.2543403125269
d,Germany,2020-02-24,916.4845692071029,715.082450796272
e,Germany,2020-08-29,924.7753382668847,743.172068003366
j,Germany,2020-07-31,936.0264122371851,717.1193349603742
g,Germany,2020-05-11,924.5388619747642,715.301061493913
a,japan,2020-06-24,924.8028892909493,718.0718909179485
h,Canada,2020-08-04,934.7178890120834,733.2709153781999
d,US,2020-05-29,922.8751883744256,721.2154392240587
h,US,2020-04-17,909.0357868893091,698.8834944576438
g,Germany,2020-11-25,912.2245321704505,742.4509316446301
i,Canada,2020-09-22,898.2636389277744,683.926467843363
a,US,2020-07-18,939.1311529023799,671.8388475691092
e,Germany,2020-02-14,898.3383927368615,736.4625835695605
c,US,2020-07-12,908.6510462218076,717.1113923499628
a,Germany,2020-09-10,908.2212926653897,715.6506983110355
f,Germany,2020-10-06,895.6197903185679,785.9273797171699
h,Germany,2020-10-08,919.5799382792936,718.139733555162
d,japan,2020-06-09,931.2949458104371,742.6605941390237
g,Canada,2020-05-08,902.6602720247635,736.2655827677008
c,Canada,2020-04-07,914.0859879508494,701.6155977640475
c,US,2020-07-17,936.6935152984225,717.1361373159511
b,Canada,2020-11-09,926.1042525153987,749.9849856820272
f,Canada,2020-01-17,927.9500630667578,706.747602138836
e,Canada,2020-08-07,912.8102267229564,729.5184386582627
d,Canada,2020-05-01,930.3827316890511,726.920035425219
g,japan,2020-10-07,941.603819969667,745.0536654682828
d,US,2020-07-12,928.5155305829128,697.9599516590158
h,Canada,2020-12-05,925.8436943692953,730.335470556324
e,Germany,2020-12-09,934.2270325996888,686.6341513406006
b,japan,2020-08-11,927.4362268529794,734.1916060527053
a,japan,2020-03-21,897.7687524825208,732.9566891859132
i,japan,2020-02-23,919.0828859772683,684.9422334108983
f,japan,2020-01-19,949.3009720362833,680.280666927531
i,japan,2020-07-11,930.8915917530171,706.3874386460205
i,Canada,2020-10-22,901.4981030340399,686.0291723919687
h,US,2020-07-19,917.8481111649237,761.5608497473002
g,japan,2020-02-29,913.3549403282487,719.4241174193934
b,japan,2020-04-03,919.004799445228,704.0841095964394
d,Canada,2020-01-01,950.7009434201233,715.4852915911332
e,Canada,2020-01-18,934.3932435077379,736.4886962169303
d,US,2020-12-31,943.4102656966634,758.1537433424767
b,Canada,2020-12-03,929.5581036562859,725.5999619433861
b,Germany,2020-11-15,921.6539542529168,700.2508570290256
j,US,2020-04-15,894.7630273602015,720.3352441562279
j,US,2020-10-01,900.0378607072639,708.9621921997697
b,Germany,2020-02-01,907.4156602770322,751.1042691829346
a,Canada,2020-09-15,943.1908221291898,698.9457558567602
a,Germany,2020-08-29,909.156404509519,705.9219732445374
h,japan,2020-09-21,918.2565200391319,733.3403018019949
d,Canada,2020-07-02,936.2903142507648,673.011824166916
j,japan,2020-04-21,915.7152931214849,690.5653788537503
e,US,2020-03-30,948.7582445298978,718.9038512302121
c,US,2020-07-30,899.4523326835188,733.8794945979581
j,US,2020-11-01,924.5427432425824,747.2216710910081
a,US,2020-05-17,937.6760802534573,776.6276417926102
h,US,2020-09-14,904.2467633469395,737.6922072423401
a,japan,2020-02-15,939.116402153144,720.1791301700036
j,Canada,2020-11-06,906.4461180164308,656.3593728085461
i,japan,2020-09-02,935.4959392830143,724.7868890999592
b,Canada,2020-07-30,917.894435194314,732.5881247701861
c,Canada,2020-03-04,939.068139024397,684.1133590628306
i,US,2020-08-11,932.0004950668551,727.020719416794
b,Germany,2020-10-07,930.2959604677317,698.3916394483639
d,japan,2020-04-17,898.5734972819521,716.016771280275
b,Canada,2020-07-27,921.1909556496332,714.2040706956307
a,Canada,2020-03-13,909.5932124849879,734.5395690544048
a,Germany,2020-12-06,905.8421131638313,703.5924799681894
c,US,2020-12-13,915.1448374415768,742.7630076532225
e,japan,2020-02-20,923.5101099553893,720.7281261488172
f,Germany,2020-10-07,935.6949982930389,737.7175233372923
b,US,2020-09-30,925.3774053734994,626.9737331483134
a,US,2020-02-16,930.0463910294153,704.6511006817228
e,japan,2020-01-22,930.7844812491178,726.4115992283598
d,Canada,2020-01-02,934.0754887220696,759.3470296118938
j,Canada,2020-02-27,918.705263818931,679.3780501243649
g,Canada,2020-03-17,908.3722846675054,714.5643792936095
e,US,2020-10-01,929.2720041036586,729.905958291604
f,US,2020-05-11,943.6135209733181,707.4236177870744
c,japan,2020-02-12,896.8696231982544,707.5169072039904
i,Canada,2020-12-31,919.2455366815727,742.1686706745688
i,japan,2020-03-12,944.8466630931005,700.190947207253
g,Germany,2020-01-22,920.4390463111075,724.297915080837
a,Canada,2020-01-24,925.8110365491123,713.9908538244786
e,Germany,2020-03-15,928.7474435480306,681.1365628920598
b,Canada,2020-06-20,925.4411020552204,741.2485303877206
d,Canada,2020-11-04,963.1248530094192,723.8198638825583
c,japan,2020-01-10,922.5351794820403,721.4975201323307
d,japan,2020-12-05,937.4732598293339,745.3029795703899
j,US,2020-09-15,902.2077519356151,743.317930689004
g,Germany,2020-12-29,936.7011320221673,711.7810026762106
h,Canada,2020-05-04,950.7682337691397,714.9112025463572
j,japan,2020-03-09,921.7599753685322,727.3626287222661
b,japan,2020-10-18,935.6552537336956,714.0446602159966
j,US,2020-06-14,903.9676791187852,640.6619340745334
a,Germany,2020-05-30,914.4812366201064,728.613469893497
e,Germany,2020-11-13,906.5800247323677,721.0735056226054
d,japan,2020-03-30,932.4244107569034,740.3288508836082
g,Canada,2020-06-06,926.4083119700898,691.0292789460693
a,Canada,2020-05-05,908.9847360870045,725.9723910857019
g,US,2020-12-28,938.8059598125832,696.890295116341
f,Germany,2020-11-28,953.3212309813903,708.3799129282374
b,US,2020-11-29,915.792644362135,698.8602396901082
i,japan,2020-05-05,935.9136039523447,752.0518200631524
c,japan,2020-06-18,923.8969887628159,709.9955524062714
g,japan,2020-01-22,916.3580136599868,702.3292242014653
d,japan,2020-10-24,922.5452223625589,661.0277096024313
h,Germany,2020-02-25,947.0676392579992,659.8922067335488
e,Canada,2020-09-05,923.5379945594391,717.7793266836521
i,Canada,2020-01-14,923.3164485610928,722.310845810163
a,US,2020-06-24,947.8179369187774,703.5289748989576
c,japan,2020-03-28,928.8490756264101,715.6599742565002
a,japan,2020-03-14,959.5457509494194,709.3957209420905
c,Germany,2020-06-24,912.4711690412986,753.9002276686379
h,Germany,2020-04-23,911.0806895084862,703.7082646506188
d,US,2020-02-01,909.187871297131,705.0695130623525
j,US,2020-05-27,926.3903894872407,723.9289784034021
g,US,2020-04-21,931.3670570691032,748.859735052969
b,Germany,2020-05-02,954.3131441432199,728.2896868065862
h,US,2020-03-15,913.174691640415,689.1265695841678
c,US,2020-04-12,918.6908611839855,725.7525190883144
h,japan,2020-01-20,913.8001649967966,672.3058192703414
g,US,2020-01-03,917.9804120257659,714.9983932740273
i,Canada,2020-11-25,913.5197857770193,729.1164080687598
j,japan,2020-07-02,894.7135808778228,722.1411284914999
e,japan,2020-10-11,935.1998842589516,663.7871913657965
a,Canada,2020-12-21,930.6571787570899,709.2400655879562
d,japan,2020-02-21,951.6376686646192,742.6215740796271
e,US,2020-03-29,919.6591149378239,713.0193518048814
a,japan,2020-02-21,902.1632141264997,720.580914580198
i,US,2020-04-14,948.2300214509197,716.3379596707117
c,US,2020-10-04,922.4693198667792,681.360167881754
i,Canada,2020-03-26,928.8381593713458,758.1640257950188
b,US,2020-05-13,903.3045720780206,712.4157032623059
e,Canada,2020-06-10,939.4993841731285,686.9245694565975
d,US,2020-04-26,917.8906920482827,702.7414245242544
i,Germany,2020-12-28,943.9613321082027,726.1743993589207
d,japan,2020-12-12,912.8008350326328,712.3819497437468
f,Germany,2020-11-27,912.9956328934062,758.9832343704903
e,japan,2020-10-23,924.8837843240185,718.6616337556051
g,US,2020-04-08,931.6265590472902,715.0091059612794
a,Canada,2020-12-31,951.2804410928237,708.3139030713252
i,US,2020-07-04,930.8239179877477,726.1910111006858
i,Germany,2020-10-31,916.390560855157,745.7704947516964
f,Germany,2020-02-09,883.8321390412593,707.6144760105078
i,japan,2020-01-26,910.690028547644,699.7566000283316
e,Germany,2020-10-19,913.0917724065969,720.3904366830761
e,Germany,2020-09-12,920.9169977982367,727.0858148819383
f,Canada,2020-12-23,922.9909089528684,720.2401535602336
g,Canada,2020-11-24,914.7404128960748,745.3398803575584
b,Germany,2020-02-16,921.8916964923695,734.9066178997401
a,Canada,2020-03-14,911.5238617168197,729.1224225361327
d,Canada,2020-06-13,917.6988471388019,721.0106264050793
b,Canada,2020-03-29,944.2501173924805,699.9628545708965
e,US,2020-05-30,919.1074316533526,754.9659618876309
g,Canada,2020-10-07,911.7059133905851,737.1435336310292
b,Canada,2020-11-15,939.9839848731278,710.5342734006291
c,US,2020-10-30,919.6398326799576,673.96876781985
i,japan,2020-12-05,895.6066300302308,705.3783848366587
b,japan,2020-09-07,957.6633458917412,746.9693248911976
a,Canada,2020-03-03,951.147022408912,724.9716832352091
b,japan,2020-11-13,916.1544168901431,677.177498100273
h,japan,2020-10-26,923.6289158273496,681.7131333407442
g,japan,2020-01-17,922.2516158331641,731.1813220277852
h,Germany,2020-04-18,932.9349601342013,738.783627709689
a,japan,2020-03-11,936.5747275431874,704.6052244746818
c,japan,2020-02-16,911.5418305464216,732.7697377766832
f,US,2020-01-18,917.7518351621222,721.9916586621032
d,Canada,2020-08-03,916.9443379493998,748.070392424665
i,Germany,2020-12-30,923.9195460446379,704.4424394600566
h,Canada,2020-04-30,923.0917153589617,754.3502220116588
b,Canada,2020-01-23,909.4417245054199,726.5268323877037
j,Canada,2020-05-03,919.9328404071998,725.1933101043351
d,US,2020-07-21,NA,715.5445232773619
e,japan,2020-08-01,949.9387592053748,657.2975731081935
j,japan,2020-11-14,900.5466591404263,715.9213721714216
e,japan,2020-12-06,943.8120204195495,671.2389665115077
g,Canada,2020-01-17,911.1096362829351,710.6882835127205
b,US,2020-10-06,941.150661385561,661.0387238461886
i,japan,2020-02-25,928.4450893362041,739.3648512371935
c,US,2020-06-14,948.5473581354129,665.700330105019
g,US,2020-08-28,942.9452461117387,712.1108190092314
e,japan,2020-01-15,928.7590380817983,713.9734333326135
g,Canada,2020-06-02,917.4930156173476,695.2245550603712
f,Canada,2020-09-22,913.9643278670391,708.2344056381432
b,US,2020-05-26,929.6019843031834,732.6517301628171
i,US,2020-02-02,914.3647123411414,741.4036077810201
j,US,2020-05-15,958.1417422170784,703.3967775448671
i,Germany,2020-11-07,901.539562664767,702.3985328119317
j,Germany,2020-04-12,936.9689969006056,750.7815729476296
c,US,2020-03-12,899.0023301886538,761.4990964351798
f,japan,2020-07-19,919.8866221719958,719.8718755656708
g,Canada,2020-10-11,908.261695686566,709.8599076099234
i,US,2020-01-16,940.5966811375447,724.8156996276441
g,Germany,2020-10-29,949.4382428626042,697.6052679293913
h,japan,2020-05-21,926.3595525945241,708.9225995263889
h,japan,2020-12-30,915.8360300763471,707.9385705500554
f,Germany,2020-12-23,915.7154083285978,741.3743555220503
a,Canada,2020-04-19,915.9874754563651,627.831941811154
j,Canada,2020-03-28,916.1174440913142,680.3502308034056
j,US,2020-01-16,929.8300061530565,706.774475094699
c,US,2020-09-07,944.482287222331,692.5955308412249
i,japan,2020-06-09,906.6479125408306,734.806289612134
g,US,2020-05-28,907.4752778572033,748.5030123915359
f,Germany,2020-12-16,919.4509481410591,707.7981351044983
e,japan,2020-07-17,918.3492308782343,702.5376285823666
j,US,2020-04-10,928.8689866550775,737.733237713088
g,japan,2020-10-28,921.9969365456717,713.3232204133708
c,US,2020-07-13,949.1456293254341,703.2948325986977
c,Germany,2020-07-27,931.4028000606769,705.4868182365559
g,japan,2020-02-28,910.467756500915,715.5855667556694
c,japan,2020-05-30,924.6969379405531,719.7299574478258
c,Canada,2020-05-05,919.0841731447605,714.3196914636402
c,Canada,2020-11-19,934.3024696833979,704.6154241773929
g,Germany,2020-06-24,919.3419826403314,669.4715667912606
e,Germany,2020-06-15,907.2108579135756,733.8491523506077
g,japan,2020-03-26,930.0567653749475,707.3425864466807
d,Canada,2020-02-06,892.198065282744,728.6984841112073
f,japan,2020-05-16,926.8615696599929,726.0909868269115
d,US,2020-11-11,916.4711960079002,693.9769350771915
g,US,2020-09-16,932.793827894024,752.9683175244293
h,japan,2020-03-23,941.6763018001279,725.590811626151
a,US,2020-10-25,932.0798766323685,722.478712667169
h,Germany,2020-03-08,921.4976293547471,696.4772166050409
e,US,2020-01-15,958.7152423264517,694.492939866823
j,US,2020-06-19,916.1055395685094,722.9825317534331
c,japan,2020-02-02,914.4157636146986,705.100705023527
e,Canada,2020-03-27,925.6157579364719,738.7680146254081
f,japan,2020-10-28,914.8634201210825,695.6091127233192
f,Germany,2020-11-21,929.43308958873,741.8869895413611
b,japan,2020-12-16,943.6812684202534,706.7472744495069
g,japan,2020-08-06,909.6986610807048,710.0741313933122
a,japan,2020-06-18,892.9864760270111,733.2220118583137
d,US,2020-05-07,882.2270815367125,728.7112040155355
f,Germany,2020-12-28,909.517541070243,690.9552131657306
g,Canada,2020-07-01,897.4085024953175,735.7814419943841
g,US,2020-11-15,932.3897048064282,676.1210813023458
h,Canada,2020-07-24,936.4094785291705,698.7541939640635
d,US,2020-04-07,924.5344584962462,695.2190882960674
h,US,2020-02-01,918.2018238799593,703.1182393647653
f,US,2020-02-19,942.1340668001819,748.3183388021166
e,Germany,2020-07-22,904.2376151915232,712.2247022997861
a,japan,2020-08-24,912.3582627081422,731.3147323073441
a,japan,2020-05-22,924.7918834154503,692.371888783887
c,japan,2020-10-20,917.4137766348789,730.3528701014727
i,japan,2020-05-03,905.7884656052279,779.2147899639571
c,japan,2020-06-15,932.4667693768631,731.1315851604394
g,US,2020-01-15,928.830791570638,738.9213843605846
j,US,2020-06-29,918.1994092912811,673.4658445155161
e,Germany,2020-05-26,927.4580710707504,719.0025526593678
e,Canada,2020-10-23,900.4628695111919,755.9590159415272
f,US,2020-08-01,942.189279687869,759.3253403029987
f,japan,2020-08-08,930.5518786221644,713.7088139833564
a,Germany,2020-09-04,937.2722884650589,694.4491531506945
h,Canada,2020-07-20,922.462724213024,728.8062176607626
a,US,2020-03-30,908.5666908778875,756.9586011996316
i,Canada,2020-11-08,960.507738178007,746.4825554703518
c,Canada,2020-12-21,930.8630925972855,724.0061912442005
b,Germany,2020-04-16,930.855072830066,736.793336451262
f,US,2020-10-03,915.126295775212,728.5933845852577
f,Germany,2020-03-19,920.4629591030883,750.773547111631
h,US,2020-07-13,963.701779716707,725.2203192302628
h,japan,2020-05-14,935.6334683824451,756.8135138691446
b,japan,2020-03-15,937.9109609347512,712.6440102720776
g,US,2020-06-19,937.7735010246595,681.9691345122169
a,US,2020-02-06,908.2008793320986,700.4924173872705
j,japan,2020-11-18,940.3636489613403,765.7116863402929
g,US,2020-02-03,902.8864821805254,780.2782952902686
a,Canada,2020-10-07,936.3644766484955,682.0490160632323
a,Germany,2020-04-28,932.5008820393982,724.2611684121191
g,japan,2020-08-19,919.6288625468147,736.0031343408701
j,Germany,2020-10-15,929.075298745657,757.2922519568434
a,US,2020-01-26,912.3844605967138,692.3671201245531
e,US,2020-09-28,935.5226972909933,695.0413779202844
i,Canada,2020-02-27,933.4838922064799,736.3302141578968
i,US,2020-07-28,886.5361909844621,698.4044853643153
i,Canada,2020-06-20,960.7492054655836,730.9355684810812
g,US,2020-12-11,928.9367568119769,737.8467076134409
b,Germany,2020-10-08,905.0401898060871,707.6232714257304
g,US,2020-02-15,908.0700461596645,707.6290712304483
i,Germany,2020-12-17,932.6188054628898,740.1293673957769
h,Germany,2020-07-07,938.5462827638125,750.8369589317261
