title,year,length,budget,rating,votes,genre,RatedR
America's Sweethearts,2001,155,48,5.8,11849,Comedy,Non_R_Rated
American Beauty,1999,146,15,8.5,109991,Drama,R_rated
American History X,1998,134,10,8.4,59677,Drama,R_rated
American Outlaws,2001,124,35,5.5,2878,Action,Non_R_Rated
American Pie,1999,140,11,6.8,41126,Comedy,R_rated
American Pie 2,2001,146,30,6.3,22752,Comedy,R_rated
"American President, The",1995,136,62,6.9,11834,Comedy,Non_R_Rated
American Psycho,2000,143,8,6.8,21639,Drama,R_rated
American Wedding,2003,144,55,6.3,13590,Comedy,R_rated
"American Werewolf in Paris, An",1997,152,22,5,4302,Comedy,R_rated
Amistad,1997,138,40,7,10543,Drama,R_rated
Amores perros,2000,136,2,8.2,15079,Drama,R_rated
Analyze This,1999,122,30,6.6,24521,Comedy,R_rated
Anchorman: The Legend of Ron Burgundy,2004,123,26,6.5,11553,Comedy,Non_R_Rated
Angel Eyes,2001,125,38,5.6,4829,Drama,R_rated
Anger Management,2003,124,75,6,14280,Comedy,Non_R_Rated
"Animal, The",2001,138,22,4.8,5605,Comedy,R_rated
"Animatrix: Final Flight of the Osiris, The",2003,129,5,7.6,1536,Action,Non_R_Rated
Anna and the King,1999,142,75,6.6,6739,Drama,Non_R_Rated
Antitrust,2001,139,30,6,7326,Drama,Non_R_Rated
Antwone Fisher,2002,125,12.5,7.4,4472,Drama,Non_R_Rated
Antz,1998,126,60,7,16312,Animation,Non_R_Rated
Any Given Sunday,1999,164,62,6.4,19531,Drama,R_rated
Anything Else,2003,131,18,6.5,3678,Comedy,R_rated
Anywhere But Here,1999,136,23,5.9,4007,Drama,Non_R_Rated
Apocalypse Now,1979,153,31.5,8.5,64785,Action,R_rated
Apollo 13,1995,151,62,7.5,41098,Drama,Non_R_Rated
"Apostle, The",1997,220,5,7.2,4231,Drama,Non_R_Rated
Apt Pupil,1998,150,14,6.4,6728,Drama,R_rated
Are We There Yet?,2005,124,32,3.5,1043,Comedy,Non_R_Rated
Arlington Road,1999,133,21.5,7.1,17189,Drama,R_rated
Armageddon,1998,125,140,5.7,45330,Action,Non_R_Rated
Army of Darkness,1993,124,11,7.4,22118,Action,R_rated
Around the World in 80 Days,2004,137,110,5.7,3887,Action,Non_R_Rated
Artificial Intelligence: AI,2001,138,90,6.8,36623,Drama,Non_R_Rated
As Good as It Gets,1997,132,50,7.7,47441,Comedy,Non_R_Rated
Assassins,1995,147,50,5.7,7354,Action,R_rated
Assault on Precinct 13,2005,123,20,6.3,2960,Action,R_rated
At First Sight,1999,141,40,5.7,3441,Drama,Non_R_Rated
Atlantis: The Lost Empire,2001,141,90,6.4,6323,Action,Non_R_Rated
Austin Powers in Goldmember,2002,122,63,6.2,22870,Action,Non_R_Rated
Austin Powers: International Man of Mystery,1997,151,17,7,33755,Action,Non_R_Rated
Austin Powers: The Spy Who Shagged Me,1999,135,33,6.5,37019,Action,Non_R_Rated
Auto Focus,2002,133,7,6.7,3276,Drama,R_rated
Autumn in New York,2000,135,40,4.7,3731,Drama,Non_R_Rated
Avalon,2001,141,8,6.8,2723,Animation,R_rated
"Avengers, The",1998,123,60,3.4,11499,Action,Non_R_Rated
"Aviator, The",2004,121,116,7.5,16217,Drama,Non_R_Rated
"Awfully Big Adventure, An",1995,154,4,5.8,608,Drama,R_rated
Baby Boy,2001,121,16,6.2,1476,Drama,R_rated
Baby Geniuses,1999,121,13,2.4,3142,Comedy,Non_R_Rated
"Bachelor, The",1999,134,21,5,4183,Comedy,Non_R_Rated
Bad Boys,1995,142,23,6.4,15326,Action,R_rated
Bad Boys II,2003,126,130,6.1,13087,Action,R_rated
Bad Company,2002,127,70,5.4,6175,Action,Non_R_Rated
Bad Moon,1996,125,7,4.4,519,Action,R_rated
Bad Santa,2003,126,18,7.2,11189,Comedy,R_rated
"Badge, The",2002,174,6,6.3,740,Action,R_rated
Bait,2000,154,35,5.6,1884,Action,R_rated
"Ballad of Jack and Rose, The",2005,157,1.5,6.2,269,Drama,R_rated
Ballistic: Ecks vs. Sever,2002,122,70,3.4,4556,Action,R_rated
Bamboozled,2000,143,10,6.3,2356,Comedy,R_rated
Bananas,1971,137,2,7.1,4252,Comedy,Non_R_Rated
Bandits,2001,128,80,6.7,12382,Comedy,Non_R_Rated
"Banger Sisters, The",2002,122,10,5.6,3189,Comedy,R_rated
Baptists at Our Barbecue,2004,126,0.5,5.9,62,Comedy,Non_R_Rated
Barbershop,2002,129,12,6.6,4943,Comedy,Non_R_Rated
Barbershop 2: Back in Business,2004,124,18,5.7,1580,Comedy,Non_R_Rated
Basic,2003,123,50,6.2,8370,Drama,R_rated
Basil,1998,229,10,6.1,367,Drama,R_rated
"Basket, The",1999,150,3,6.3,200,Drama,Non_R_Rated
Batman & Robin,1997,150,110,3.6,28457,Action,Non_R_Rated
Batman Forever,1995,146,100,5.4,24025,Action,Non_R_Rated
"Battle of Shaker Heights, The",2003,157,1,6,854,Comedy,Non_R_Rated
Battlefield Earth: A Saga of the Year 3000,2000,136,73,2.4,14970,Action,Non_R_Rated
Be Cool,2005,123,53,5.5,4560,Comedy,Non_R_Rated
"Beach, The",2000,127,50,5.8,15020,Drama,R_rated
Bean,1997,121,22,5.4,9018,Comedy,Non_R_Rated
Beautiful,2000,157,9,5.3,991,Comedy,Non_R_Rated
"Beautiful Country, The",2004,130,6,6.9,115,Drama,R_rated
"Beautiful Mind, A",2001,135,60,7.8,43291,Drama,Non_R_Rated
Beavis and Butt-Head Do America,1996,122,12,6.2,9491,Animation,Non_R_Rated
Because of Winn-Dixie,2005,121,14,5.9,483,Comedy,Non_R_Rated
Bedazzled,2000,130,48,5.9,11439,Comedy,Non_R_Rated
Before Sunset,2004,137,10,8.3,8789,Drama,R_rated
Behind Enemy Lines,2001,136,40,6.1,10856,Action,Non_R_Rated
Being Julia,2004,134,18,7.2,1671,Comedy,R_rated
Belly,1998,128,10,4.5,1034,Drama,R_rated
Belly of the Beast,2003,144,18,4.2,638,Action,R_rated
Beloved,1998,124,53,5.6,1934,Drama,R_rated
Beowulf,1999,151,20,3.7,2058,Action,R_rated
Best Laid Plans,1999,152,7,6.3,1795,Drama,R_rated
Best in Show,2000,132,6,7.5,11790,Comedy,Non_R_Rated
Better Luck Tomorrow,2002,132,0.25,7.3,2697,Drama,R_rated
Beyond Borders,2003,122,35,5.4,1905,Drama,R_rated
Beyond Rangoon,1995,173,23,6.4,1285,Drama,R_rated
Beyond Re-Animator,2003,130,3,6.1,908,Comedy,R_rated
Beyond the Mat,1999,122,0.5,7.3,2243,Documentary,R_rated
Beyond the Sea,2004,148,24,6.7,1051,Drama,Non_R_Rated
Bicentennial Man,1999,132,100,6.2,8925,Drama,Non_R_Rated
"Big Bounce, The",2004,226,50,4.7,2505,Comedy,Non_R_Rated
"Big Brass Ring, The",1999,126,7,5.4,271,Drama,R_rated
Big Bully,1996,127,15,4.2,781,Comedy,Non_R_Rated
Big Daddy,1999,136,34.2,5.9,18258,Comedy,Non_R_Rated
Big Fat Liar,2002,125,15,5.5,2453,Comedy,Non_R_Rated
Big Fish,2003,138,70,8.1,31525,Comedy,Non_R_Rated
"Big Hit, The",1998,124,13,5.7,6206,Action,R_rated
"Big Lebowski, The",1998,138,15,8,50179,Comedy,R_rated
Big Momma's House,2000,135,30,4.7,7509,Comedy,Non_R_Rated
"Big Tease, The",1999,136,4,6.1,670,Comedy,R_rated
Big Trouble,2002,143,40,6.4,4088,Comedy,Non_R_Rated
Bigger Than the Sky,2005,148,0.75,7.3,32,Comedy,Non_R_Rated
Billy Elliot,2000,124,5,7.7,16725,Drama,R_rated
Birth,2004,131,20,6,2600,Drama,R_rated
Birthday Girl,2001,156,13,6.1,5340,Comedy,R_rated
Black Hawk Down,2001,124,90,7.6,32530,Action,R_rated
Black Knight,2001,126,50,4.1,3822,Comedy,Non_R_Rated
Black and White,1999,165,10,5.2,1699,Drama,R_rated
Blade,1998,138,45,6.8,24372,Action,R_rated
Blade II,2002,127,55,6.6,17139,Action,R_rated
Blade: Trinity,2004,152,65,5.7,7439,Action,R_rated
Blast from the Past,1999,124,35,6.4,9483,Comedy,Non_R_Rated
Blind Horizon,2003,151,5.1,5.5,801,Drama,R_rated
Blood Work,2002,129,50,6.3,5965,Drama,R_rated
Blood and Wine,1996,174,26,6,2134,Drama,R_rated
"Blood, Guts, Bullets and Octane",1998,127,0.0073,5.3,285,Action,R_rated
Bloody Sunday,2002,121,5,7.6,2388,Drama,R_rated
Blow,2001,150,30,7.1,18670,Drama,R_rated
Blue Crush,2002,146,30,5.7,4791,Drama,Non_R_Rated
Blue Hill Avenue,2001,140,1.2,6.6,85,Drama,R_rated
Blues Brothers 2000,1998,243,28,4.5,5267,Comedy,Non_R_Rated
Boat Trip,2002,131,20,4.5,2991,Comedy,R_rated
Bogus,1996,126,32,5,1007,Comedy,Non_R_Rated
Boiler Room,2000,122,9,6.8,8586,Drama,R_rated
Bon voyage,2003,127,20,7.2,1061,Comedy,Non_R_Rated
"Bone Collector, The",1999,144,48,6.2,17766,Drama,R_rated
Boogeyman,2005,125,20,4.1,2055,Drama,Non_R_Rated
Boogie Nights,1997,132,15,7.6,27380,Drama,R_rated
"Boot, Das",1981,166,14,8.5,28920,Drama,R_rated
"Borrowers, The",1997,122,29,5.6,1457,Comedy,Non_R_Rated
Bounce,2000,122,35,5.8,5390,Drama,Non_R_Rated
Bound,1996,158,4.5,7.5,11911,Romance,R_rated
"Bourne Identity, The",2002,145,75,7.3,29871,Action,Non_R_Rated
"Bourne Supremacy, The",2004,128,75,7.3,19878,Action,Non_R_Rated
Bowfinger,1999,137,55,6.4,15000,Comedy,Non_R_Rated
Bowling for Columbine,2002,145,4,8.5,36747,Comedy,R_rated
Boys Don't Cry,1999,142,2,7.6,14456,Drama,R_rated
Boys and Girls,2000,165,16,4.9,3483,Comedy,Non_R_Rated
"Brady Bunch Movie, The",1995,130,12,5.6,4636,Comedy,Non_R_Rated
Braveheart,1995,143,53,8.3,92437,Action,R_rated
"Bread, My Sweet, The",2001,137,0.6,6.8,257,Drama,Non_R_Rated
Break Up,1998,123,9,5.1,393,Drama,R_rated
Breakdown,1997,132,36,6.7,7099,Action,R_rated
Breakfast of Champions,1999,122,12,4.2,2250,Comedy,R_rated
Breathing Room,1996,125,0.5,4,39,Comedy,R_rated
"Breed, The",2001,131,4,4.7,582,Action,R_rated
Bride & Prejudice,2004,132,7,6.3,1503,Comedy,Non_R_Rated
Bride of Chucky,1998,150,25,5.2,4449,Comedy,R_rated
Bride of the Wind,2001,126,12,5.2,201,Drama,R_rated
Bridge of Dragons,1999,144,4,3.7,373,Action,R_rated
"Bridges of Madison County, The",1995,124,22,6.9,7633,Drama,Non_R_Rated
Bridget Jones's Diary,2001,148,26,7,24791,Comedy,R_rated
Bridget Jones: The Edge of Reason,2004,121,70,5.7,6636,Comedy,R_rated
Brigham City,2001,157,1,7.1,405,Drama,Non_R_Rated
Bring It On,2000,159,10,6.1,11784,Comedy,Non_R_Rated
Bringing Down the House,2003,134,35,5.6,6501,Comedy,Non_R_Rated
Bringing Out the Dead,1999,128,32,6.7,13989,Drama,R_rated
Broken Arrow,1996,135,65,5.7,14415,Action,R_rated
Broken Vessels,1998,123,0.6,6.1,223,Drama,R_rated
Brooklyn Bound,2004,126,0.07,4.2,30,Drama,R_rated
"Brother from Another Planet, The",1984,136,0.3,6.7,1133,Comedy,R_rated
"Brothers McMullen, The",1995,122,0.0238,6.4,2325,Comedy,R_rated
Brown Sugar,2002,147,8,5.9,941,Comedy,Non_R_Rated
Bruce Almighty,2003,135,81,6.4,23905,Comedy,Non_R_Rated
Bruno,2000,136,10,6,295,Comedy,Non_R_Rated
"Brylcreem Boys, The",1998,143,6,6,199,Drama,Non_R_Rated
Bubba Ho-tep,2002,126,1,7.5,7142,Comedy,R_rated
Bubble Boy,2001,125,13,5.1,2904,Comedy,Non_R_Rated
Buffalo '66,1998,147,1.5,7.2,6652,Comedy,R_rated
Buffalo Soldiers,2001,133,15,7,3753,Comedy,R_rated
Bug Buster,1998,131,8.5,2.9,268,Action,Non_R_Rated
Bulletproof Monk,2003,143,52,5.2,5405,Action,Non_R_Rated
But I'm a Cheerleader,1999,144,1.2,6.2,3897,Comedy,R_rated
"Butterfly Effect, The",2004,204,13,7.6,22975,Drama,R_rated
C'era una volta il West,1968,133,5,8.7,17241,Drama,Non_R_Rated
CQ,2001,150,7,6.4,1315,Comedy,R_rated
"Cable Guy, The",1996,163,47,5.5,16266,Comedy,Non_R_Rated
Cafe Society,1995,143,3.5,5.7,137,Drama,R_rated
Can't Be Heaven,2000,170,2,5.7,104,Comedy,Non_R_Rated
Can't Hardly Wait,1998,139,10,6.2,8191,Comedy,Non_R_Rated
Cape Fear,1991,144,35,7.1,15585,Drama,R_rated
Captain Corelli's Mandolin,2001,143,57,5.9,5281,Drama,R_rated
Carandiru,2003,152,6,7.7,1608,Drama,R_rated
Carpool,1996,123,17,4.5,829,Comedy,Non_R_Rated
Casino,1995,163,52,7.8,27234,Drama,R_rated
Casper,1995,121,55,5.6,8798,Comedy,Non_R_Rated
Cast Away,2000,121,90,7.3,34580,Drama,Non_R_Rated
"Cat in the Hat, The",2003,144,109,3.2,4997,Comedy,Non_R_Rated
Catch Me If You Can,2002,133,52,7.6,39915,Drama,Non_R_Rated
Catch That Kid,2004,122,18,4.5,598,Action,Non_R_Rated
Cats & Dogs,2001,135,60,5.4,6487,Comedy,Non_R_Rated
Catwoman,2004,152,85,3.4,8815,Action,Non_R_Rated
Cecil B. DeMented,2000,135,10,6,3464,Comedy,R_rated
Celebrity,1998,132,12,6.1,4820,Comedy,R_rated
Cellular,2004,137,25,6.4,6182,Action,Non_R_Rated
Chain Reaction,1996,125,55,5.1,5936,Action,Non_R_Rated
Chain of Fools,2000,156,20,6.1,845,Comedy,R_rated
Chairman of the Board,1998,140,10,2.6,666,Comedy,Non_R_Rated
"Chamber, The",1996,135,50,5.7,2540,Drama,R_rated
Changing Habits,1997,148,1.2,5.5,134,Comedy,R_rated
Changing Lanes,2002,137,45,6.6,12779,Drama,R_rated
Charlie,2004,127,5,5,141,Drama,R_rated
Charlie's Angels,2000,213,92,5.8,25705,Action,Non_R_Rated
Charlie's Angels: Full Throttle,2003,143,120,5,13990,Action,Non_R_Rated
Charlotte Sometimes,2002,132,0.08,4.6,555,Drama,R_rated
Charly,2002,190,0.95,5.5,149,Comedy,Non_R_Rated
Chasing Amy,1997,140,0.25,7.6,32141,Comedy,R_rated
Chasing Liberty,2004,156,23,5.7,1911,Comedy,Non_R_Rated
Cheaper by the Dozen,2003,124,40,5.8,5977,Comedy,Non_R_Rated
Cherish,2002,121,1.5,6.5,743,Comedy,R_rated
Cherry Falls,2000,142,14,4.9,2165,Comedy,R_rated
Chicago,2002,133,45,7.5,34933,Comedy,Non_R_Rated
Children On Their Birthdays,2002,134,10,6,163,Drama,Non_R_Rated
Chill Factor,1999,130,34,5,2542,Action,R_rated
Chopin. Pragnienie milosci,2002,162,3.5,4,55,Drama,R_rated
Christmas with the Kranks,2004,131,60,4.5,1520,Comedy,Non_R_Rated
"Chronicles of Riddick, The",2004,128,110,6.2,11438,Action,Non_R_Rated
Chuck&Buck,2000,136,0.25,6.6,1919,Comedy,R_rated
Ciao America,2002,133,5,4.8,27,Comedy,R_rated
Cidade de Deus,2002,126,3.3,8.7,25964,Drama,R_rated
"Cider House Rules, The",1999,167,24,7.5,18950,Drama,Non_R_Rated
"Cinderella Story, A",2004,140,20,4.9,2755,Comedy,Non_R_Rated
City Hall,1996,122,40,6.1,4381,Drama,R_rated
City by the Sea,2002,126,60,6.3,4886,Drama,R_rated
City of Angels,1998,150,55,6.2,15333,Drama,Non_R_Rated
"Civil Action, A",1998,128,60,6.4,6847,Drama,Non_R_Rated
Civil Brand,2002,136,0.5,4.1,102,Drama,R_rated
Claudine's Return,1998,125,2,3.8,80,Drama,R_rated
Claustrophobia,2003,147,0.114,4.2,90,Comedy,R_rated
Clay Pigeons,1998,130,8,6.4,2658,Comedy,R_rated
Clerks.,1994,126,0.23,7.9,39927,Comedy,R_rated
"Climb, The",2002,136,2.5,5.2,83,Action,Non_R_Rated
Clockers,1995,145,25,6.8,3099,Drama,R_rated
Club Dread,2004,153,9,5.2,3432,Comedy,R_rated
Clueless,1995,149,20,6.7,16521,Comedy,Non_R_Rated
Coach Carter,2005,149,30,6.6,1636,Drama,Non_R_Rated
"Cockettes, The",2002,121,0.3,6.6,177,Documentary,R_rated
Code 46,2003,140,7.5,6.4,2094,Drama,R_rated
Cold Mountain,2003,144,83,7.4,15712,Drama,R_rated
Collateral,2004,123,65,7.7,24499,Drama,R_rated
Collateral Damage,2002,162,85,5.2,8590,Action,R_rated
Commandments,1997,161,5,5.4,468,Comedy,R_rated
Committed,2000,171,3,5.2,739,Comedy,R_rated
Company Man,2000,121,16,4.8,492,Comedy,Non_R_Rated
"Company, The",2003,160,15,6.2,1505,Drama,Non_R_Rated
"Comunidad, La",2000,159,2,7.2,1270,Comedy,R_rated
"Confession, The",1999,124,4,5.8,519,Drama,R_rated
Confessions of a Dangerous Mind,2002,124,29,7.1,11487,Drama,R_rated
Confessions of a Teenage Drama Queen,2004,129,15,4.4,2205,Comedy,Non_R_Rated
Confidence,2003,128,15,6.8,6168,Drama,R_rated
Congo,1995,134,50,4.4,8058,Action,Non_R_Rated
Conspiracy Theory,1997,123,75,6.4,15470,Drama,R_rated
Contact,1997,145,90,7.3,36390,Drama,Non_R_Rated
"Contender, The",2000,151,9,6.9,7023,Drama,R_rated
Cop Land,1997,133,15,6.7,12677,Drama,R_rated
Copycat,1995,145,20,6.5,7804,Drama,R_rated
"Core, The",2003,144,74,5.4,7860,Action,Non_R_Rated
Corky Romano,2001,126,11,4.6,2463,Comedy,Non_R_Rated
Coronado,2003,126,4.7,4.5,411,Action,Non_R_Rated
Cotton Mary,1999,152,3.5,5.3,164,Drama,R_rated
"Count of Monte Cristo, The",2002,145,35,7.4,13907,Action,Non_R_Rated
Country of My Skull,2004,128,12,5.1,194,Drama,R_rated
Courage Under Fire,1996,160,46,6.7,8884,Action,R_rated
Coyote Ugly,2000,126,45,5.4,13221,Comedy,R_rated
Cradle 2 the Grave,2003,124,25,5.3,4164,Action,R_rated
Cradle Will Rock,1999,122,32,6.7,3375,Drama,R_rated
"Craft, The",1996,121,15,5.9,9187,Comedy,R_rated
Crash,2004,196,6.5,8.3,1660,Drama,R_rated
Crazy in Alabama,1999,163,15,6.1,2086,Comedy,Non_R_Rated
Crazy/Beautiful,2001,123,14,6.5,4503,Drama,Non_R_Rated
"Crew, The",2000,137,23,5.3,1297,Comedy,Non_R_Rated
Crime Spree,2003,123,10,6.3,953,Comedy,R_rated
"Crimen del padre Amaro, El",2002,127,1.8,7,2469,Drama,R_rated
Crimson Tide,1995,138,53,7.1,14033,Action,R_rated
Critical Care,1997,137,12,5.8,397,Comedy,R_rated
Crocodile Dundee in Los Angeles,2001,131,25,4.7,2698,Comedy,Non_R_Rated
"Crocodile Hunter: Collision Course, The",2002,122,13,5.3,1648,Comedy,Non_R_Rated
Crossroads,2002,148,12,3.1,8546,Comedy,Non_R_Rated
"Crow: City of Angels, The",1996,123,13,3.8,3656,Action,R_rated
"Crow: Salvation, The",2000,141,25,4.9,1383,Action,R_rated
Cruel Intentions,1999,124,11,6.5,25634,Drama,R_rated
Curdled,1996,153,2.309723,5.5,959,Comedy,R_rated
"Curse of the Jade Scorpion, The",2001,135,26,6.8,5846,Comedy,Non_R_Rated
Cutaway,2000,131,9,5.1,390,Action,R_rated
Cutthroat Island,1995,139,92,5.1,3942,Action,Non_R_Rated
Cypher,2002,152,7.5,7.2,3160,Action,R_rated
D-Tox,2002,188,55,4.7,2742,Drama,R_rated
D.E.B.S.,2004,146,3.5,6,300,Action,Non_R_Rated
Daddy Day Care,2003,138,60,5.7,3803,Comedy,Non_R_Rated
Daddy and Them,2001,138,4,5,364,Comedy,R_rated
Dancing in September,2000,136,0.85,6.4,166,Drama,R_rated
"Dangerous Lives of Altar Boys, The",2002,126,12,7.2,3274,Drama,R_rated
Dante's Peak,1997,132,104,5.6,9203,Action,Non_R_Rated
Daredevil,2003,122,75,5.7,20642,Action,R_rated
Dark Blue,2002,123,15,6.6,3882,Action,R_rated
Dawn of the Dead,2004,147,28,7.4,16283,Action,R_rated
"Day After Tomorrow, The",2004,130,125,6.3,23749,Action,Non_R_Rated
"Day Without a Mexican, A",2004,121,1.5,5,561,Comedy,R_rated
Day of Defense,2003,139,0.5,3,8,Drama,Non_R_Rated
Daylight,1996,132,80,5.4,6979,Action,Non_R_Rated
Dead Babies,2000,212,1,4.3,172,Comedy,R_rated
"Dead Hate the Living!, The",2000,125,0.15,4.3,496,Comedy,R_rated
Dead Man Walking,1995,227,11,7.6,16177,Drama,R_rated
Dead Man on Campus,1998,127,14,5.4,2829,Comedy,R_rated
Dead Man's Curve,1998,127,1,5.7,1241,Comedy,R_rated
Dead Presidents,1995,123,15,6.3,2641,Action,R_rated
Death to Smoochy,2002,150,55,6.3,8003,Comedy,R_rated
Deconstructing Harry,1997,121,20,7.1,7342,Comedy,R_rated
Decoys,2004,123,5,4.2,580,Comedy,R_rated
Deep Blue Sea,1999,124,78,5.5,17666,Action,R_rated
"Deep End of the Ocean, The",1999,135,40,5.9,2890,Drama,Non_R_Rated
"Deep End, The",2001,121,3,6.8,3524,Drama,R_rated
Deep Impact,1998,133,75,5.9,22684,Drama,Non_R_Rated
Deep Rising,1998,202,45,5.4,4626,Action,R_rated
"Defender, The",2004,195,6,6.3,58,Action,R_rated
Delivered,1998,124,1,5.1,73,Comedy,R_rated
Dellamorte Dellamore,1994,127,4,7.3,2313,Comedy,R_rated
"Demolitionist, The",1995,136,1,4.1,238,Action,R_rated
Derailed,2002,136,18,3.4,1075,Action,R_rated
Desperado,1995,123,7,6.8,17929,Action,R_rated
Destino,2003,142,1.5,7.8,156,Animation,Non_R_Rated
Detention,2003,131,10,4.1,223,Action,R_rated
Detroit Rock City,1999,147,15,6,4607,Comedy,R_rated
Deuce Bigalow: Male Gigolo,1999,127,18,5.6,9897,Comedy,R_rated
Deuces Wild,2002,130,10,5.3,1511,Action,R_rated
"Devil's Advocate, The",1997,121,57,7,26904,Drama,R_rated
"Devil's Own, The",1997,121,80,5.7,8485,Action,R_rated
Devil's Pond,2003,125,5,5.6,370,Drama,R_rated
Diary of a Mad Black Woman,2005,133,5.5,3.9,837,Comedy,Non_R_Rated
Dick,1999,129,13,6.3,5004,Comedy,Non_R_Rated
Dickie Roberts: Former Child Star,2003,129,17,5.5,2076,Comedy,Non_R_Rated
Die Another Day,2002,145,142,6.4,22136,Action,Non_R_Rated
Die Hard: With a Vengeance,1995,125,90,7,25258,Action,R_rated
"Different Loyalty, A",2004,140,13,5,135,Drama,R_rated
Digimon: The Movie,2000,128,5,3.4,455,Action,Non_R_Rated
Dill Scallion,1999,154,0.5,5.1,136,Comedy,Non_R_Rated
Dinosaur,2000,134,127.5,6.3,5839,Animation,Non_R_Rated
Diplomatic Siege,1999,194,45,3.5,340,Action,R_rated
Dirty Pretty Things,2002,135,10,7.6,6274,Drama,R_rated
Dirty Work,1998,131,13,5.9,4252,Comedy,Non_R_Rated
Divine Secrets of the Ya-Ya Sisterhood,2002,125,27,5.5,4288,Comedy,Non_R_Rated
Doctor Dolittle,1998,132,71.5,5.4,8287,Comedy,Non_R_Rated
Doctor Zhivago,1965,132,11,7.9,10283,Drama,Non_R_Rated
Dodgeball: A True Underdog Story,2004,136,20,6.6,14584,Comedy,Non_R_Rated
"Dog of Flanders, A",1999,125,7,6,179,Drama,Non_R_Rated
