Date,PotholeReports,Temperature,Humidity,WindSpeed,Rainfall,ExpectedWorkload
2019-11-22,377,55.9,55,1.2,NA,Low
2019-11-22,354,56.5,54,1.5,NA,Low
2019-11-22,366,56,56,1,NA,Low
2019-11-23,342,56,58,1.4,NA,Low
2019-11-23,227,56.1,69,1.7,NA,Low
2019-11-23,228,56.7,79,1.4,NA,Low
2019-11-23,117,56.6,71,1.6,0.5,Low
2019-11-23,76,56.5,73,1,NA,Low
2019-11-23,32,56.1,75,1.9,NA,Low
2019-11-23,13,56.6,86,2.5,1,Low
2019-11-23,22,56.9,91,1.2,NA,Low
2019-11-23,85,56.8,92,1.8,NA,Low
2019-11-23,152,56.5,91,1.8,2.5,Low
2019-11-23,200,55.6,89,2.2,NA,Low
2019-11-23,273,54.9,87,1.4,NA,Low
2019-11-23,333,54.2,85,1.7,NA,Low
2019-11-23,495,53.2,81,1.9,NA,Low
2019-11-23,563,52.4,76,1.2,NA,Low
2019-11-23,621,52,73,1.6,NA,Medium
2019-11-23,598,52.4,77,1.6,NA,Low
2019-11-23,545,53.3,82,1.5,NA,Low
2019-11-23,443,54,84,1.9,NA,Low
2019-11-23,422,54.3,85,1.7,NA,Low
2019-11-23,397,54.8,87,1.4,NA,Low
2019-11-23,385,55.3,87,1.2,NA,Low
2019-11-23,350,55.7,89,1.8,NA,Low
2019-11-23,303,56.1,90,1.3,NA,Low
2019-11-24,285,55.8,88,0.6,NA,Low
2019-11-24,186,55.7,87,0.5,NA,Low
2019-11-24,112,55.6,87,1.8,NA,Low
2019-11-24,65,56.4,85,2.3,NA,Low
2019-11-24,41,57.2,89,1.5,NA,Low
2019-11-24,82,58,83,2.7,NA,Low
2019-11-24,200,58.8,76,3.7,0.1,Low
2019-11-24,498,59.8,68,3.4,NA,Low
2019-11-24,937,60.8,69,3.5,NA,Low
2019-11-24,509,61.5,47,4.2,NA,Low
2019-11-24,311,61.1,40,4.5,NA,Low
2019-11-24,379,60.5,41,4.1,NA,Low
2019-11-24,393,60.3,38,4.8,NA,Low
2019-11-24,391,60,30,5.4,NA,Low
2019-11-24,338,59.9,27,4.5,NA,Low
2019-11-24,341,60.1,25,5.8,NA,Low
2019-11-24,375,60.2,23,4.7,NA,Low
2019-11-24,515,61.3,26,5.3,NA,Medium
2019-11-24,807,62.1,29,3.9,NA,Low
2019-11-24,568,62.9,32,3.2,NA,Low
2019-11-24,398,63.6,38,3,NA,Low
2019-11-24,397,64.6,43,4.5,NA,Low
2019-11-24,353,65.3,45,2.5,NA,Low
2019-11-24,248,65.8,44,2.4,NA,Low
2019-11-25,216,66.1,42,2.6,NA,Low
2019-11-25,198,66.5,41,2.8,NA,Low
2019-11-25,124,66.8,41,2.5,NA,Low
2019-11-25,62,66.9,39,2,NA,Low
2019-11-25,42,67.2,34,3,NA,Low
2019-11-25,82,67.4,33,2.6,NA,Low
2019-11-25,172,67.4,34,3.2,NA,Low
2019-11-25,381,67.5,33,2.2,NA,Low
2019-11-25,812,68.1,36,1.6,NA,Medium
2019-11-25,462,67.6,31,1.3,NA,Low
2019-11-25,269,65.5,26,2.8,NA,Low
2019-11-25,334,63.9,25,0,NA,Low
2019-11-25,321,62.3,25,0,NA,Low
2019-11-25,325,61.6,27,0,NA,Low
2019-11-25,334,61.1,28,0,NA,Low
2019-11-25,353,60.7,28,0,NA,Low
2019-11-25,435,60.5,30,0,NA,Low
2019-11-25,529,61.6,35,0,NA,Low
2019-11-25,789,62.6,40,0,NA,Medium
2019-11-25,597,63.2,45,0,NA,Low
2019-11-25,418,63.5,46,0,NA,Low
2019-11-25,415,63.7,47,0,NA,Low
2019-11-25,393,62.8,49,0,NA,Low
2019-11-25,244,62.5,59,0,NA,Low
2019-11-26,145,62.8,77,0,0.1,Low
2019-11-26,144,63,79,0,NA,Low
2019-11-26,117,63,79,0,NA,Low
2019-11-26,78,63.2,78,0,0.2,Low
2019-11-26,58,63.4,75,0,NA,Low
2019-11-26,87,63.6,76,0,NA,Low
2019-11-26,142,63.7,76,0,NA,Low
2019-11-26,379,64.2,77,0,NA,Low
2019-11-26,802,64.2,78,0,NA,Low
2019-11-26,440,63.3,70,0,NA,Low
2019-11-26,307,60.9,64,0,NA,Low
2019-11-26,381,58.4,57,1.2,NA,Low
2019-11-26,405,57.6,52,0.9,NA,Low
2019-11-26,442,55.8,47,1.1,NA,Low
2019-11-26,416,54.5,34,1,NA,Low
2019-11-26,412,54.5,31,3.1,NA,Low
2019-11-26,496,54.7,37,2.9,NA,Low
2019-11-26,239,55.9,60,2.5,NA,Low
2019-11-26,204,58.3,90,1,0.3,Low
2019-11-26,205,58.8,92,0.7,NA,Low
2019-11-26,190,58.8,94,0.6,NA,Low
2019-11-26,165,58.9,92,0.5,0.7,Low
2019-11-26,222,58.7,92,0.6,NA,Low
2019-11-26,193,58.7,92,0.6,NA,Low
2019-11-27,198,58.6,92,0.5,NA,Low
2019-11-27,218,58.5,92,0.4,NA,Low
2019-11-27,149,58.6,92,0.7,NA,Low
2019-11-27,102,58.1,91,1.4,NA,Low
2019-11-27,62,58.4,92,0.7,NA,Low
2019-11-27,83,58.5,92,1.1,NA,Low
2019-11-27,137,59,93,0.5,NA,Low
2019-11-27,367,59.7,93,0.5,NA,Low
2019-11-27,754,60.2,96,0.8,NA,Low
2019-11-27,415,59.9,91,0.8,NA,Low
2019-11-27,321,58.9,83,0.7,NA,Low
2019-11-27,333,57.7,69,1.7,NA,Low
2019-11-27,431,56.3,65,2.4,NA,Low
2019-11-27,394,55.9,37,3.1,NA,Low
2019-11-27,390,55.6,36,2.7,NA,Low
2019-11-27,430,56,35,3.1,NA,Low
2019-11-27,471,56.8,38,2.9,NA,Low
2019-11-27,552,57.9,50,2,NA,Low
2019-11-27,795,59.3,46,2.7,NA,Low
2019-11-27,507,60.4,47,2.5,NA,Low
2019-11-27,390,61.4,47,2.5,NA,Low
2019-11-27,402,62.2,46,2.2,NA,Low
2019-11-27,389,62.7,48,2.6,NA,Low
2019-11-27,259,63.2,50,2.1,NA,Low
2019-11-28,233,63.5,49,2.6,NA,Low
2019-11-28,230,63.7,50,2.5,NA,Low
2019-11-28,131,64.3,53,1,NA,Low
2019-11-28,99,64.8,52,1.6,NA,Low
2019-11-28,71,65.3,53,2.4,NA,Low
2019-11-28,84,65.8,56,2,NA,Low
2019-11-28,158,66,56,3.5,NA,Low
2019-11-28,387,66.5,57,0.8,NA,Low
2019-11-28,780,67,59,0.8,NA,Medium
2019-11-28,395,66.7,50,0.9,NA,Low
2019-11-28,261,65.3,44,2.8,NA,Low
2019-11-28,310,63.7,39,1.4,NA,Low
2019-11-28,355,62,30,1.4,NA,Low
2019-11-28,354,61.7,28,1.8,NA,Low
2019-11-28,350,61.3,27,3.1,NA,Low
2019-11-28,362,60.8,26,3.3,NA,Low
2019-11-28,401,61.1,24,3.4,NA,Low
2019-11-28,500,62.4,30,2.7,NA,Low
2019-11-28,752,63.1,33,1.2,NA,Low
2019-11-28,477,63.3,35,1.1,NA,Low
2019-11-28,384,63.3,34,1.5,NA,Low
2019-11-28,336,63.3,35,0.5,NA,Low
2019-11-28,347,63.4,39,1.2,NA,Low
2019-11-28,275,63.5,43,0.9,NA,Low
2019-11-29,267,63.5,48,0.9,NA,Low
2019-11-29,296,64.1,49,0.6,NA,Low
2019-11-29,237,64.7,50,0.7,NA,Low
2019-11-29,169,64.3,47,0.6,NA,Low
2019-11-29,96,64.3,49,0.7,NA,Low
2019-11-29,56,64.7,49,0.8,NA,Low
2019-11-29,76,65.1,53,0.9,NA,Low
2019-11-29,127,65.5,56,0.8,NA,Low
2019-11-29,222,65.4,56,0.7,NA,Low
2019-11-29,291,64.7,48,1,NA,Low
2019-11-29,273,62.2,42,1.3,NA,Low
2019-11-29,351,60,45,1.1,NA,Low
2019-11-29,427,57.6,40,0.8,NA,Low
2019-11-29,431,56.1,36,2,NA,Low
2019-11-29,486,55.3,32,2.2,NA,Low
2019-11-29,569,54.8,30,2,NA,Low
2019-11-29,546,55.6,33,1.6,NA,Low
2019-11-29,481,56.5,37,1.8,NA,Low
2019-11-29,384,57.5,41,1,NA,Low
2019-11-29,275,58.5,48,0.4,NA,Low
2019-11-29,298,59.2,51,1.4,NA,Low
2019-11-29,321,60.1,55,0.7,NA,Low
2019-11-29,289,60.5,55,0.6,NA,Low
2019-11-29,265,60.1,54,1.3,NA,Low
2019-11-30,326,60.2,55,1,NA,Low
2019-11-30,280,60.2,54,0.5,NA,Low
2019-11-30,243,59.8,52,0.7,NA,Low
2019-11-30,169,59.7,53,0.5,NA,Low
2019-11-30,71,59.6,52,1.6,NA,Low
2019-11-30,13,59.7,74,1,NA,Low
2019-11-30,9,60.5,90,0.9,2.5,Low
2019-11-30,20,60.4,92,1.1,NA,Low
2019-11-30,35,60.2,90,1.2,NA,Low
2019-11-30,31,59.8,90,1,1.6,Low
2019-11-30,19,59.5,91,0.4,NA,Low
2019-11-30,58,59.1,92,0.9,NA,Low
2019-11-30,119,57.7,88,0.3,NA,Low
2019-11-30,182,56.7,87,1.1,NA,Low
2019-11-30,235,55.8,85,0.7,NA,Low
2019-11-30,180,53.3,63,4.5,NA,Low
2019-11-30,214,54.6,71,3.5,NA,Low
2019-11-30,226,56.4,65,4.3,NA,Low
2019-11-30,210,58,61,3,NA,Low
2019-11-30,181,58.4,53,4,NA,Low
2019-11-30,165,59.4,57,3.9,NA,Low
2019-11-30,167,60,59,3,NA,Low
2019-11-30,152,61,56,4.7,NA,Low
2019-11-30,148,61.4,43,4.3,NA,Low
2019-12-01,125,62.5,39,3.4,NA,Low
2019-12-01,111,63.4,36,3.8,NA,Low
2019-12-01,67,64.2,35,3.4,NA,Low
2019-12-01,45,64.7,38,2.4,NA,Low
2019-12-01,44,65.2,35,3.2,NA,Low
2019-12-01,86,65.6,38,3.2,NA,Low
2019-12-01,136,65.9,39,2.9,NA,Low
2019-12-01,325,66,39,3.1,NA,Low
2019-12-01,653,66,38,3.6,NA,Low
2019-12-01,326,65.9,36,5.1,NA,Low
2019-12-01,212,65.3,32,4.5,NA,Low
2019-12-01,226,64.7,36,3.8,NA,Low
2019-12-01,247,65.2,33,4.6,NA,Low
2019-12-01,241,65.4,32,5.1,NA,Low
2019-12-01,253,65.4,31,4.1,NA,Low
2019-12-01,269,65.5,33,4.5,NA,Low
2019-12-01,277,66,40,4,NA,Low
2019-12-01,361,67.1,44,4.2,NA,Low
2019-12-01,557,67.9,43,3.3,NA,Low
2019-12-01,371,68.6,45,3.9,NA,Low
2019-12-01,254,69.3,49,3.8,NA,Low
2019-12-01,266,69.7,51,2.5,NA,Low
2019-12-01,222,70.2,50,3,NA,Low
2019-12-01,174,70.7,53,1.2,NA,Low
2019-12-02,133,71,51,1.1,NA,Low
2019-12-02,127,71.2,51,1.1,NA,Low
2019-12-02,95,71.5,50,0.7,NA,Low
2019-12-02,54,71.6,50,2.2,NA,Low
2019-12-02,46,71.6,47,2.1,NA,Low
2019-12-02,65,71.6,45,2.8,NA,Low
2019-12-02,104,71.8,47,2.5,NA,Low
2019-12-02,280,72.1,50,2.3,NA,Low
2019-12-02,580,72.3,52,1.3,NA,Low
2019-12-02,275,71.8,46,2.9,NA,Low
2019-12-02,184,70.5,45,3.3,NA,Low
2019-12-02,201,69.4,42,3.1,NA,Low
2019-12-02,228,68.3,35,2.9,NA,Low
2019-12-02,225,66.9,37,2.4,NA,Low
2019-12-02,258,65.4,32,2,NA,Low
2019-12-02,250,65.8,30,2.8,NA,Low
2019-12-02,248,66,29,2.8,NA,Low
2019-12-02,305,67,32,2.6,NA,Low
2019-12-02,529,67.7,36,1,NA,Low
2019-12-02,350,68.2,43,1.1,NA,Low
2019-12-02,260,68.4,42,1,NA,Low
2019-12-02,270,68.8,43,1.4,NA,Low
2019-12-02,256,69,45,1.3,NA,Low
2019-12-02,173,69.3,47,2.1,NA,Low
2019-12-03,168,69.5,48,1.3,NA,Low
2019-12-03,183,70.2,52,1.6,NA,Low
2019-12-03,120,70.4,53,1.8,NA,Low
2019-12-03,79,70.9,55,1.8,NA,Low
2019-12-03,41,71.4,58,1.3,NA,Low
2019-12-03,68,71.5,58,1.1,NA,Low
2019-12-03,109,71.9,57,1.1,NA,Low
2019-12-03,310,71.7,53,1.6,NA,Low
2019-12-03,591,71.4,47,3.3,NA,Low
2019-12-03,340,71.1,46,3.4,NA,Low
2019-12-03,202,69.5,39,2.1,NA,Low
2019-12-03,251,68.1,35,1.8,NA,Low
2019-12-03,267,66.5,30,2.9,NA,Low
2019-12-03,251,65.8,28,2.9,NA,Low
2019-12-03,240,64.7,27,2.9,NA,Low
2019-12-03,240,64.9,26,3.1,NA,Low
2019-12-03,278,64.5,26,2.2,NA,Low
2019-12-03,392,65.6,29,1.7,NA,Low
2019-12-03,537,66.6,33,1.1,NA,Low
2019-12-03,373,66.6,31,1.6,NA,Low
2019-12-03,263,67.6,35,0.8,NA,Low
2019-12-03,271,68.3,39,1,NA,Low
2019-12-03,271,68.9,39,0.1,NA,Low
2019-12-03,174,69.2,44,0.4,NA,Low
2019-12-04,171,69.5,50,0.6,NA,Low
2019-12-04,170,69.8,48,0.8,NA,Low
2019-12-04,107,70.6,44,0.8,NA,Low
2019-12-04,80,70.7,48,0.4,NA,Low
2019-12-04,52,71,50,0.8,NA,Low
2019-12-04,62,70.8,48,0.8,NA,Low
2019-12-04,108,71,55,0.8,NA,Low
2019-12-04,279,70.9,57,1.1,NA,Low
2019-12-04,621,70.4,54,1.1,NA,Low
2019-12-04,305,69.4,44,0.5,NA,Low
2019-12-04,189,67.7,43,0.9,NA,Low
2019-12-04,247,66.1,38,1,NA,Low
2019-12-04,278,64.9,34,1.3,NA,Low
2019-12-04,282,63.8,32,0.9,NA,Low
2019-12-04,294,62.7,28,0.7,NA,Low
2019-12-04,301,62.5,29,1.1,NA,Low
2019-12-04,335,62.4,28,0.9,NA,Low
2019-12-04,382,62.9,31,0.6,NA,Low
2019-12-04,612,63.5,35,1.1,NA,Low
2019-12-04,410,64.2,40,0.9,NA,Medium
2019-12-04,277,64.8,43,1.1,NA,Low
2019-12-04,316,64.8,45,0.8,NA,Low
2019-12-04,309,64.9,44,1.1,NA,Low
2019-12-04,211,65.6,53,1.2,NA,Low
2019-12-05,227,65.7,53,0.6,NA,Low
2019-12-05,241,66.3,57,0.4,NA,Low
2019-12-05,162,66.8,58,0.4,NA,Low
2019-12-05,110,66.9,56,0.5,NA,Low
2019-12-05,69,67.1,59,0.8,NA,Low
2019-12-05,68,67.5,64,0.9,NA,Low
2019-12-05,129,67.4,64,0.7,NA,Low
2019-12-05,285,67,63,0.6,NA,Low
2019-12-05,658,66.6,64,1.1,NA,Low
2019-12-05,330,65.9,60,0.6,NA,Low
2019-12-05,221,64.6,52,0.8,NA,Low
2019-12-05,279,62.9,46,1,NA,Low
2019-12-05,309,62.5,43,0.7,NA,Low
2019-12-05,325,61.6,40,0.3,NA,Low
2019-12-05,329,60.7,39,0.8,NA,Low
2019-12-05,342,59.9,35,1.5,NA,Low
2019-12-05,354,60,37,0.6,NA,Low
2019-12-05,464,60.2,39,0.8,NA,Low
2019-12-05,682,59.9,43,0.9,NA,Low
2019-12-05,451,59.4,41,1.2,NA,Low
2019-12-05,320,59.1,42,1.2,NA,Low
2019-12-05,300,59.3,47,2.7,NA,Low
2019-12-05,296,60.1,49,2,NA,Low
2019-12-05,247,61.3,60,2.5,NA,Low
2019-12-06,217,62.6,73,3.4,NA,Low
2019-12-06,302,63.4,76,2.9,NA,Low
2019-12-06,228,64.1,73,2.1,NA,Low
2019-12-06,129,64.5,71,1.6,NA,Low
2019-12-06,80,65,70,2.7,NA,Low
2019-12-06,45,65.6,72,2,NA,Low
2019-12-06,66,66.1,69,2.9,NA,Low
2019-12-06,90,66.7,64,2.1,NA,Low
2019-12-06,190,67.3,62,2.6,NA,Low
2019-12-06,195,67.2,47,2.8,NA,Low
2019-12-06,201,66.2,42,2.3,NA,Low
2019-12-06,239,65.2,30,4,NA,Low
2019-12-06,252,64.1,28,3.8,NA,Low
2019-12-06,296,63.7,23,4,NA,Low
2019-12-06,292,63.4,22,4.3,NA,Low
2019-12-06,291,63.3,22,5,NA,Low
2019-12-06,258,63.3,24,3.5,NA,Low
2019-12-06,277,64.6,26,2.6,NA,Low
2019-12-06,212,65.3,28,3.5,NA,Low
2019-12-06,173,66,32,2.4,NA,Low
2019-12-06,143,66.6,37,3.4,NA,Low
2019-12-06,159,67.1,39,3.2,NA,Low
2019-12-06,155,67.6,41,1.6,NA,Low
2019-12-06,142,68,41,2.2,NA,Low
2019-12-07,175,68.1,41,2,NA,Low
2019-12-07,146,68.4,40,1.6,NA,Low
2019-12-07,132,68.7,40,2.8,NA,Low
2019-12-07,100,69,40,3.1,NA,Low
2019-12-07,41,69.5,40,1.9,NA,Low
2019-12-07,31,69.7,41,3.1,NA,Low
2019-12-07,39,69.9,42,2.3,NA,Low
2019-12-07,53,70.2,42,2.3,NA,Low
2019-12-07,94,70.7,43,0.9,NA,Low
2019-12-07,122,70.5,38,1.1,NA,Low
2019-12-07,142,68.5,31,1.5,NA,Low
2019-12-07,189,67.2,29,1.8,NA,Low
2019-12-07,216,64.9,25,2.6,NA,Low
2019-12-07,223,64.5,25,3.2,NA,Low
2019-12-07,268,63.2,26,3.1,NA,Low
2019-12-07,278,62.5,28,2,NA,Low
2019-12-07,256,62.7,31,2.3,NA,Low
2019-12-07,266,63.8,35,2.4,NA,Low
2019-12-07,204,64.7,37,1.8,NA,Low
2019-12-07,157,65.6,39,1.1,NA,Low
2019-12-07,166,66,42,0.8,NA,Low
2019-12-07,168,66.5,45,0.7,NA,Low
2019-12-07,172,66.6,50,0.6,NA,Low
2019-12-07,138,66.9,53,0.7,NA,Low
2019-12-08,151,65.9,50,0.6,NA,Low
2019-12-08,97,65.3,48,0.4,NA,Low
2019-12-08,38,65,65,0.4,NA,Low
2019-12-08,32,65.3,76,1,0.3,Low
2019-12-08,29,65.4,81,0.7,NA,Low
2019-12-08,27,65.3,81,0.9,NA,Low
2019-12-08,45,65.2,85,0.9,0.4,Low
2019-12-08,96,65,85,0.7,NA,Low
2019-12-08,146,64.6,86,1.2,NA,Low
2019-12-08,52,64.3,89,1,1.6,Low
2019-12-08,36,63.7,87,1,NA,Low
2019-12-08,44,62.9,85,1.2,NA,Low
2019-12-08,62,61.8,83,1.2,1.1,Low
2019-12-08,76,60.9,84,1.2,NA,Low
2019-12-08,116,59.5,76,0.9,NA,Low
2019-12-08,137,58.4,73,0.9,NA,Low
2019-12-08,181,58.2,76,0.8,NA,Low
2019-12-08,175,59.6,84,0.8,NA,Low
2019-12-08,281,60,88,0.6,NA,Low
2019-12-08,198,58.7,65,1.1,NA,Low
2019-12-08,165,56.7,65,3.2,NA,Low
2019-12-08,148,57.2,73,2.4,NA,Low
2019-12-08,160,58.5,82,2.4,NA,Low
2019-12-08,128,59.9,81,2.9,NA,Medium
2019-12-09,122,61,73,2.3,NA,Low
2019-12-09,122,62,72,0.8,NA,Low
2019-12-09,93,62.7,72,0.9,NA,Low
2019-12-09,55,62.8,58,1.6,NA,Low
2019-12-09,39,62.9,59,1.8,NA,Low
2019-12-09,55,63.9,66,0.7,NA,Low
2019-12-09,78,64.3,70,1.6,NA,Low
2019-12-09,165,64.4,64,2.8,NA,Low
2019-12-09,390,65.2,58,2.2,NA,Low
2019-12-09,199,65.3,48,2.6,NA,Low
2019-12-09,151,64.6,41,2.8,NA,Low
2019-12-09,174,63.5,35,2.2,NA,Low
2019-12-09,191,62.5,31,2.6,NA,Low
2019-12-09,189,62.2,25,3.2,NA,Low
2019-12-09,178,62.2,23,3.7,NA,Low
2019-12-09,195,61.3,26,3,NA,Low
2019-12-09,211,61.8,31,3.1,NA,Low
2019-12-09,256,62.7,35,1.8,NA,Low
2019-12-09,384,63.8,42,3.3,NA,Low
2019-12-09,276,64.5,51,2,NA,Low
2019-12-09,225,64.9,55,2,NA,Low
2019-12-09,224,65,57,1.9,NA,Low
2019-12-09,213,65.5,56,1.5,NA,Low
2019-12-09,149,65.8,57,1.7,NA,Low
2019-12-10,142,66.5,63,1.5,NA,Low
2019-12-10,172,67.3,67,1.1,NA,Low
2019-12-10,108,67.8,68,0.9,NA,Low
2019-12-10,71,68.1,70,1.3,NA,Low
2019-12-10,38,68.5,73,1,NA,Low
2019-12-10,56,68.3,67,0.9,NA,Low
2019-12-10,97,68.2,66,0.9,NA,Low
2019-12-10,213,68.1,67,0.9,NA,Low
2019-12-10,466,67.8,65,1.1,NA,Low
2019-12-10,239,66.7,62,1.1,NA,Low
2019-12-10,162,65.4,56,1.1,NA,Low
2019-12-10,204,64.2,51,1.1,NA,Low
2019-12-10,209,63.2,49,1.3,NA,Low
2019-12-10,228,61.3,43,1,NA,Low
2019-12-10,243,60.5,44,1,NA,Low
2019-12-10,240,60.2,45,1,NA,Low
2019-12-10,225,60.5,48,1.1,NA,Low
2019-12-10,237,60.9,70,1.1,NA,Low
2019-12-10,329,61.4,79,1.6,0.1,Low
2019-12-10,190,61.5,81,1.8,NA,Low
2019-12-10,165,61.9,86,0.9,NA,Low
2019-12-10,197,62,83,1.2,0.1,Low
2019-12-10,184,61.6,82,0.4,NA,Low
2019-12-10,153,61.1,87,1.4,NA,Low
2019-12-11,166,61.3,90,2,NA,Low
2019-12-11,189,61.8,90,1.6,NA,Low
2019-12-11,132,62.2,88,1.4,NA,Low
2019-12-11,79,62.9,89,1.3,NA,Low
2019-12-11,58,63.6,91,1.2,NA,Low
2019-12-11,49,64.3,91,1.5,NA,Low
2019-12-11,84,64.8,91,1.1,NA,Low
2019-12-11,178,65.3,90,1.1,NA,Low
2019-12-11,423,65.6,89,0.9,NA,Low
2019-12-11,265,65.3,88,0.4,NA,Low
2019-12-11,169,63,71,0.7,NA,Low
2019-12-11,243,60.7,62,0.7,NA,Low
2019-12-11,290,58.1,40,2,NA,Low
2019-12-11,285,56.8,42,1.8,NA,Low
2019-12-11,255,55.7,47,2.3,NA,Low
2019-12-11,316,55.6,46,1.4,NA,Low
2019-12-11,301,55.9,51,1.8,NA,Low
2019-12-11,366,57.1,60,1.3,NA,Low
2019-12-11,531,58.3,64,1.3,NA,Low
2019-12-11,355,59.2,71,0.9,NA,Low
2019-12-11,288,59.8,72,0.7,NA,Low
2019-12-11,248,60.4,74,0.6,NA,Low
2019-12-11,252,61.1,78,0.6,NA,Low
2019-12-11,212,61.5,79,0.6,NA,Low
2019-12-12,196,61.7,79,0.5,NA,Low
2019-12-12,250,61.6,79,0.6,NA,Low
2019-12-12,161,61.1,79,0.7,NA,Low
2019-12-12,99,60.6,76,0.5,NA,Low
2019-12-12,64,60.3,76,0.9,NA,Low
2019-12-12,76,60.2,73,0.8,NA,Low
2019-12-12,114,60.1,71,0.8,NA,Low
2019-12-12,283,60.3,72,0.7,NA,Low
2019-12-12,544,60.4,69,0.5,NA,Low
2019-12-12,298,59.7,67,0.7,NA,Low
2019-12-12,248,58.6,64,1,NA,Low
2019-12-12,278,56.9,57,0.8,NA,Low
2019-12-12,301,55.5,56,0.8,NA,Low
2019-12-12,320,54.6,55,1.2,NA,Low
2019-12-12,326,54.1,55,0.6,NA,Low
2019-12-12,386,53.5,55,0.9,NA,Low
2019-12-12,416,54,58,0.7,NA,Low
2019-12-12,477,54.6,61,1.3,NA,Low
2019-12-12,671,55.1,63,0.6,NA,Low
2019-12-12,481,54.8,64,0.7,NA,Low
2019-12-12,323,54.1,67,1.3,NA,Low
2019-12-12,309,53.9,70,2.2,NA,Low
2019-12-12,314,53.9,70,2.7,NA,Low
2019-12-12,249,54.2,74,2.5,NA,Low
2019-12-13,282,54.2,75,1.9,NA,Low
2019-12-13,337,54.3,75,1.7,NA,Low
2019-12-13,312,54.4,76,1.6,NA,Low
2019-12-13,230,54.6,77,1.6,NA,Low
2019-12-13,120,54.7,79,0.9,NA,Low
2019-12-13,59,55,81,1.2,NA,Low
2019-12-13,63,54.9,81,1.3,NA,Low
2019-12-13,99,54.9,82,0.7,NA,Low
2019-12-13,188,54.9,83,0.9,NA,Low
2019-12-13,239,54.8,84,0.7,NA,Low
2019-12-13,235,54.6,82,1.2,NA,Low
2019-12-13,282,54.3,81,1.1,NA,Low
2019-12-13,325,53,72,1.9,NA,Low
2019-12-13,423,52.3,68,1,NA,Low
2019-12-13,405,51.4,63,1.6,NA,Low
2019-12-13,443,51.4,64,1.5,NA,Low
2019-12-13,473,51.8,64,1,NA,Low
2019-12-13,453,52.3,67,0.9,NA,Low
2019-12-13,340,53.4,73,0.4,NA,Low
2019-12-13,260,54,76,1.1,NA,Low
2019-12-13,258,54.1,75,1.5,NA,Low
2019-12-13,279,54.4,77,0.9,NA,Low
2019-12-13,282,54.7,79,0.6,NA,Low
2019-12-13,237,54.5,80,0.6,NA,Low
2019-12-14,266,54.4,78,0.6,NA,Low
2019-12-14,251,54.4,78,0.5,NA,Low
2019-12-14,196,54.6,80,0.9,NA,Low
2019-12-14,149,54.8,82,0.8,NA,Low
2019-12-14,79,54.8,82,0.7,NA,Low
2019-12-14,44,54.9,82,0.6,NA,Low
2019-12-14,12,55.1,84,1.3,0.1,Low
2019-12-14,3,55.3,89,1.1,NA,Low
2019-12-14,4,55.4,91,1.7,NA,Low
2019-12-14,3,55.4,94,0.9,6.4,Low
2019-12-14,4,55.2,96,0.6,NA,Low
2019-12-14,9,55.4,95,0.8,NA,Low
2019-12-14,4,55.9,91,0.8,9.5,Low
2019-12-14,7,56.3,90,0.7,NA,Low
