Limit_Bal,Education,Marriage,Age,Pay_0,Bill_Amt1,Pay_Amt1,Payment,Card
500000,Graduate school,married,58,unknown,13709,5006,Paid,Gold
160000,Graduate school,single,30,ontime,30265,131,Paid,Gold
280000,University,married,40,Delay0,186503,8026,Paid,Gold
60000,University,single,22,Delay0,15054,1500,Paid,Normal
50000,Graduate school,single,25,Delay1,0,780,Missed,Gold
280000,Graduate school,single,31,ontime,498,9075,Paid,Gold
360000,Graduate school,single,33,Delay0,218668,10000,Paid,Gold
70000,Graduate school,single,25,Delay0,67521,3000,Paid,Normal
10000,University,single,22,Delay0,1877,1500,Paid,Gold
140000,University,married,37,Delay0,59504,3000,Paid,Normal
40000,Graduate school,single,30,Delay0,18927,3000,Paid,Normal
210000,Graduate school,single,29,unknown,0,0,Missed,Gold
20000,Graduate school,single,22,Delay0,14028,3000,Missed,Normal
150000,other,single,46,Delay0,4463,1013,Missed,Normal
380000,University,single,32,ontime,22401,21540,Paid,Gold
20000,Graduate school,single,24,Delay0,17447,1318,Paid,Gold
70000,High school,single,42,Delay1,37042,0,Missed,Gold
100000,High school,other,43,Delay0,61559,2000,Paid,Normal
310000,University,married,49,unknown,13465,7875,Paid,Normal
180000,Graduate school,single,25,Delay1,41402,1300,Paid,Normal
150000,Graduate school,single,29,Delay2,46224,1600,Paid,Normal
500000,Graduate school,married,45,unknown,1905,3640,Paid,Normal
180000,High school,married,34,Delay0,16386,8500,Paid,Normal
180000,University,married,34,Delay0,175886,8083,Paid,Normal
200000,Graduate school,single,34,ontime,1587,0,Paid,Normal
400000,University,married,29,Delay0,400134,17000,Paid,Normal
500000,High school,married,28,Delay0,22848,1516,Missed,Normal
70000,University,married,39,Delay0,70800,4025,Paid,Gold
50000,Graduate school,single,29,Delay2,24987,0,Missed,Gold
50000,University,married,46,Delay0,28718,1000,Missed,Normal
130000,University,married,51,ontime,99,0,Paid,Normal
200000,Graduate school,married,57,unknown,152519,0,Missed,Gold
10000,University,married,56,Delay2,2097,2300,Missed,Gold
210000,Graduate school,single,30,Delay2,300,300,Paid,Normal
130000,High school,single,29,Delay1,-190,0,Paid,Normal
20000,other,single,22,Delay2,18565,0,Paid,Gold
80000,Graduate school,single,31,ontime,780,0,Paid,Gold
320000,University,single,29,Delay2,58267,2500,Missed,Gold
200000,University,married,32,ontime,9076,5818,Paid,Normal
290000,Graduate school,single,37,Delay1,0,0,Paid,Normal
340000,Graduate school,single,32,ontime,3048,5713,Paid,Gold
20000,University,single,24,Delay0,14619,2850,Paid,Gold
50000,High school,single,25,ontime,42838,1759,Paid,Gold
300000,Graduate school,married,45,ontime,291,291,Paid,Normal
30000,University,single,22,Delay0,28387,1686,Missed,Normal
240000,University,single,44,Delay1,0,0,Missed,Normal
470000,High school,other,33,Delay0,165254,6400,Paid,Normal
360000,Graduate school,single,26,Delay0,23411,4796,Paid,Normal
60000,High school,single,30,Delay0,26324,1576,Missed,Gold
400000,University,married,44,Delay0,131595,10700,Paid,Normal
50000,High school,single,49,Delay0,48909,1676,Paid,Normal
160000,University,single,33,Delay0,130028,4400,Paid,Gold
360000,Graduate school,married,45,ontime,390,1170,Missed,Normal
160000,University,single,32,Delay0,3826,1147,Paid,Normal
130000,Graduate school,married,35,Delay0,81313,40000,Paid,Normal
20000,High school,single,44,Delay2,8583,0,Paid,Gold
200000,Graduate school,married,53,Delay2,138180,6300,Missed,Gold
280000,Graduate school,single,39,ontime,7524,0,Paid,Normal
100000,Graduate school,single,27,unknown,-2000,7555,Paid,Normal
160000,University,married,37,ontime,880,1602,Paid,Normal
60000,University,single,23,Delay0,45648,1937,Paid,Normal
90000,University,single,35,Delay0,83725,3621,Paid,Gold
360000,Graduate school,married,43,ontime,3967,8339,Paid,Gold
150000,Graduate school,single,27,Delay0,86009,4031,Paid,Gold
50000,High school,married,22,Delay0,18722,1411,Paid,Normal
20000,University,married,38,Delay0,17973,1699,Missed,Gold
140000,Graduate school,single,32,unknown,672,10212,Paid,Gold
380000,Graduate school,single,30,unknown,-81,223,Paid,Normal
480000,Graduate school,married,63,Delay0,422069,16078,Paid,Gold
50000,High school,single,22,Delay0,44698,1767,Missed,Normal
60000,University,single,26,Delay2,56685,0,Paid,Normal
70000,University,single,24,ontime,5580,0,Paid,Normal
80000,University,married,36,ontime,6108,2861,Paid,Normal
350000,Graduate school,single,52,ontime,713,2272,Paid,Gold
130000,University,single,38,Delay0,171438,10908,Paid,Gold
360000,University,married,35,Delay1,-103,0,Paid,Gold
330000,Graduate school,married,31,Delay0,105879,9260,Paid,Normal
50000,High school,married,47,Delay0,13244,2000,Paid,Gold
280000,University,married,41,Delay2,135673,6500,Paid,Gold
100000,Graduate school,single,24,Delay0,52128,2000,Paid,Normal
50000,University,single,41,Delay0,19015,1340,Paid,Gold
30000,Graduate school,single,24,ontime,18199,0,Missed,Gold
240000,Graduate school,single,28,ontime,326,326,Paid,Gold
80000,University,single,26,Delay2,14029,2000,Missed,Gold
400000,University,married,34,ontime,19660,9677,Paid,Gold
240000,University,single,38,Delay0,50254,2000,Paid,Normal
50000,High school,single,37,Delay2,46004,1000,Missed,Gold
450000,Graduate school,married,40,Delay1,0,0,Missed,Gold
110000,Graduate school,married,48,Delay1,0,0,Paid,Normal
310000,University,married,35,Delay2,304991,13019,Missed,Normal
20000,Graduate school,single,27,Delay0,19115,1404,Paid,Gold
20000,University,single,23,Delay1,0,0,Paid,Gold
200000,High school,single,52,Delay0,110151,3568,Paid,Gold
180000,Graduate school,married,36,Delay0,163736,4655,Missed,Gold
50000,University,married,51,Delay0,3347,1000,Missed,Gold
60000,High school,married,55,Delay3,60521,2504,Paid,Gold
30000,Graduate school,single,23,Delay1,4000,5645,Paid,Normal
240000,Graduate school,single,41,Delay1,95,2622,Paid,Gold
420000,University,married,34,Delay0,253454,9744,Paid,Gold
330000,High school,married,46,Delay0,227389,8210,Paid,Gold
30000,University,single,22,Delay0,28452,2000,Paid,Normal
240000,University,married,34,Delay0,10674,1500,Paid,Gold
150000,Graduate school,single,27,Delay0,17444,2500,Paid,Gold
210000,University,married,33,Delay0,7166,1500,Paid,Normal
50000,High school,married,51,ontime,752,300,Missed,Normal
50000,Graduate school,single,24,Delay0,50801,2360,Paid,Gold
240000,Graduate school,single,47,Delay1,0,0,Missed,Gold
180000,University,single,28,ontime,1832,0,Paid,Gold
50000,University,single,23,Delay1,10131,1000,Paid,Gold
170000,University,single,29,unknown,12159,10000,Paid,Gold
20000,Graduate school,single,29,ontime,1199,15586,Paid,Gold
50000,Graduate school,single,28,Delay0,4999,1000,Paid,Gold
170000,University,single,27,Delay0,19269,1661,Missed,Normal
200000,Graduate school,single,34,Delay1,197236,8000,Paid,Gold
80000,University,married,23,Delay1,9168,1650,Paid,Normal
260000,Graduate school,married,60,Delay1,-1100,0,Paid,Normal
140000,University,married,32,Delay0,86627,3455,Paid,Gold
80000,Graduate school,single,25,Delay0,42444,30000,Paid,Gold
350000,Graduate school,single,41,Delay1,208,2906,Paid,Gold
280000,University,married,56,Delay0,208775,8042,Paid,Normal
30000,High school,single,26,Delay0,9014,1700,Paid,Normal
140000,Graduate school,married,34,Delay0,23944,5000,Paid,Gold
200000,Graduate school,single,37,Delay0,105420,4000,Paid,Normal
200000,High school,single,30,Delay0,196031,7300,Paid,Normal
210000,High school,married,45,Delay2,115785,10478,Missed,Gold
50000,High school,married,57,Delay3,12854,0,Paid,Gold
30000,Graduate school,single,41,Delay2,24357,3500,Paid,Gold
50000,University,single,27,Delay2,390,390,Paid,Gold
290000,High school,married,47,ontime,1234,396,Paid,Gold
250000,Graduate school,married,34,Delay0,141223,17994,Paid,Normal
60000,University,married,46,Delay0,21148,3000,Paid,Normal
110000,Graduate school,single,27,Delay0,101640,5500,Paid,Normal
370000,Graduate school,single,50,unknown,6093,15383,Paid,Gold
100000,University,married,27,ontime,102349,3166,Paid,Gold
90000,University,married,35,Delay0,72112,3500,Paid,Normal
50000,University,single,22,Delay0,28040,1510,Paid,Normal
270000,University,single,37,Delay0,37695,5000,Paid,Gold
300000,Graduate school,single,30,ontime,688,3288,Paid,Normal
50000,University,single,22,ontime,8567,15000,Paid,Normal
50000,Graduate school,single,24,Delay1,-709,0,Missed,Normal
360000,Graduate school,single,29,Delay1,0,0,Paid,Gold
130000,High school,married,56,Delay1,64617,3000,Missed,Gold
80000,Graduate school,single,30,unknown,6187,504,Paid,Gold
50000,University,single,30,Delay1,48860,0,Paid,Gold
20000,University,single,22,Delay0,16001,1212,Paid,Normal
80000,University,married,29,Delay0,77883,5800,Paid,Normal
240000,Graduate school,single,37,ontime,12212,15000,Paid,Gold
80000,High school,single,35,Delay0,49608,12500,Paid,Normal
500000,Graduate school,married,47,Delay0,56422,70010,Paid,Normal
60000,University,married,24,Delay0,58024,2500,Missed,Normal
20000,University,single,25,Delay0,10642,1200,Paid,Gold
100000,University,married,38,Delay1,14483,0,Missed,Normal
360000,Graduate school,single,32,Delay1,2616,57087,Paid,Normal
200000,High school,single,47,Delay2,199436,8214,Missed,Normal
130000,University,married,34,Delay1,0,5396,Paid,Normal
20000,University,single,31,Delay1,21703,0,Paid,Normal
310000,Graduate school,single,32,Delay0,59901,10020,Paid,Gold
60000,Graduate school,single,27,Delay2,19625,1342,Missed,Normal
180000,Graduate school,single,29,ontime,11386,199,Paid,Normal
180000,Graduate school,single,24,ontime,14670,37867,Paid,Normal
50000,University,married,36,Delay0,47790,2000,Paid,Gold
50000,Graduate school,single,24,Delay1,36166,1900,Missed,Normal
150000,University,married,34,unknown,0,0,Paid,Normal
20000,Graduate school,single,22,Delay0,18553,1500,Paid,Normal
500000,Graduate school,married,34,unknown,412,138,Paid,Normal
30000,High school,single,22,Delay1,29010,1000,Missed,Normal
180000,Graduate school,married,38,unknown,750,0,Paid,Normal
140000,Graduate school,single,31,Delay0,27123,25000,Paid,Gold
140000,Graduate school,single,26,ontime,13424,10000,Paid,Normal
120000,University,single,26,Delay0,107314,5000,Paid,Gold
360000,University,married,48,Delay0,226430,9100,Paid,Normal
20000,High school,married,43,ontime,227,22359,Paid,Gold
100000,Graduate school,married,47,ontime,390,1473,Paid,Gold
210000,University,married,41,ontime,3088,1586,Missed,Normal
80000,University,single,24,Delay0,81625,3200,Missed,Normal
330000,Graduate school,married,50,ontime,8872,4345,Paid,Normal
220000,Graduate school,single,24,Delay0,105607,5000,Paid,Gold
210000,Graduate school,married,38,Delay1,0,0,Missed,Normal
40000,High school,married,43,Delay0,38257,1700,Paid,Normal
30000,University,single,39,Delay0,28347,3036,Paid,Gold
470000,University,single,27,Delay2,296573,13000,Paid,Gold
30000,High school,married,42,ontime,390,390,Paid,Gold
240000,University,married,36,Delay1,-946,0,Missed,Normal
80000,University,single,36,Delay2,79278,3100,Paid,Gold
110000,High school,unknown,31,Delay0,89989,4000,Paid,Normal
310000,Graduate school,single,38,ontime,1424,4542,Paid,Normal
360000,Graduate school,married,40,Delay2,105167,12000,Missed,Normal
330000,High school,single,45,Delay0,335196,12388,Paid,Normal
300000,University,single,35,Delay0,291619,12019,Paid,Normal
320000,University,single,33,Delay0,91653,10042,Paid,Normal
50000,High school,single,37,Delay1,52626,0,Missed,Normal
170000,Graduate school,single,28,Delay0,130370,6530,Paid,Normal
350000,High school,married,44,ontime,3265,2686,Paid,Gold
20000,University,married,37,Delay0,16455,1609,Paid,Gold
50000,University,single,23,Delay2,49758,2401,Missed,Gold
20000,High school,single,24,Delay1,19154,0,Paid,Normal
50000,Graduate school,single,24,Delay0,35084,2090,Paid,Normal
20000,University,single,23,Delay1,20235,0,Missed,Gold
50000,University,married,26,Delay0,102800,0,Paid,Gold
190000,University,single,34,Delay2,129801,5000,Missed,Gold
60000,University,married,33,Delay0,58203,1506,Paid,Normal
80000,Graduate school,single,35,ontime,7988,3983,Paid,Gold
150000,University,single,27,Delay0,127402,4500,Paid,Normal
210000,Graduate school,single,31,unknown,1440,0,Paid,Normal
240000,High school,married,50,Delay0,234205,10116,Missed,Normal
140000,University,other,41,Delay0,19346,3000,Missed,Normal
60000,Graduate school,single,28,Delay1,21501,0,Paid,Normal
50000,Graduate school,single,39,Delay0,47174,1800,Paid,Gold
50000,University,single,27,Delay0,26655,1800,Paid,Normal
180000,Graduate school,single,32,ontime,3139,2821,Paid,Normal
30000,Graduate school,single,40,ontime,142,355,Paid,Normal
20000,University,single,40,Delay0,19816,1601,Paid,Normal
250000,University,married,75,Delay0,52874,1631,Paid,Normal
100000,University,single,27,Delay0,37767,1788,Paid,Normal
330000,Graduate school,single,25,Delay0,46140,2504,Paid,Gold
50000,High school,married,46,Delay0,35713,1561,Paid,Gold
50000,University,single,26,Delay1,50867,1710,Paid,Normal
30000,University,single,28,Delay0,29242,5006,Paid,Gold
140000,University,single,26,Delay0,101551,5366,Missed,Normal
160000,Graduate school,single,28,Delay0,70243,7042,Paid,Normal
400000,University,single,29,ontime,19532,3127,Paid,Normal
50000,University,married,25,Delay0,27699,1565,Paid,Gold
140000,University,married,48,Delay0,1154,1233,Paid,Normal
160000,University,married,33,ontime,8015,2453,Paid,Normal
100000,High school,married,43,Delay0,62170,0,Paid,Normal
220000,Graduate school,married,48,Delay2,210380,10000,Missed,Gold
510000,Graduate school,single,29,Delay0,78331,40010,Paid,Normal
50000,University,single,29,Delay0,49276,1602,Paid,Gold
160000,Graduate school,married,38,ontime,4473,4664,Paid,Normal
230000,Graduate school,single,37,unknown,2283,51315,Paid,Normal
80000,Graduate school,single,37,ontime,10115,258,Paid,Normal
150000,University,married,25,ontime,6156,0,Paid,Normal
10000,High school,single,23,Delay0,6974,1134,Paid,Gold
130000,High school,single,49,Delay0,89003,4100,Missed,Normal
40000,Graduate school,single,48,Delay0,34871,1600,Paid,Normal
50000,University,single,27,Delay3,13694,1700,Missed,Gold
100000,High school,single,32,Delay0,70003,2035,Paid,Gold
120000,Graduate school,married,34,ontime,1082,0,Paid,Gold
260000,Graduate school,single,58,Delay1,0,0,Missed,Normal
200000,University,single,33,Delay0,11253,2000,Paid,Normal
360000,University,single,28,unknown,0,0,Missed,Normal
70000,University,single,36,Delay0,68699,4483,Paid,Normal
460000,Graduate school,married,40,Delay2,171,2728,Missed,Gold
50000,Graduate school,single,26,ontime,1156,316,Paid,Normal
50000,High school,married,33,Delay0,50859,2007,Paid,Gold
250000,University,married,31,Delay0,103109,4000,Paid,Normal
30000,Graduate school,single,27,Delay0,1512,1000,Paid,Normal
270000,University,married,44,Delay0,127543,10063,Paid,Gold
180000,High school,single,30,Delay0,163935,7722,Paid,Normal
100000,Graduate school,single,28,Delay0,53494,4173,Paid,Normal
230000,High school,married,32,Delay0,195126,5000,Paid,Normal
210000,Graduate school,married,46,ontime,110346,41986,Paid,Normal
210000,Graduate school,single,38,Delay2,60502,3276,Paid,Gold
440000,University,married,46,Delay0,180641,8610,Paid,Normal
100000,University,single,25,Delay2,70896,3472,Missed,Normal
240000,University,married,46,Delay0,8751,1295,Paid,Normal
280000,Graduate school,single,33,ontime,898,898,Missed,Gold
50000,University,single,22,Delay1,0,0,Missed,Normal
30000,University,married,43,Delay3,1700,1100,Paid,Gold
10000,University,single,27,Delay0,7015,3507,Missed,Gold
130000,Graduate school,single,29,Delay1,0,0,Paid,Gold
200000,Graduate school,single,31,Delay0,194353,9000,Paid,Gold
120000,University,married,29,ontime,1686,657,Paid,Normal
210000,University,married,36,Delay0,143225,6483,Paid,Normal
280000,Graduate school,married,36,Delay0,58983,2755,Paid,Normal
300000,Graduate school,single,34,Delay1,0,0,Missed,Gold
100000,University,single,37,Delay0,99209,3490,Paid,Gold
440000,Graduate school,single,36,unknown,0,0,Paid,Normal
50000,High school,married,40,Delay0,49941,2400,Paid,Normal
20000,Graduate school,single,25,Delay0,11968,2800,Missed,Normal
200000,Graduate school,single,27,ontime,871,665,Paid,Normal
110000,University,single,26,unknown,432,3220,Paid,Normal
500000,University,married,36,ontime,10483,23962,Paid,Normal
300000,University,married,27,Delay1,0,5215,Paid,Normal
30000,High school,married,55,Delay2,9720,1200,Missed,Gold
60000,Graduate school,single,27,ontime,20847,13809,Paid,Normal
400000,University,married,38,ontime,3697,1000,Paid,Normal
180000,University,married,34,Delay0,143301,7000,Paid,Normal
20000,Graduate school,single,40,Delay0,10934,3000,Paid,Gold
200000,High school,married,49,ontime,52439,0,Missed,Normal
100000,Graduate school,single,27,Delay0,55734,1631,Paid,Gold
60000,University,single,23,Delay0,49507,1970,Missed,Gold
110000,University,single,36,Delay0,47819,2200,Paid,Normal
260000,High school,married,53,Delay1,0,165,Paid,Normal
50000,High school,married,46,Delay3,48522,3754,Paid,Normal
180000,University,single,29,Delay1,-2,0,Paid,Gold
110000,University,single,29,Delay1,58362,2500,Missed,Gold
340000,Graduate school,single,27,Delay0,172180,21105,Paid,Normal
50000,University,single,24,ontime,1399,1070,Paid,Gold
230000,University,married,28,Delay0,26361,1710,Missed,Normal
360000,University,single,32,Delay0,93029,10000,Paid,Normal
210000,University,single,43,Delay1,0,0,Paid,Gold
220000,University,married,41,ontime,650,325,Missed,Normal
60000,University,married,34,Delay2,24898,3800,Missed,Normal
340000,University,married,55,unknown,50396,44665,Paid,Gold
150000,Graduate school,married,40,Delay2,99855,5200,Paid,Gold
200000,University,married,37,Delay1,-179,1000,Missed,Normal
130000,University,single,40,Delay0,9559,3000,Missed,Normal
60000,Graduate school,single,28,Delay1,10540,0,Paid,Normal
400000,University,married,43,Delay1,0,0,Paid,Normal
20000,Graduate school,single,27,Delay0,20571,1323,Paid,Gold
190000,Graduate school,single,28,Delay0,143464,5795,Paid,Normal
260000,Graduate school,single,30,Delay0,156882,10000,Paid,Normal
140000,University,single,31,unknown,390,0,Paid,Normal
50000,University,married,31,Delay0,46512,1974,Missed,Normal
120000,Graduate school,single,34,ontime,882,6900,Paid,Normal
240000,University,single,30,unknown,92,92,Paid,Normal
50000,University,single,36,Delay0,5916,1212,Paid,Gold
200000,Graduate school,single,29,ontime,2393,0,Paid,Normal
180000,Graduate school,married,39,Delay0,274731,11000,Paid,Gold
180000,Graduate school,single,26,Delay0,145403,5440,Paid,Normal
160000,Graduate school,single,29,ontime,3097,0,Paid,Normal
100000,University,single,26,ontime,1370,4210,Paid,Normal
50000,University,single,29,Delay0,47081,3000,Missed,Normal
140000,University,single,31,Delay0,138119,6600,Paid,Normal
30000,University,single,26,Delay0,17893,1411,Missed,Normal
90000,Graduate school,single,26,Delay0,39128,1541,Paid,Gold
200000,Graduate school,married,36,Delay1,-14386,10118,Paid,Gold
380000,Graduate school,single,30,Delay1,0,0,Missed,Gold
80000,University,single,43,Delay0,77057,3177,Paid,Normal
50000,High school,married,58,Delay2,15899,3400,Paid,Gold
180000,University,married,45,ontime,27679,1481,Missed,Gold
240000,University,single,26,Delay0,141315,6349,Paid,Normal
380000,University,single,34,Delay0,194314,9010,Paid,Gold
110000,other,single,24,Delay0,83755,3000,Paid,Normal
260000,Graduate school,married,34,ontime,49657,291,Paid,Gold
500000,University,single,23,Delay4,507726,10000,Missed,Normal
320000,University,single,30,Delay0,71305,2589,Paid,Normal
50000,University,single,32,Delay4,45734,0,Paid,Gold
110000,Graduate school,married,40,Delay1,0,0,Missed,Gold
230000,Graduate school,single,35,unknown,761,300,Paid,Normal
330000,University,married,56,Delay1,-9,1529,Paid,Normal
50000,University,married,61,Delay0,47166,3000,Paid,Normal
10000,University,single,24,ontime,2887,0,Paid,Gold
300000,Graduate school,married,40,Delay1,0,0,Paid,Gold
20000,University,married,32,Delay3,20631,0,Missed,Normal
180000,University,married,36,Delay2,83538,0,Missed,Gold
160000,Graduate school,single,30,ontime,99,2977,Paid,Gold
90000,Graduate school,single,34,Delay0,34302,1640,Paid,Normal
30000,High school,other,54,Delay0,22987,2500,Paid,Gold
180000,Graduate school,married,46,Delay0,173267,8100,Paid,Gold
30000,High school,married,58,Delay0,19143,1640,Paid,Gold
30000,University,married,43,Delay1,20518,0,Paid,Gold
140000,Graduate school,single,28,ontime,10833,14000,Paid,Normal
210000,Graduate school,single,30,Delay0,69937,3500,Paid,Gold
50000,University,single,31,Delay0,20526,2000,Missed,Gold
130000,University,single,29,Delay0,89055,4200,Paid,Normal
50000,University,married,37,Delay2,1894,1500,Missed,Normal
140000,High school,married,36,Delay0,100594,3000,Paid,Gold
170000,University,single,28,ontime,2948,1105,Missed,Normal
80000,University,single,25,Delay0,22619,10010,Paid,Gold
410000,other,married,42,Delay0,338106,15000,Paid,Normal
80000,Graduate school,single,29,Delay1,0,80000,Paid,Normal
80000,High school,married,73,ontime,63144,3500,Missed,Gold
150000,University,married,43,Delay0,153249,7900,Paid,Gold
260000,Graduate school,married,30,ontime,1131,291,Missed,Gold
350000,Graduate school,married,38,Delay1,0,0,Paid,Gold
280000,University,married,39,Delay1,-1312,38621,Missed,Normal
310000,University,married,44,Delay0,103797,4400,Paid,Gold
140000,University,single,29,Delay0,20110,3000,Paid,Normal
360000,Graduate school,married,51,ontime,38000,25000,Paid,Gold
140000,Graduate school,single,27,Delay0,142428,10000,Paid,Normal
100000,Graduate school,single,38,Delay0,40810,2502,Paid,Gold
50000,University,single,22,unknown,0,0,Paid,Normal
210000,University,married,30,Delay0,104701,4002,Paid,Normal
120000,University,single,25,Delay2,120298,4007,Paid,Normal
240000,Graduate school,single,29,Delay0,156362,5233,Paid,Gold
60000,High school,other,42,Delay0,41322,1488,Paid,Normal
150000,Graduate school,single,41,ontime,1464,2091,Missed,Gold
30000,University,married,48,Delay0,27879,1774,Paid,Gold
160000,Graduate school,single,29,Delay2,160432,7500,Missed,Normal
200000,Graduate school,married,52,unknown,3858,2690,Paid,Gold
120000,University,married,25,Delay0,26476,6000,Paid,Normal
500000,Graduate school,married,37,Delay1,507062,325,Paid,Gold
320000,Graduate school,single,27,Delay0,55607,11404,Paid,Normal
280000,Graduate school,single,31,Delay0,168382,10000,Paid,Gold
60000,Graduate school,single,23,Delay1,29332,0,Missed,Normal
200000,Graduate school,married,38,ontime,190,0,Paid,Normal
230000,Graduate school,married,32,Delay1,0,0,Paid,Normal
230000,University,single,27,Delay1,13668,0,Missed,Normal
480000,High school,married,41,unknown,14867,26734,Paid,Normal
50000,High school,married,35,ontime,22500,5000,Paid,Normal
200000,Graduate school,single,31,unknown,7184,17507,Paid,Normal
50000,Graduate school,single,30,Delay0,14811,2000,Paid,Normal
50000,University,married,48,Delay0,44338,3629,Paid,Gold
260000,Graduate school,single,36,Delay1,0,0,Missed,Normal
30000,Graduate school,single,24,Delay2,25265,1500,Paid,Gold
440000,Graduate school,single,29,Delay0,169661,8071,Paid,Normal
230000,University,single,38,ontime,10237,2795,Paid,Normal
200000,University,married,38,Delay2,104978,4500,Missed,Gold
490000,University,married,30,Delay0,192586,10000,Paid,Normal
80000,University,married,32,ontime,11262,0,Paid,Normal
20000,High school,single,49,Delay2,9551,3000,Missed,Normal
170000,Graduate school,single,31,ontime,199,199,Missed,Normal
70000,Graduate school,single,27,Delay0,70119,3600,Paid,Gold
210000,University,single,33,Delay0,212601,6000,Paid,Normal
90000,University,single,25,Delay0,91894,3200,Paid,Normal
390000,Graduate school,single,27,Delay0,304867,13007,Missed,Normal
110000,Graduate school,single,29,Delay0,48123,2500,Paid,Normal
580000,Graduate school,married,36,Delay0,159760,6422,Paid,Normal
360000,High school,married,55,Delay0,9210,6015,Paid,Gold
270000,University,married,32,Delay1,234752,10000,Missed,Normal
60000,Graduate school,single,27,ontime,14072,0,Paid,Normal
110000,High school,married,37,Delay0,61807,2300,Paid,Gold
50000,Graduate school,married,25,Delay0,51044,2500,Paid,Normal
80000,Graduate school,single,23,Delay0,77024,3212,Missed,Normal
50000,University,single,23,ontime,350,350,Paid,Gold
100000,Graduate school,single,32,Delay0,83831,4000,Paid,Gold
30000,Graduate school,single,26,Delay1,0,0,Paid,Normal
200000,Graduate school,single,27,Delay0,122923,5704,Paid,Normal
240000,Graduate school,single,44,Delay0,246135,12026,Missed,Gold
220000,University,single,34,Delay0,37304,1600,Paid,Gold
160000,Graduate school,single,28,Delay0,146433,4500,Paid,Normal
180000,Graduate school,married,53,ontime,46122,1260,Paid,Normal
200000,other,married,42,Delay0,38564,5000,Paid,Gold
140000,High school,married,30,Delay0,96304,4505,Paid,Normal
380000,Graduate school,married,51,Delay1,0,0,Missed,Gold
600000,Graduate school,married,53,Delay2,467150,0,Missed,Gold
260000,University,single,37,Delay0,255691,14000,Paid,Gold
200000,Graduate school,single,26,Delay0,156786,179,Paid,Normal
80000,University,single,42,Delay0,78129,2500,Paid,Gold
40000,University,single,39,Delay0,40034,2027,Paid,Gold
130000,High school,single,39,Delay1,71034,0,Paid,Gold
50000,Graduate school,single,32,ontime,23974,1800,Paid,Gold
230000,University,married,41,ontime,819,18163,Paid,Normal
70000,University,married,48,Delay0,50927,2100,Missed,Gold
180000,University,married,38,Delay0,152510,5657,Paid,Normal
80000,University,married,36,ontime,1689,8638,Paid,Normal
290000,University,single,26,Delay0,20807,80000,Paid,Normal
230000,Graduate school,single,28,Delay0,30141,120093,Paid,Normal
170000,High school,other,56,Delay1,0,0,Paid,Normal
230000,Graduate school,married,59,ontime,208459,7536,Missed,Gold
220000,Graduate school,single,38,Delay0,212795,8909,Missed,Gold
230000,University,single,32,Delay0,28114,1610,Paid,Gold
500000,University,married,38,Delay0,59372,10026,Paid,Gold
90000,Graduate school,married,41,ontime,6160,3276,Paid,Normal
390000,High school,single,35,Delay0,355215,13802,Missed,Normal
400000,University,single,41,Delay0,366193,14020,Paid,Normal
180000,University,married,34,ontime,2927,2790,Paid,Gold
60000,High school,married,38,Delay1,29295,1800,Paid,Gold
120000,University,married,32,ontime,4158,2682,Paid,Normal
60000,University,single,29,Delay0,27199,1900,Paid,Normal
